"","State","Year","Month","civil_noninstitutionalpop","laborforce","percentlaborforce","totalemploy","peremploy","totalunemploy","unemployrate"
"13993","Alabama","1998","January",3328802,2134483,64.1,2043412,61.4,91071,4.3
"13994","Alaska","1998","January",425164,314825,74,294561,69.3,20264,6.4
"13995","Arizona","1998","January",3639028,2342398,64.4,2241894,61.6,100504,4.3
"13996","Arkansas","1998","January",1973942,1237846,62.7,1172686,59.4,65160,5.3
"13997","California","1998","January",24070878,15991159,66.4,15029034,62.4,962125,6
"13999","Colorado","1998","January",3079818,2275641,73.9,2195011,71.3,80630,3.5
"14000","Connecticut","1998","January",2570918,1738994,67.6,1670417,65,68577,3.9
"14001","Delaware","1998","January",578379,390787,67.6,376337,65.1,14450,3.7
"14002","District of Columbia","1998","January",451464,288080,63.8,262701,58.2,25379,8.8
"14003","Florida","1998","January",11953456,7451486,62.3,7114967,59.5,336519,4.5
"14004","Georgia","1998","January",5797055,4027205,69.5,3852252,66.5,174953,4.3
"14005","Hawaii","1998","January",892722,599018,67.1,563157,63.1,35861,6
"14006","Idaho","1998","January",909012,640575,70.5,607573,66.8,33002,5.2
"14007","Illinois","1998","January",9200145,6323992,68.7,6028095,65.5,295897,4.7
"14008","Indiana","1998","January",4527036,3121331,68.9,3018768,66.7,102563,3.3
"14009","Iowa","1998","January",2209826,1598097,72.3,1553366,70.3,44731,2.8
"14010","Kansas","1998","January",1967146,1397562,71,1348608,68.6,48954,3.5
"14011","Kentucky","1998","January",3021829,1920946,63.6,1834322,60.7,86624,4.5
"14012","Louisiana","1998","January",3255066,2036544,62.6,1924414,59.1,112130,5.5
"14013","Maine","1998","January",973753,651887,66.9,620119,63.7,31768,4.9
"14014","Maryland","1998","January",3905993,2770538,70.9,2637119,67.5,133419,4.8
"14015","Massachusetts","1998","January",4840037,3322339,68.6,3206331,66.2,116008,3.5
"14016","Michigan","1998","January",7420877,4997467,67.3,4798191,64.7,199276,4
"14017","Minnesota","1998","January",3607451,2697945,74.8,2621422,72.7,76523,2.8
"14018","Mississippi","1998","January",2058883,1275020,61.9,1206867,58.6,68153,5.3
"14019","Missouri","1998","January",4151411,2928135,70.5,2798765,67.4,129370,4.4
"14020","Montana","1998","January",675728,457500,67.7,432384,64,25116,5.5
"14021","Nebraska","1998","January",1262644,925343,73.3,903442,71.6,21901,2.4
"14022","Nevada","1998","January",1387785,957717,69,914939,65.9,42778,4.5
"14023","New Hampshire","1998","January",915285,655705,71.6,636717,69.6,18988,2.9
"14024","New Jersey","1998","January",6331289,4255885,67.2,4045134,63.9,210751,5
"14025","New Mexico","1998","January",1309587,831991,63.5,781519,59.7,50472,6.1
"14026","New York","1998","January",14343846,9052828,63.1,8509886,59.3,542942,6
"14029","North Dakota","1998","January",485982,351390,72.3,342536,70.5,8854,2.5
"14030","Ohio","1998","January",8563150,5704137,66.6,5454813,63.7,249324,4.4
"14031","Oklahoma","1998","January",2524313,1621262,64.2,1557599,61.7,63663,3.9
"14032","Oregon","1998","January",2565238,1770348,69,1673993,65.3,96355,5.4
"14033","Pennsylvania","1998","January",9431172,6065673,64.3,5781093,61.3,284580,4.7
"14034","Rhode Island","1998","January",797361,531404,66.6,505468,63.4,25936,4.9
"14035","South Carolina","1998","January",2924863,1917573,65.6,1849164,63.2,68409,3.6
"14036","South Dakota","1998","January",550617,396341,72,384974,69.9,11367,2.9
"14037","Tennessee","1998","January",4250722,2785835,65.5,2663226,62.7,122609,4.4
"14038","Texas","1998","January",14509331,9992221,68.9,9505467,65.5,486754,4.9
"14039","Utah","1998","January",1510497,1086536,71.9,1049129,69.5,37407,3.4
"14040","Vermont","1998","January",461364,331366,71.8,319372,69.2,11994,3.6
"14041","Virginia","1998","January",5147382,3451043,67,3346746,65,104297,3
"14042","Washington","1998","January",4315591,3023934,70.1,2883278,66.8,140656,4.7
"14043","West Virginia","1998","January",1436019,795192,55.4,741952,51.7,53240,6.7
"14044","Wisconsin","1998","January",4003182,2983553,74.5,2887094,72.1,96459,3.2
"14045","Wyoming","1998","January",366083,254773,69.6,243146,66.4,11627,4.6
"14046","Alabama","1998","February",3330604,2134536,64.1,2044823,61.4,89713,4.2
"14047","Alaska","1998","February",425155,315145,74.1,295177,69.4,19968,6.3
"14048","Arizona","1998","February",3646811,2348854,64.4,2248395,61.7,100459,4.3
"14049","Arkansas","1998","February",1974354,1237840,62.7,1172605,59.4,65235,5.3
"14050","California","1998","February",24102970,16019750,66.5,15059415,62.5,960335,6
"14052","Colorado","1998","February",3084795,2284098,74,2201549,71.4,82549,3.6
"14053","Connecticut","1998","February",2570381,1737591,67.6,1671319,65,66272,3.8
"14054","Delaware","1998","February",578455,391961,67.8,377204,65.2,14757,3.8
"14055","District of Columbia","1998","February",451829,290044,64.2,264374,58.5,25670,8.9
"14056","Florida","1998","February",11969811,7462792,62.3,7128094,59.6,334698,4.5
"14057","Georgia","1998","February",5807066,4036186,69.5,3860996,66.5,175190,4.3
"14058","Hawaii","1998","February",893854,599055,67,563210,63,35845,6
"14059","Idaho","1998","February",910012,642611,70.6,609445,67,33166,5.2
"14060","Illinois","1998","February",9204394,6318970,68.7,6029799,65.5,289171,4.6
"14061","Indiana","1998","February",4528604,3118364,68.9,3020122,66.7,98242,3.2
"14062","Iowa","1998","February",2210154,1598230,72.3,1554082,70.3,44148,2.8
"14063","Kansas","1998","February",1968158,1401015,71.2,1352070,68.7,48945,3.5
"14064","Kentucky","1998","February",3022879,1922249,63.6,1836030,60.7,86219,4.5
"14065","Louisiana","1998","February",3256087,2039480,62.6,1926924,59.2,112556,5.5
"14066","Maine","1998","February",973730,651270,66.9,620327,63.7,30943,4.8
"14067","Maryland","1998","February",3907818,2768064,70.8,2636962,67.5,131102,4.7
"14068","Massachusetts","1998","February",4841027,3323630,68.7,3209483,66.3,114147,3.4
"14069","Michigan","1998","February",7421577,4998415,67.3,4804629,64.7,193786,3.9
"14070","Minnesota","1998","February",3610136,2699827,74.8,2625225,72.7,74602,2.8
"14071","Mississippi","1998","February",2059985,1274745,61.9,1207225,58.6,67520,5.3
"14072","Missouri","1998","February",4152992,2925068,70.4,2795552,67.3,129516,4.4
"14073","Montana","1998","February",675694,457874,67.8,432578,64,25296,5.5
"14074","Nebraska","1998","February",1262888,926071,73.3,904087,71.6,21984,2.4
"14075","Nevada","1998","February",1392710,960881,69,917726,65.9,43155,4.5
"14076","New Hampshire","1998","February",915381,656743,71.7,638044,69.7,18699,2.8
"14077","New Jersey","1998","February",6333467,4253872,67.2,4044193,63.9,209679,4.9
"14078","New Mexico","1998","February",1310799,833249,63.6,782410,59.7,50839,6.1
"14079","New York","1998","February",14347926,9051596,63.1,8516812,59.4,534784,5.9
"14082","North Dakota","1998","February",486054,351258,72.3,342271,70.4,8987,2.6
"14083","Ohio","1998","February",8564079,5698930,66.5,5454476,63.7,244454,4.3
"14084","Oklahoma","1998","February",2525501,1624092,64.3,1559378,61.7,64714,4
"14085","Oregon","1998","February",2568509,1771949,69,1674909,65.2,97040,5.5
"14086","Pennsylvania","1998","February",9430782,6063830,64.3,5781498,61.3,282332,4.7
"14087","Rhode Island","1998","February",797850,531398,66.6,505657,63.4,25741,4.8
"14088","South Carolina","1998","February",2927841,1920057,65.6,1852566,63.3,67491,3.5
"14089","South Dakota","1998","February",550706,396795,72.1,385441,70,11354,2.9
"14090","Tennessee","1998","February",4254317,2787984,65.5,2667415,62.7,120569,4.3
"14091","Texas","1998","February",14529933,10008583,68.9,9523966,65.5,484617,4.8
"14092","Utah","1998","February",1512945,1088955,72,1050705,69.4,38250,3.5
"14093","Vermont","1998","February",461388,331654,71.9,319820,69.3,11834,3.6
"14094","Virginia","1998","February",5150509,3454674,67.1,3352052,65.1,102622,3
"14095","Washington","1998","February",4321834,3026812,70,2886141,66.8,140671,4.6
"14096","West Virginia","1998","February",1434896,795274,55.4,741863,51.7,53411,6.7
"14097","Wisconsin","1998","February",4003638,2979026,74.4,2884651,72.1,94375,3.2
"14098","Wyoming","1998","February",366105,255344,69.7,243633,66.5,11711,4.6
"14099","Alabama","1998","March",3333406,2135845,64.1,2046037,61.4,89808,4.2
"14100","Alaska","1998","March",425146,315384,74.2,295577,69.5,19807,6.3
"14101","Arizona","1998","March",3653595,2355467,64.5,2255128,61.7,100339,4.3
"14102","Arkansas","1998","March",1975766,1237936,62.7,1172945,59.4,64991,5.2
"14103","California","1998","March",24137061,16046981,66.5,15088148,62.5,958833,6
"14105","Colorado","1998","March",3089773,2291851,74.2,2207802,71.5,84049,3.7
"14106","Connecticut","1998","March",2570844,1737015,67.6,1672905,65.1,64110,3.7
"14107","Delaware","1998","March",579531,393066,67.8,378021,65.2,15045,3.8
"14108","District of Columbia","1998","March",452195,291712,64.5,265935,58.8,25777,8.8
"14109","Florida","1998","March",11987167,7473723,62.3,7141713,59.6,332010,4.4
"14110","Georgia","1998","March",5816077,4044015,69.5,3869039,66.5,174976,4.3
"14111","Hawaii","1998","March",893985,599413,67,563418,63,35995,6
"14112","Idaho","1998","March",912012,644454,70.7,611234,67,33220,5.2
"14113","Illinois","1998","March",9208643,6313648,68.6,6032645,65.5,281003,4.5
"14114","Indiana","1998","March",4530171,3115731,68.8,3021418,66.7,94313,3
"14115","Iowa","1998","March",2210482,1597854,72.3,1554042,70.3,43812,2.7
"14116","Kansas","1998","March",1969170,1404661,71.3,1355472,68.8,49189,3.5
"14117","Kentucky","1998","March",3025928,1924284,63.6,1837474,60.7,86810,4.5
"14118","Louisiana","1998","March",3257108,2043393,62.7,1929210,59.2,114183,5.6
"14119","Maine","1998","March",973706,650743,66.8,620757,63.8,29986,4.6
"14120","Maryland","1998","March",3909643,2765574,70.7,2636763,67.4,128811,4.7
"14121","Massachusetts","1998","March",4843017,3325143,68.7,3212833,66.3,112310,3.4
"14122","Michigan","1998","March",7422277,4997770,67.3,4808580,64.8,189190,3.8
"14123","Minnesota","1998","March",3612821,2701925,74.8,2629134,72.8,72791,2.7
"14124","Mississippi","1998","March",2062087,1274440,61.8,1207163,58.5,67277,5.3
"14125","Missouri","1998","March",4154574,2922814,70.4,2793169,67.2,129645,4.4
"14126","Montana","1998","March",675661,458128,67.8,432739,64,25389,5.5
"14127","Nebraska","1998","March",1264132,926913,73.3,904725,71.6,22188,2.4
"14128","Nevada","1998","March",1396636,964509,69.1,921213,66,43296,4.5
"14129","New Hampshire","1998","March",916477,657733,71.8,639265,69.8,18468,2.8
"14130","New Jersey","1998","March",6336645,4250754,67.1,4043612,63.8,207142,4.9
"14131","New Mexico","1998","March",1312011,834252,63.6,783156,59.7,51096,6.1
"14132","New York","1998","March",14354007,9050117,63,8524589,59.4,525528,5.8
"14135","North Dakota","1998","March",486126,351014,72.2,341861,70.3,9153,2.6
"14136","Ohio","1998","March",8565008,5695545,66.5,5454434,63.7,241111,4.2
"14137","Oklahoma","1998","March",2526690,1627228,64.4,1560773,61.8,66455,4.1
"14138","Oregon","1998","March",2570779,1773448,69,1675312,65.2,98136,5.5
"14139","Pennsylvania","1998","March",9431392,6061033,64.3,5780750,61.3,280283,4.6
"14140","Rhode Island","1998","March",798338,531482,66.6,505947,63.4,25535,4.8
"14141","South Carolina","1998","March",2931819,1923171,65.6,1855899,63.3,67272,3.5
"14142","South Dakota","1998","March",550794,397251,72.1,385920,70.1,11331,2.9
"14143","Tennessee","1998","March",4257912,2791260,65.6,2671488,62.7,119772,4.3
"14144","Texas","1998","March",14551534,10027228,68.9,9542807,65.6,484421,4.8
"14145","Utah","1998","March",1515394,1091410,72,1052381,69.4,39029,3.6
"14146","Vermont","1998","March",462413,331998,71.8,320318,69.3,11680,3.5
"14147","Virginia","1998","March",5153637,3459218,67.1,3358085,65.2,101133,2.9
"14148","Washington","1998","March",4327077,3029476,70,2888868,66.8,140608,4.6
"14149","West Virginia","1998","March",1434772,795380,55.4,741807,51.7,53573,6.7
"14150","Wisconsin","1998","March",4006093,2974958,74.3,2881822,71.9,93136,3.1
"14151","Wyoming","1998","March",366126,255939,69.9,244132,66.7,11807,4.6
"14152","Alabama","1998","April",3336208,2137621,64.1,2046805,61.4,90816,4.2
"14153","Alaska","1998","April",426138,315520,74,295748,69.4,19772,6.3
"14154","Arizona","1998","April",3661379,2362643,64.5,2262408,61.8,100235,4.2
"14155","Arkansas","1998","April",1977177,1238119,62.6,1173650,59.4,64469,5.2
"14156","California","1998","April",24175153,16073639,66.5,15116221,62.5,957418,6
"14158","Colorado","1998","April",3095750,2298898,74.3,2213867,71.5,85031,3.7
"14159","Connecticut","1998","April",2571308,1737218,67.6,1675059,65.1,62159,3.6
"14160","Delaware","1998","April",579607,394041,68,378799,65.4,15242,3.9
"14161","District of Columbia","1998","April",452561,292777,64.7,267078,59,25699,8.8
"14162","Florida","1998","April",12007522,7484364,62.3,7155723,59.6,328641,4.4
"14163","Georgia","1998","April",5826087,4050948,69.5,3876764,66.5,174184,4.3
"14164","Hawaii","1998","April",894116,600054,67.1,563761,63.1,36293,6
"14165","Idaho","1998","April",913013,645960,70.8,612814,67.1,33146,5.1
"14166","Illinois","1998","April",9214892,6311494,68.5,6037936,65.5,273558,4.3
"14167","Indiana","1998","April",4532739,3114031,68.7,3022610,66.7,91421,2.9
"14168","Iowa","1998","April",2210810,1596990,72.2,1553359,70.3,43631,2.7
"14169","Kansas","1998","April",1971182,1408359,71.4,1358766,68.9,49593,3.5
"14170","Kentucky","1998","April",3027978,1926907,63.6,1839027,60.7,87880,4.6
"14171","Louisiana","1998","April",3258129,2048231,62.9,1931471,59.3,116760,5.7
"14172","Maine","1998","April",974683,650435,66.7,621262,63.7,29173,4.5
"14173","Maryland","1998","April",3911467,2763887,70.7,2637103,67.4,126784,4.6
"14174","Massachusetts","1998","April",4846007,3327203,68.7,3216711,66.4,110492,3.3
"14175","Michigan","1998","April",7424976,4997105,67.3,4810314,64.8,186791,3.7
"14176","Minnesota","1998","April",3616506,2704050,74.8,2632837,72.8,71213,2.6
"14177","Mississippi","1998","April",2063189,1274116,61.8,1206910,58.5,67206,5.3
