fips,state,year,month,civil_noninstitutionalpop,laborforce,percentlaborforce,totalemploy,peremploy,totalunemploy,unemployrate
1,Alabama,1976,1,"2,605,000","1,492,841",57.3,"1,389,685",53.3,"103,156",6.9
2,Alaska,1976,1,"232,000","156,766",67.6,"145,467",62.7,"11,299",7.2
4,Arizona,1976,1,"1,621,000","965,498",59.6,"862,209",53.2,"103,289",10.7
5,Arkansas,1976,1,"1,536,000","880,753",57.3,"814,235",53,"66,518",7.6
6,California,1976,1,"15,621,000","9,734,627",62.3,"8,836,003",56.6,"898,624",9.2
37,Los Angeles County,1976,1,"5,273,000","3,366,626",63.8,"3,064,482",58.1,"302,144",9
8,Colorado,1976,1,"1,832,000","1,232,836",67.3,"1,164,855",63.6,"67,981",5.5
9,Connecticut,1976,1,"2,248,000","1,437,496",63.9,"1,294,003",57.6,"143,493",10
10,Delaware,1976,1,"417,000","261,811",62.8,"243,233",58.3,"18,578",7.1
11,District of Columbia,1976,1,"520,000","341,348",65.6,"309,893",59.6,"31,455",9.2
12,Florida,1976,1,"6,421,000","3,587,146",55.9,"3,231,304",50.3,"355,842",9.9
13,Georgia,1976,1,"3,522,000","2,241,750",63.6,"2,048,073",58.2,"193,677",8.6
15,Hawaii,1976,1,"583,000","407,485",69.9,"365,048",62.6,"42,437",10.4
16,Idaho,1976,1,"580,000","363,021",62.6,"343,705",59.3,"19,316",5.3
17,Illinois,1976,1,"8,127,000","5,126,946",63.1,"4,773,622",58.7,"353,324",6.9
18,Indiana,1976,1,"3,789,000","2,412,013",63.7,"2,242,810",59.2,"169,203",7
19,Iowa,1976,1,"2,066,000","1,318,634",63.8,"1,261,325",61.1,"57,309",4.3
20,Kansas,1976,1,"1,635,000","1,056,232",64.6,"1,010,710",61.8,"45,522",4.3
21,Kentucky,1976,1,"2,459,000","1,488,244",60.5,"1,404,326",57.1,"83,918",5.6
22,Louisiana,1976,1,"2,672,000","1,506,733",56.4,"1,414,290",52.9,"92,443",6.1
23,Maine,1976,1,"764,000","474,959",62.2,"432,578",56.6,"42,381",8.9
24,Maryland,1976,1,"2,954,000","1,902,754",64.4,"1,780,646",60.3,"122,108",6.4
25,Massachusetts,1976,1,"4,194,000","2,711,315",64.6,"2,421,320",57.7,"289,995",10.7
26,Michigan,1976,1,"6,417,000","3,938,109",61.4,"3,543,260",55.2,"394,849",10
27,Minnesota,1976,1,"2,788,000","1,825,987",65.5,"1,710,707",61.4,"115,280",6.3
28,Mississippi,1976,1,"1,640,000","955,351",58.3,"888,903",54.2,"66,448",7
29,Missouri,1976,1,"3,464,000","2,073,168",59.8,"1,951,027",56.3,"122,141",5.9
30,Montana,1976,1,"531,000","326,965",61.6,"307,823",58,"19,142",5.9
31,Nebraska,1976,1,"1,095,000","714,988",65.3,"690,369",63,"24,619",3.4
32,Nevada,1976,1,"451,000","319,009",70.7,"289,934",64.3,"29,075",9.1
33,New Hampshire,1976,1,"593,000","388,884",65.6,"361,881",61,"27,003",6.9
34,New Jersey,1976,1,"5,358,000","3,263,434",60.9,"2,931,660",54.7,"331,774",10.2
35,New Mexico,1976,1,"792,000","471,670",59.6,"430,024",54.3,"41,646",8.8
36,New York,1976,1,"13,196,000","7,684,635",58.2,"6,885,966",52.2,"798,669",10.4
51000,New York city,1976,1,"5,694,000","3,117,214",54.7,"2,771,118",48.7,"346,096",11.1
37,North Carolina,1976,1,"3,898,000","2,591,225",66.5,"2,414,624",61.9,"176,601",6.8
38,North Dakota,1976,1,"442,000","274,110",62,"265,404",60,"8,706",3.2
39,Ohio,1976,1,"7,701,000","4,756,259",61.8,"4,362,865",56.7,"393,394",8.3
40,Oklahoma,1976,1,"1,999,000","1,178,442",59,"1,106,726",55.4,"71,716",6.1
41,Oregon,1976,1,"1,716,000","1,071,317",62.4,"962,686",56.1,"108,631",10.1
42,Pennsylvania,1976,1,"8,774,000","5,096,696",58.1,"4,689,411",53.4,"407,285",8
44,Rhode Island,1976,1,"691,000","433,990",62.8,"398,442",57.7,"35,548",8.2
45,South Carolina,1976,1,"1,984,000","1,294,369",65.2,"1,191,228",60,"103,141",8
46,South Dakota,1976,1,"477,000","308,779",64.7,"298,562",62.6,"10,217",3.3
47,Tennessee,1976,1,"3,078,000","1,802,927",58.6,"1,691,775",55,"111,152",6.2
48,Texas,1976,1,"8,818,000","5,576,299",63.2,"5,249,697",59.5,"326,602",5.9
49,Utah,1976,1,"824,000","516,370",62.7,"485,242",58.9,"31,128",6
50,Vermont,1976,1,"339,000","212,415",62.7,"193,785",57.2,"18,630",8.8
51,Virginia,1976,1,"3,534,000","2,323,431",65.7,"2,183,106",61.8,"140,325",6
53,Washington,1976,1,"2,598,000","1,574,928",60.6,"1,437,030",55.3,"137,898",8.8
54,West Virginia,1976,1,"1,352,000","704,529",52.1,"648,999",48,"55,530",7.9
55,Wisconsin,1976,1,"3,245,000","2,117,444",65.3,"1,991,023",61.4,"126,421",6
56,Wyoming,1976,1,"270,000","173,969",64.4,"166,638",61.7,"7,331",4.2
1,Alabama,1976,2,"2,610,000","1,491,228",57.1,"1,390,730",53.3,"100,498",6.7
2,Alaska,1976,2,"234,000","157,769",67.4,"146,542",62.6,"11,227",7.1
4,Arizona,1976,2,"1,626,000","967,875",59.5,"866,400",53.3,"101,475",10.5
5,Arkansas,1976,2,"1,538,000","880,959",57.3,"815,049",53,"65,910",7.5
6,California,1976,2,"15,657,000","9,750,327",62.3,"8,860,188",56.6,"890,139",9.1
37,Los Angeles County,1976,2,"5,283,000","3,369,632",63.8,"3,071,025",58.1,"298,607",8.9
8,Colorado,1976,2,"1,837,000","1,232,017",67.1,"1,164,573",63.4,"67,444",5.5
9,Connecticut,1976,2,"2,251,000","1,439,941",64,"1,297,668",57.6,"142,273",9.9
10,Delaware,1976,2,"418,000","262,134",62.7,"242,830",58.1,"19,304",7.4
11,District of Columbia,1976,2,"519,000","340,549",65.6,"309,599",59.7,"30,950",9.1
12,Florida,1976,2,"6,437,000","3,588,685",55.8,"3,239,211",50.3,"349,474",9.7
13,Georgia,1976,2,"3,528,000","2,244,989",63.6,"2,053,923",58.2,"191,066",8.5
15,Hawaii,1976,2,"585,000","408,354",69.8,"366,126",62.6,"42,228",10.3
16,Idaho,1976,2,"582,000","364,301",62.6,"344,675",59.2,"19,626",5.4
17,Illinois,1976,2,"8,136,000","5,127,924",63,"4,780,710",58.8,"347,214",6.8
18,Indiana,1976,2,"3,793,000","2,414,026",63.6,"2,250,618",59.3,"163,408",6.8
19,Iowa,1976,2,"2,069,000","1,321,211",63.9,"1,264,627",61.1,"56,584",4.3
20,Kansas,1976,2,"1,637,000","1,058,173",64.6,"1,012,752",61.9,"45,421",4.3
