state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
AL,BALDWIN,1003,1240-01-361-1318,BINOCULAR,3,Each,342,1026,5/22/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
AL,AUTAUGA,1001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AL,AUTAUGA,1001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AL,AUTAUGA,1001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AL,AUTAUGA,1001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AL,AUTAUGA,1001,1240-01-540-3690,"SIGHT,REFLEX",10,Each,340,3400,1/21/2014 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
AL,AUTAUGA,1001,2320-01-146-7190,"TRUCK,UTILITY",1,Each,39158,39158,12/17/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
AL,AUTAUGA,1001,2320-01-371-9584,"TRUCK,UTILITY",1,Each,59562,59562,2/13/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
AL,AUTAUGA,1001,2320-01-455-9593,"TRUCK,UTILITY",1,Each,60409,60409,10/1/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
AL,AUTAUGA,1001,4110-DS-REF-RIG0,REFRIGERATOR,1,Each,100,100,4/30/2013 0:00:00,41,"REFRIG, AIR CONDIT/CIRCULAT EQPT",4110,Refrigeration Equipment
AL,AUTAUGA,1001,5180-01-483-0249,"TOOL KIT,GENERAL MECHANIC'S",1,Set,1805,1805,2/5/2014 0:00:00,51,HAND TOOLS,5180,"Sets, Kits, and Outfits of Hand Tools"
AL,AUTAUGA,1001,5836-DS-VID-EORE,VIDEO RECORDING AND REPRODUCING EQUIPMEN,1,Each,0,0,1/6/2014 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5836,Video Recording and Reproducing Equipment
AL,AUTAUGA,1001,5836-DS-VID-EORE,VIDEO RECORDING AND REPRODUCING EQUIPMEN,1,Each,0,0,1/6/2014 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5836,Video Recording and Reproducing Equipment
AL,AUTAUGA,1001,5836-DS-VID-EORE,VIDEO RECORDING AND REPRODUCING EQUIPMEN,1,Each,0,0,1/6/2014 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5836,Video Recording and Reproducing Equipment
AL,AUTAUGA,1001,5836-DS-VID-EORE,VIDEO RECORDING AND REPRODUCING EQUIPMEN,1,Each,0,0,2/5/2014 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5836,Video Recording and Reproducing Equipment
AL,AUTAUGA,1001,6230-01-439-3732,"FLOODLIGHT SET,ELECTRIC",1,Each,12000,12000,4/8/2014 0:00:00,62,"LIGHTING FIXTURES, LAMPS",6230,Electric Portable and Hand Lighting Equipment
AL,AUTAUGA,1001,6625-01-265-6000,MULTIMETER,1,Each,563.83,563.83,1/9/2014 0:00:00,66,INSTRUMENTS AND LABORATORY EQPT,6625,Electrical and Electronic Properties Measuring and Testing Instruments
AL,AUTAUGA,1001,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",8,Each,0,0,12/17/2013 0:00:00,67,PHOTOGRAPHIC EQPT,6720,"Cameras, Still Picture"
AL,AUTAUGA,1001,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",6,Each,0,0,2/5/2014 0:00:00,67,PHOTOGRAPHIC EQPT,6720,"Cameras, Still Picture"
AL,AUTAUGA,1001,6730-DS-PRO-JEC1,PHOTOGRAPHIC PROJECTION EQUIPMENT,1,Each,0,0,2/5/2014 0:00:00,67,PHOTOGRAPHIC EQPT,6730,Photographic Projection Equipment
AL,AUTAUGA,1001,7035-DS-ADP-SUPP,ADP SUPPORT EQUIPMENT,1,Each,0,0,9/19/2013 0:00:00,70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,7035,ADP Support Equipment
AL,AUTAUGA,1001,7110-DS-CHA-IR02,"CHAIR, OFFICE",3,Each,50,150,4/19/2013 0:00:00,71,FURNITURE,7110,Office Furniture
AL,AUTAUGA,1001,7110-DS-CHA-IR02,"CHAIR, OFFICE",2,Each,0,0,9/12/2013 0:00:00,71,FURNITURE,7110,Office Furniture
AL,AUTAUGA,1001,7110-DS-CHA-IR02,"CHAIR, OFFICE",9,Each,0,0,9/12/2013 0:00:00,71,FURNITURE,7110,Office Furniture
AL,AUTAUGA,1001,7110-DS-DES-K000,,2,Each,6800,13600,4/19/2013 0:00:00,71,FURNITURE,7110,Office Furniture
AL,AUTAUGA,1001,7110-DS-FIL-ECA,,1,Each,200,200,4/19/2013 0:00:00,71,FURNITURE,7110,Office Furniture
AL,AUTAUGA,1001,7110-DS-FIL-ECA0,FILE CABINET,2,Each,100,200,5/21/2013 0:00:00,71,FURNITURE,7110,Office Furniture
