state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
AR,ARKANSAS,5001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/13/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/22/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/19/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,4/22/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,4/22/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,4/19/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,4/19/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,4/22/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,4/19/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ARKANSAS,5001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,4/19/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ASHLEY,5003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/10/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AR,ASHLEY,5003,1240-01-411-1265,"SIGHT,REFLEX",20,Each,328,6560,8/25/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
AR,ASHLEY,5003,1240-01-411-1265,"SIGHT,REFLEX",25,Each,328,8200,10/3/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
AR,ASHLEY,5003,2320-01-047-8750,"TRUCK,VAN",1,Each,135122,135122,11/30/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
AR,ASHLEY,5003,2320-01-074-7642,"TRUCK,ARMORED",1,Each,65070,65070,7/24/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
AR,ASHLEY,5003,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,25000,8/19/2011 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
