state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
AZ,COCHISE,4003,5820-00-WEB-CAME,,2,Each,500,1000,2/21/2012 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5820,"Radio and Television Communication Equipment,  Except Airborne"
AZ,COCONINO,4005,8465-01-515-8615,FIELD PACK,8,EA,550.47,4403.76,5/29/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
AZ,COCONINO,4005,8465-01-515-8620,FIELD PACK,8,EA,229.67,1837.36,6/15/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
AZ,COCONINO,4005,8465-01-515-8620,FIELD PACK,20,EA,229.67,4593.4,7/11/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
AZ,COCONINO,4005,8465-01-515-8629,FIELD PACK,14,EA,112.76,1578.64,7/11/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
AZ,COCONINO,4005,8465-01-515-8643,LID,20,EA,45.35,907,4/4/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
AZ,APACHE,4001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AZ,APACHE,4001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AZ,APACHE,4001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AZ,APACHE,4001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AZ,APACHE,4001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
AZ,APACHE,4001,2320-01-107-7156,"TRUCK,UTILITY",1,Each,41253,41253,6/6/2006 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
AZ,APACHE,4001,2320-01-107-7156,"TRUCK,UTILITY",1,Each,41253,41253,6/6/2006 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
AZ,APACHE,4001,5811-01-176-3877,"SYSTEM,POWER DISTRI",1,Each,600000,600000,7/12/2011 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5811,Other Cryptologic Equipment and Components
AZ,COCHISE,4003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,7/11/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
