state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
CT,NEW HAVEN,9009,7195-DS-MIS-CFUR,DISCK CHAIR,1,EA,105,105,8/13/2012 0:00:00,71,FURNITURE,7195,Miscellaneous Furniture and Fixtures
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
CT,FAIRFIELD,9001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/26/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
