state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
DC,DISTRICT OF COLUMBIA,11001,1080-00-103-1322,CAMOUFLAGE SCREENING SYSTEM,4,Each,944,3776,5/30/2012 0:00:00,10,WEAPONS,1080,Camouflage and Deception Equipment
DC,DISTRICT OF COLUMBIA,11001,1095-00-073-9238,BAYONET-KNIFE,10,EA,25.62,256.2,5/9/2012 0:00:00,10,WEAPONS,1095,Miscellaneous Weapons
DC,DISTRICT OF COLUMBIA,11001,1095-00-073-9238,BAYONET-KNIFE,50,EA,25.62,1281,5/9/2012 0:00:00,10,WEAPONS,1095,Miscellaneous Weapons
DC,DISTRICT OF COLUMBIA,11001,1240-00-930-3833,BINOCULAR,39,Each,278.05,10843.95,6/11/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-207-5787,BINOCULAR,1,Each,342,342,6/18/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-207-5787,BINOCULAR,4,Each,342,1368,6/25/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-361-1318,BINOCULAR,1,Each,342,342,6/6/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-361-1318,BINOCULAR,5,Each,342,1710,6/18/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-361-1318,BINOCULAR,1,Each,342,342,6/25/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-361-1318,BINOCULAR,1,Each,342,342,7/14/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-410-7418,BINOCULAR,3,Each,6120,18360,7/11/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-411-1265,"SIGHT,REFLEX",9,Each,328,2952,6/11/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-411-1265,"SIGHT,REFLEX",4,Each,328,1312,3/6/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-412-6608,"TELESCOPE,STRAIGHT",1000,Each,923,923000,9/18/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-499-3547,BINOCULAR,2,Each,355,710,7/3/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-499-3547,BINOCULAR,39,Each,355,13845,7/3/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1240-01-524-7981,"RANGE FINDER,LASER",4,Each,19496,77984,6/12/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
DC,DISTRICT OF COLUMBIA,11001,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,800865,7/2/2008 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1510,"Aircraft, Fixed Wing"
DC,DISTRICT OF COLUMBIA,11001,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,800865,7/2/2008 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1510,"Aircraft, Fixed Wing"
DC,DISTRICT OF COLUMBIA,11001,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,800865,7/2/2008 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1510,"Aircraft, Fixed Wing"
DC,DISTRICT OF COLUMBIA,11001,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,800865,7/2/2008 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1510,"Aircraft, Fixed Wing"
DC,DISTRICT OF COLUMBIA,11001,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,800865,7/2/2008 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1510,"Aircraft, Fixed Wing"
DC,DISTRICT OF COLUMBIA,11001,1510-01-070-3661,"AIRPLANE,CARGO-TRANSPORT",1,Each,800865,800865,7/2/2008 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1510,"Aircraft, Fixed Wing"
