state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
GA,CARROLL,13045,2010-DS-OUT-MOTO,OUTBOARD MOTOR,4,Each,0,0,7/2/2013 0:00:00,20,SHIP AND MARINE EQUIPMENT,2010,Ship and Boat Propulsion Components
GA,CHEROKEE,13057,6625-01-458-5183,MULTIMETER,1,EA,235.56,235.56,3/5/2012 0:00:00,66,INSTRUMENTS AND LABORATORY EQPT,6625,Electrical and Electronic Properties Measuring and Testing Instruments
GA,CLINCH,13065,2330-DS-TRA-ILE1,TRAILER,1,Each,750,750,2/5/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
GA,APPLING,13001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
GA,APPLING,13001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
GA,APPLING,13001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
GA,ATKINSON,13003,2320-01-047-8756,"TRUCK,DUMP",1,Each,84554,84554,5/14/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-047-8756,"TRUCK,DUMP",1,Each,84554,84554,10/22/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,25000,5/14/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-125-2532,"TRUCK,MAINTENANCE",1,EA,8538,8538,6/26/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-205-2684,TRUCK TRACTOR,1,EA,85185,85185,2/24/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-206-4077,TRUCK TRACTOR,1,EA,74834,74834,1/24/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-230-0302,TRUCK TRACTOR,1,Each,86203,86203,6/6/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-230-0302,TRUCK TRACTOR,1,Each,86203,86203,1/8/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-458-1207,TRUCK TRACTOR,1,EA,70832,70832,1/11/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-01-543-4760,"TRUCK,UTILITY",1,EA,13343,13343,2/17/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,17699,17699,8/11/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
GA,ATKINSON,13003,2330-00-705-8932,"SEMITRAILER,VAN",1,Each,24125,24125,8/20/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
GA,ATKINSON,13003,2330-01-050-5635,"SEMITRAILER,TANK",1,EA,82261,82261,2/3/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
GA,ATKINSON,13003,2330-01-163-1853,"SEMITRAILER,LOW BED",1,EA,12174,12174,2/17/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
GA,ATKINSON,13003,2330-01-226-0701,"SEMITRAILER,CARGO",1,Each,14921.68,14921.68,6/6/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
GA,ATKINSON,13003,2330-01-226-0701,"SEMITRAILER,CARGO",1,Each,14921.68,14921.68,6/6/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
GA,ATKINSON,13003,2330-01-442-4975,"SEMITRAILER,LOW BED",1,EA,45599.9,45599.9,2/21/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
GA,ATKINSON,13003,2340-01-X00-2401,SCOOTER  FUEL  CARGO,1,EA,6500,6500,4/27/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2340,"Motorcycles, Motor Scooters, and Bicycles"
GA,ATKINSON,13003,2410-01-088-3807,"TRACTOR,FULL TRACKE",1,EA,158350,158350,1/4/2012 0:00:00,24,TRACTORS,2410,"Tractors, Full Tracked, Low Speed"
GA,ATKINSON,13003,2420-01-032-5533,"TRACTOR,WHEELED,AGR",1,EA,21040.82,21040.82,1/24/2012 0:00:00,24,TRACTORS,2420,"Tractors, Wheeled"
GA,ATKINSON,13003,2420-DS-TRA-CTO1,"TRACTORS, WHEELED",1,Each,15092,15092,1/31/2013 0:00:00,24,TRACTORS,2420,"Tractors, Wheeled"
GA,ATKINSON,13003,2815-00-146-0353,POWER UNIT DIESEL,1,EA,2140.32,2140.32,1/18/2012 0:00:00,28,ENGINES AND TURBINES AND COMPONENT,2815,Diesel Engines and Components
GA,ATKINSON,13003,3431-01-246-2247,"WELDING MACHINE,ARC",1,EA,13540,13540,5/14/2012 0:00:00,34,METALWORKING MACHINERY,3431,Electric Arc Welding Equipment
GA,ATKINSON,13003,3740-01-167-4447,"FOG GENERATOR,INSECTICIDAL",1,Each,4867.8,4867.8,2/21/2013 0:00:00,37,AGRICULTURAL MACHINERY AND EQPT,3740,"Pest, Disease, and Frost Control Equipment"
GA,ATKINSON,13003,3805-01-054-5811,"LOADER,SCOOP TYPE",1,EA,83959.42,83959.42,3/1/2012 0:00:00,38,CONSTRUCT/MINE/EXCAVATE/HIGHWY EQPT,3805,Earth Moving and Excavating Equipment
GA,ATKINSON,13003,4120-01-481-6048,"COOLER,AIR,EVAPORATIVE",2,Each,1941.9,3883.8,2/4/2014 0:00:00,41,"REFRIG, AIR CONDIT/CIRCULAT EQPT",4120,Air Conditioning Equipment
GA,ATKINSON,13003,4320-01-013-0798,"PUMP UNIT,CENTRIFUG",1,EA,11790,11790,1/20/2012 0:00:00,43,PUMPS AND COMPRESSORS,4320,Power and Hand Pumps
GA,ATKINSON,13003,4940-01-129-6490,"CLEANER,STEAM,PRESS",1,EA,2620,2620,1/20/2012 0:00:00,49,MAINT/REPAIR SHOP EQPT,4940,Miscellaneous Maintenance and Repair Shop Specialized Equipment
GA,ATKINSON,13003,5180-00-177-7033,"TOOL KIT,GENERAL ME",3,KT,1013.54,3040.62,5/14/2012 0:00:00,51,HAND TOOLS,5180,"Sets, Kits, and Outfits of Hand Tools"
GA,ATKINSON,13003,6115-01-021-4096,"GENERATOR SET,DIESE",1,EA,49440,49440,3/13/2012 0:00:00,61,"ELECTRIC WIRE, POWER DISTRIB EQPT",6115,"Generators and Generator Sets, Electrical"
GA,ATKINSON,13003,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",1,Each,0,0,1/17/2014 0:00:00,61,"ELECTRIC WIRE, POWER DISTRIB EQPT",6115,"Generators and Generator Sets, Electrical"
GA,ATKINSON,13003,6115-IN-C00-476,,1,Each,12000,12000,3/20/2013 0:00:00,61,"ELECTRIC WIRE, POWER DISTRIB EQPT",6115,"Generators and Generator Sets, Electrical"
GA,ATKINSON,13003,6230-00-299-7077,"LIGHT SET,GENERAL ILLUMINATION",1,Set,5790,5790,2/21/2013 0:00:00,62,"LIGHTING FIXTURES, LAMPS",6230,Electric Portable and Hand Lighting Equipment
GA,ATKINSON,13003,6650-01-283-4363,BORESCOPE LIGHT,1,Each,2286,2286,1/8/2012 0:00:00,66,INSTRUMENTS AND LABORATORY EQPT,6650,"Optical Instruments, Test Equipment, Components and Accessories"
GA,ATKINSON,13003,8145-01-591-5618,"SHIPPING AND STORAGE CONTAINER,STABILIZED PLATFORM",1,Each,11161.54,11161.54,4/26/2013 0:00:00,81,CONTAINERS/PACKAGING/PACKING SUPPL,8145,Specialized Shipping and Storage Containers
GA,BACON,13005,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,25000,2/24/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
