state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
IA,ALLAMAKEE,19005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/4/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,ALLAMAKEE,19005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/4/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/8/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/8/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/8/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/2/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/2/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,APPANOOSE,19007,8470-01-560-3267,"HELMET,GROUND TROOPS'",10,Each,271.15,2711.5,1/29/2010 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8470,"Armor, Personal"
IA,BENTON,19011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,3/12/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BENTON,19011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,3/12/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BLACK HAWK,19013,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/4/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/4/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,3/30/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,3/30/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,10/23/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IA,BOONE,19015,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,8/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
