state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
ID,CANYON,16027,2320-01-573-1380,"TRUCK,UTILITY",1,EA,13500,13500,4/11/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
ID,FRANKLIN,16041,5140-DS-CAB-INE0,"CABINET, TOOL",5,Each,0,0,3/18/2014 0:00:00,51,HAND TOOLS,5140,Tool and Hardware Boxes
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/2/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/4/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/4/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/4/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/4/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/4/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/4/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ID,ADA,16001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
