state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,6/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,6/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,6/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IL,ADAMS,17001,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
