state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
IN,BLACKFORD,18009,1240-01-361-1318,BINOCULAR,2,EA,342,684,5/21/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/2/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/2/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/2/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,4/2/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
IN,ADAMS,18001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,6/17/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
