"","State","Year","Month","quantity.sum","total_cost.sum","npr_ammo_quantity.sum","npr_ammo_totalcost.sum","npr_armor_quantity.sum","npr_armor_totalcost.sum","npr_bags_quantity.sum","npr_bags_totalcost.sum","npr_boats_quantity.sum","npr_boats_totalcost.sum","npr_camping_quantity.sum","npr_camping_totalcost.sum","npr_car_quantity.sum","npr_car_totalcost.sum","npr_cooking_quantity.sum","npr_cooking_totalcost.sum","npr_clothing_quantity.sum","npr_clothing_totalcost.sum","npr_disaster_quantity.sum","npr_disaster_totalcost.sum","npr_electro_quantity.sum","npr_electro_totalcost.sum","npr_farming_quantity.sum","npr_farming_totalcost.sum","npr_generator_quantity.sum","npr_generator_totalcost.sum","npr_guncase_quantity.sum","npr_guncase_totalcost.sum","npr_lights_quantity.sum","npr_lights_totalcost.sum","npr_material_quantity.sum","npr_material_totalcost.sum","npr_med_quantity.sum","npr_med_totalcost.sum","npr_office_quantity.sum","npr_office_totalcost.sum","npr_plane_quantity.sum","npr_plane_totalcost.sum","npr_quallife_quantity.sum","npr_quallife_totalcost.sum","npr_record_quantity.sum","npr_record_totalcost.sum","npr_rope_quantity.sum","npr_rope_totalcost.sum","npr_shipping_quantity.sum","npr_shipping_totalcost.sum","npr_signs_quantity.sum","npr_signs_totalcost.sum","npr_training_quantity.sum","npr_training_totalcost.sum","npr_tools_quantity.sum","npr_tools_totalcost.sum","npr_weapon_quantity.sum","npr_weapon_totalcost.sum","State","Year","Month","day.mean"
"1","Alabama","2006","April",52,19527.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,19527.65,"Alabama","2006","April",13.7692307692308
"2","Alabama","2006","May",128,26714.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,26714.17,"Alabama","2006","May",22.0703125
"3","Alabama","2006","June",1,190817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190817,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","June",2
"4","Alabama","2006","July",3,375397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,375397,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","July",16.6666666666667
"5","Alabama","2006","August",17,4594.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,545.69,0,0,0,0,0,0,0,0,0,0,11,1320,"Alabama","2006","August",29.75
"6","Alabama","2006","September",6,1262315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,800865,0,0,5,461450,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","September",19.5
"7","Alabama","2006","October",8,382354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,381634,0,0,0,0,0,0,0,0,0,0,6,720,"Alabama","2006","October",5.125
"8","Alabama","2006","November",469,145423.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,145423.64,"Alabama","2006","November",9.03411513859275
"9","Alabama","2006","December",23,192893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,184580,0,0,0,0,0,0,0,0,0,0,21,8313,"Alabama","2006","December",6.8695652173913
"10","Alabama","2007","January",5,94286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92290,0,0,0,0,0,0,0,0,0,0,4,1996,"Alabama","2007","January",23.2
"11","Alabama","2007","February",4,393.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,393.42,"Alabama","2007","February",21
"12","Alabama","2007","May",6,21468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21468,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","May",25
"13","Alabama","2007","July",1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","July",19
"14","Alabama","2007","September",103,846897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,830969,0,0,0,0,0,0,0,0,0,0,79,10902,"Alabama","2007","September",5.73033707865169
"15","Alabama","2007","October",18,108919.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19936.68,0,0,0,0,0,0,0,0,0,0,2,2488,"Alabama","2007","October",16
"16","Alabama","2007","November",30,10770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,359,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","November",15
"17","Alabama","2008","February",12,30609.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25619.93,0,0,0,0,0,0,0,0,0,0,10,4990,"Alabama","2008","February",23.5
"18","Alabama","2008","March",3,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1497,"Alabama","2008","March",12.3333333333333
"19","Alabama","2008","April",38,13642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,359,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","April",15
"20","Alabama","2008","May",55,17355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,359,0,0,0,0,0,0,0,0,0,0,10,1200,"Alabama","2008","May",27.2727272727273
"21","Alabama","2008","June",33,4456.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4456.04,"Alabama","2008","June",12
"22","Alabama","2008","August",1,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190000,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","August",22
