"","State","Year","Month","quantity.sum","total_cost.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policeweapon_nocart_quantity.sum","policeweapon_nocart_totalcost.sum","other_quantity.sum","other_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policegood_quantity.sum","policegood_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","policecarW_quantity.sum","policecarW_totalcost.sum","policecarF_quantity.sum","policecarF_totalcost.sum","clothing_quantity.sum","clothing_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","construction_quantity.sum","construction_totalcost.sum","farming_quantity.sum","farming_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","signals_quantity.sum","signals_totalcost.sum","building_quantity.sum","building_totalcost.sum","utility_quantity.sum","utility_totalcost.sum","State","Year","Month","day.mean"
"1","Alabama","2006","April",52,19527.65,52,19527.65,52,19527.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","April",13.7692307692308
"2","Alabama","2006","May",128,26714.17,128,26714.17,128,26714.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","May",22.0703125
"3","Alabama","2006","June",1,190817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","June",2
"4","Alabama","2006","July",3,375397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","July",16.6666666666667
"5","Alabama","2006","August",17,4594.14,11,1320,11,1320,0,0,6,3274.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","August",29.75
"6","Alabama","2006","September",6,1262315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","September",19.5
"7","Alabama","2006","October",8,382354,6,720,6,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","October",5.125
"8","Alabama","2006","November",469,145423.64,469,145423.64,469,145423.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","November",9.03411513859275
"9","Alabama","2006","December",23,192893,21,8313,21,8313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","December",6.8695652173913
"10","Alabama","2007","January",5,94286,4,1996,4,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","January",23.2
"11","Alabama","2007","February",4,393.42,4,393.42,4,393.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","February",21
"12","Alabama","2007","May",6,21468,0,0,0,0,0,0,6,21468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","May",25
"13","Alabama","2007","July",1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","July",19
"14","Alabama","2007","September",103,846897,79,10902,79,10902,0,0,15,5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","September",5.73033707865169
"15","Alabama","2007","October",18,108919.96,1,138,1,138,0,0,17,108781.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","October",16
"16","Alabama","2007","November",30,10770,0,0,0,0,0,0,30,10770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","November",15
"17","Alabama","2008","February",12,30609.93,10,4990,10,4990,0,0,2,25619.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","February",23.5
"18","Alabama","2008","March",3,1497,3,1497,3,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","March",12.3333333333333
"19","Alabama","2008","April",38,13642,0,0,0,0,0,0,38,13642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","April",15
"20","Alabama","2008","May",55,17355,10,1200,10,1200,0,0,45,16155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","May",27.2727272727273
"21","Alabama","2008","June",33,4456.04,33,4456.04,33,4456.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","June",12
"22","Alabama","2008","August",1,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","August",22
"23","Alabama","2008","October",6,201412,5,1412,5,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","October",15
"24","Alabama","2008","November",8,708.6,8,708.6,8,708.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","November",25
"25","Alabama","2008","December",2,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","December",17
"26","Alabama","2009","January",50,219882.09,41,6161.89,41,6161.89,0,0,8,23720.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","January",13.1428571428571
"27","Alabama","2009","February",28,240151.69,26,3401.69,26,3401.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","February",23.5833333333333
"28","Alabama","2009","March",177,297354.23,71,259778.58,71,259778.58,0,0,106,37575.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","March",17
"29","Alabama","2009","April",286,81710.09,156,1765.9,6,564.4,0,0,62,76599,2,257.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","April",14.8076923076923
"30","Alabama","2009","May",200,908415.39,146,1359.26,0,0,0,0,39,19541.34,0,0,0,0,4,840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","May",19
"31","Alabama","2009","June",226,1061514.82,5,3798.68,5,3798.68,0,0,141,92246.51,0,0,0,0,2,420000,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","June",11.9090909090909
"32","Alabama","2009","July",163,278680.81,110,32087.47,28,31324.05,0,0,42,23959,0,0,0,0,2,210824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","July",21.4166666666667
"33","Alabama","2009","August",1372,418452.69,1260,12609.05,10,961.55,0,0,106,69277.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19300,0,0,0,0,0,0,"Alabama","2009","August",17.6
"34","Alabama","2009","September",67,48986.66,24,4960.53,24,4960.53,0,0,41,42211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","September",12.6315789473684
"35","Alabama","2009","October",130,47940.79,54,1528.34,4,1062.84,0,0,21,11055.66,0,0,0,0,0,0,0,0,0,0,7,2112.74,2,326,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","October",16.7333333333333
"36","Alabama","2009","November",241,69503.39,146,5613.35,1,5000,0,0,37,35173.78,0,0,0,0,4,289.24,0,0,0,0,25,145.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","November",13.25
"37","Alabama","2009","December",203,104979.49,102,3421.09,62,3251.89,0,0,19,16747.56,40,2400,0,0,1,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2009","December",13.75
"38","Alabama","2010","January",155,382277.93,26,1837.93,26,1837.93,0,0,26,249728.29,0,0,0,0,0,0,0,0,0,0,15,4527.3,10,305.4,0,0,0,0,3,1332.84,0,0,0,0,0,0,"Alabama","2010","January",18.2222222222222
"39","Alabama","2010","February",202,12456.36,40,876.3,10,406.8,0,0,11,10821.06,150,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","February",17
"40","Alabama","2010","March",417,418768.75,82,12553.14,80,12544.68,0,0,59,52732.76,100,506,0,0,0,0,0,0,0,0,0,0,85,230218.85,1,85815,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","March",14.3030303030303
"41","Alabama","2010","April",408,418451.3,231,16237.9,56,15497.65,0,0,132,235253.24,0,0,0,0,0,0,0,0,0,0,0,0,5,3125,0,0,0,0,10,22448.6,0,0,0,0,0,0,"Alabama","2010","April",15.75
"42","Alabama","2010","May",97,252420.81,5,428.69,5,428.69,0,0,82,94181.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27500,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","May",7.43333333333333
"43","Alabama","2010","June",191,227524.11,59,59951.15,59,59951.15,0,0,100,45256.92,0,0,0,0,0,0,0,0,0,0,6,2520.9,0,0,1,119416.14,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","June",13.1714285714286
"44","Alabama","2010","July",89,317826.95,34,3381.02,34,3381.02,0,0,51,37672.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,150000,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","July",16.5
"45","Alabama","2010","August",217,594264.38,89,7704.38,89,7704.38,0,0,88,82714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,193058,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","August",8.5
"46","Alabama","2010","September",180,405669.48,4,2654.28,4,2654.28,0,0,88,239493.45,1,42761.25,0,0,27,21420.62,0,0,0,0,0,0,5,192.4,1,85815,0,0,0,0,0,0,0,0,0,0,"Alabama","2010","September",18.0714285714286
"47","Alabama","2010","October",137,61462.87,75,4933.15,75,4933.15,0,0,9,2076.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,0,0,0,0,0,0,"Alabama","2010","October",26.1704545454545
"48","Alabama","2010","November",766,95399.51,652,20942.27,152,16287.27,0,0,92,68310.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,626.91,0,0,0,0,0,0,"Alabama","2010","November",11
"49","Alabama","2010","December",236,205047.01,170,19265.32,123,18827.75,0,0,19,13917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85815,0,0,0,0,0,0,0,0,8,62026.96,"Alabama","2010","December",21.2931034482759
"50","Alabama","2011","January",211,134532.82,63,4207.25,63,4207.25,0,0,70,57741.28,0,0,4,1119.02,0,0,0,0,3,7740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,"Alabama","2011","January",17.8285714285714
"51","Alabama","2011","February",264,137083.9,148,19740.86,142,19708.4,0,0,54,25095.25,0,0,0,0,20,2980,0,0,0,0,1,49.33,4,940.66,6,40368,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","February",3.44444444444444
"52","Alabama","2011","March",299,300468.4,217,51636.22,167,51170.72,0,0,60,25855.28,1,2081,0,0,2,8168.9,0,0,1,5721,0,0,9,2070,3,7989,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","March",12.9736842105263
"53","Alabama","2011","April",270,476867.99,184,29823.03,180,29504.59,0,0,48,156577.1,0,0,0,0,3,15728.52,0,0,5,1957.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2519.24,"Alabama","2011","April",23.5684210526316
"54","Alabama","2011","May",376,335764.11,93,37735.8,93,37735.8,0,0,38,159331.31,0,0,0,0,10,1395.82,0,0,3,1297.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2011","May",18.2162162162162
