state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
MA,BRISTOL,25005,1240-01-411-1265,"SIGHT,REFLEX",10,Each,328,3280,1/11/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MA,BRISTOL,25005,1240-01-411-1265,"SIGHT,REFLEX",10,Each,328,3280,1/12/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MA,BRISTOL,25005,1240-01-411-1265,"SIGHT,REFLEX",10,Each,328,3280,1/12/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MA,BRISTOL,25005,7110-DS-FIL-ECA0,FILE CABINET,1,Each,0,0,9/9/2013 0:00:00,71,FURNITURE,7110,Office Furniture
MA,BRISTOL,25005,7110-DS-FIL-ECA0,FILE CABINET,1,Each,0,0,9/9/2013 0:00:00,71,FURNITURE,7110,Office Furniture
MA,BRISTOL,25005,7110-DS-SAF-E000,SAFE,1,Each,10000,10000,8/13/2012 0:00:00,71,FURNITURE,7110,Office Furniture
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MA,BARNSTABLE,25001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/28/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
