state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
MD,CARROLL,24013,6530-01-490-2487,SPINEBOARD,2,Each,306.06,612.12,3/26/2013 0:00:00,65,MEDICAL/DENTAL/VETERINARY EQPT/SUPP,6530,"Hospital Furniture, Equipment, Utensils, and Supplies"
MD,HOWARD,24027,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,12/19/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MD,HOWARD,24027,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,12/19/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MD,HOWARD,24027,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,12/19/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MD,HOWARD,24027,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,12/19/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MD,HOWARD,24027,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,12/19/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MD,HOWARD,24027,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,12/19/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MD,HOWARD,24027,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,12/19/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MD,ALLEGANY,24001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MD,ALLEGANY,24001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MD,ANNE ARUNDEL,24003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,7/5/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
