state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
ME,AROOSTOOK,23003,2030-01-288-8231,BOOT,10,Each,122.75,1227.5,7/26/2011 0:00:00,20,SHIP AND MARINE EQUIPMENT,2030,Deck Machinery
ME,OXFORD,23017,1240-01-540-3690,"SIGHT,REFLEX",1,Each,340,340,9/19/2011 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
ME,ANDROSCOGGIN,23001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,3/15/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,3/15/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,3/15/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,3/15/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,3/15/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,5/4/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,5/4/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,5/4/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,5/4/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,ANDROSCOGGIN,23001,1385-01-574-4707,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,Each,10000,10000,5/29/2013 0:00:00,13,AMMUNITION AND EXPLOSIVES,1385,Surface Use Explosive Ordnance Disposal Tools and Equipment
ME,ANDROSCOGGIN,23001,2320-01-128-9551,"TRUCK,UTILITY",1,Each,47989,47989,7/20/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
ME,ANDROSCOGGIN,23001,2350-01-068-4077,"CARRIER,PERSONNEL,FULL TRACKED",1,Each,244844,244844,6/20/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2350,"Combat, Assault, and Tactical Vehicles, Tracked"
ME,ANDROSCOGGIN,23001,2350-01-068-4077,"CARRIER,PERSONNEL,FULL TRACKED",1,Each,244844,244844,6/20/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2350,"Combat, Assault, and Tactical Vehicles, Tracked"
ME,ANDROSCOGGIN,23001,6130-01-443-0970,"CHARGER,BATTERY",1,Each,819,819,5/29/2013 0:00:00,61,"ELECTRIC WIRE, POWER DISTRIB EQPT",6130,"Converters, Electrical, Nonrotating"
ME,AROOSTOOK,23003,1005-00-056-2237,"MAGAZINE,CARTRIDGE",20,Each,9.51,190.2,7/2/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/17/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/8/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/23/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/23/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/23/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/23/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/27/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/27/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/27/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/27/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/18/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/18/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/18/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/18/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/18/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/18/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/3/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/28/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
ME,AROOSTOOK,23003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/28/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
