state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
MO,CALLAWAY,29027,8415-01-530-2350,"PAD,KNEE",6,Pair,18.81,112.86,4/17/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
MO,CASS,29037,8415-01-530-2161,"ELBOW,PADS",50,Pair,11.79,589.5,8/21/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
MO,COLE,29051,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,6/7/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MO,COLE,29051,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,6/7/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MO,AUDRAIN,29007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/16/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
