state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ADAMS,28001,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,Each,92290,92290,1/24/2008 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1520,"Aircraft, Rotary Wing"
MS,ALCORN,28003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,3/26/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/16/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/16/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/16/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ALCORN,28003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/16/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,10/30/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/19/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/19/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/19/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,ATTALA,28007,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/19/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,BOLIVAR,28011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,BOLIVAR,28011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,BOLIVAR,28011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,BOLIVAR,28011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,BOLIVAR,28011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,BOLIVAR,28011,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/1/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/3/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/3/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,4/3/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
MS,CALHOUN,28013,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
