state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
NC,BUNCOMBE,37021,5140-DS-TOO-LBOX,TOOL BOX,1,EA,100,100,4/11/2012 0:00:00,51,HAND TOOLS,5140,Tool and Hardware Boxes
NC,CLAY,37043,7025-DS-SCA-NNE2,"SCANNER, DIGITAL",1,Each,0,0,8/15/2013 0:00:00,70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,7025,ADP Input/Output and Storage Devices
NC,CLAY,37043,7025-DS-SCA-NNE2,"SCANNER, DIGITAL",3,Each,0,0,9/5/2013 0:00:00,70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,7025,ADP Input/Output and Storage Devices
NC,CLAY,37043,7045-DS-LAP-CASE,LAPTOP CASE,10,Each,0,0,8/6/2013 0:00:00,70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,7045,ADP Supplies
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/7/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/18/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/18/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/18/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/18/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/18/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/18/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/18/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NC,ALAMANCE,37001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/10/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
