state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,7/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,7/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,7/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,7/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,7/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,ADAMS,31001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,7/11/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BUFFALO,31019,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,9/24/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/20/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NE,BURT,31021,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/20/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
