state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
NM,BERNALILLO,35001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/5/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NM,BERNALILLO,35001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/17/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NM,BERNALILLO,35001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/17/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NM,BERNALILLO,35001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,9/17/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NM,BERNALILLO,35001,1005-00-921-5004,"MAGAZINE,CARTRIDGE",300,EA,9.31,2793,5/19/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NM,BERNALILLO,35001,1005-01-472-3902,"BIPOD,FOLDING",5,EA,88.83,444.15,4/8/2009 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
NM,BERNALILLO,35001,1095-01-194-3343,"HOLSTER,PISTOL",5,EA,21.53,107.65,6/25/2012 0:00:00,10,WEAPONS,1095,Miscellaneous Weapons
NM,BERNALILLO,35001,1240-01-361-1318,BINOCULAR,5,EA,342,1710,4/22/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-386-2771,"TELESCOPE,STRAIGHT",3,Each,2136,6408,10/21/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-386-2771,"TELESCOPE,STRAIGHT",6,Each,2136,12816,10/21/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-386-2771,"TELESCOPE,STRAIGHT",7,EA,2136,14952,3/31/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-410-7418,BINOCULAR,3,Each,6120,18360,3/29/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-410-7418,BINOCULAR,1,EA,6120,6120,5/4/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-411-1265,"SIGHT,REFLEX",26,Each,328,8528,10/29/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-411-1265,"SIGHT,REFLEX",50,Each,328,16400,11/12/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-411-1265,"SIGHT,REFLEX",49,EA,328,16072,3/18/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-430-6942,BINOCULAR,3,EA,355,1065,3/31/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-499-3547,BINOCULAR,9,EA,355,3195,3/31/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-499-3547,BINOCULAR,10,EA,355,3550,9/2/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-499-3547,BINOCULAR,17,EA,355,6035,9/2/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-514-8428,"SIGHT,BORE,OPTICAL",5,EA,932.43,4662.15,4/7/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-514-8428,"SIGHT,BORE,OPTICAL",5,EA,932.43,4662.15,4/7/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-514-8428,"SIGHT,BORE,OPTICAL",9,EA,932.43,8391.87,4/7/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-514-8428,"SIGHT,BORE,OPTICAL",4,EA,932.43,3729.72,5/19/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1240-01-Z85-4503,GREEN ANGLE BODY DISCOPE TRIP,1,EA,1149.95,1149.95,5/19/2009 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
NM,BERNALILLO,35001,1385-01-574-4707,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,Each,10000,10000,2/6/2014 0:00:00,13,AMMUNITION AND EXPLOSIVES,1385,Surface Use Explosive Ordnance Disposal Tools and Equipment
NM,BERNALILLO,35001,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,922704,922704,9/6/2007 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1520,"Aircraft, Rotary Wing"
NM,BERNALILLO,35001,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,25000,3/14/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,25000,3/14/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,25000,6/26/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,25000,6/26/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-128-9551,"TRUCK,UTILITY",4,Each,47989,191956,2/24/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-272-5028,TRUCK TRACTOR,1,Each,138870,138870,3/17/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-346-9317,"TRUCK,UTILITY",1,Each,55500,55500,4/6/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-346-9317,"TRUCK,UTILITY",1,Each,55500,55500,12/23/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2320-01-354-3385,"TRUCK,CARGO",1,Each,104626,104626,3/17/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
NM,BERNALILLO,35001,2330-00-141-8050,"TRAILER,CARGO",1,Each,8524,8524,2/25/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
NM,BERNALILLO,35001,2330-01-387-5443,"TRAILER,CARGO",1,Each,8954,8954,3/18/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
NM,BERNALILLO,35001,2330-01-387-5443,"TRAILER,CARGO",1,Each,8954,8954,3/21/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
NM,BERNALILLO,35001,2330-DS-TRA-ILE1,TRAILER,2,Each,0,0,2/28/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
NM,BERNALILLO,35001,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,733000,733000,2/13/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2355,"Combat, Assault, and Tactical Vehicles, Wheeled"
NM,BERNALILLO,35001,3431-01-469-3332,"WELDING MACHINE,INVERTER",2,Each,3608.65,7217.3,2/13/2014 0:00:00,34,METALWORKING MACHINERY,3431,Electric Arc Welding Equipment
NM,BERNALILLO,35001,3431-01-469-3332,"WELDING MACHINE,INVERTER",1,Each,3608.65,3608.65,2/27/2014 0:00:00,34,METALWORKING MACHINERY,3431,Electric Arc Welding Equipment
NM,BERNALILLO,35001,3740-01-516-4415,"BEDNET,POP-UP",72,EA,96.86,6973.92,5/3/2012 0:00:00,37,AGRICULTURAL MACHINERY AND EQPT,3740,"Pest, Disease, and Frost Control Equipment"
NM,BERNALILLO,35001,3805-01-150-4795,"GRADER,ROAD,MOTORIZED",1,Each,67724,67724,4/15/2014 0:00:00,38,CONSTRUCT/MINE/EXCAVATE/HIGHWY EQPT,3805,Earth Moving and Excavating Equipment
NM,BERNALILLO,35001,4210-01-161-5635,"TURRET,ROOF,FIRETRUCK",1,Each,8375.04,8375.04,4/3/2014 0:00:00,42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT,4210,Fire Fighting Equipment
NM,BERNALILLO,35001,4210-01-179-8380,"TURRET,BUMPER,FIRETRUCK",1,Each,8490,8490,4/3/2014 0:00:00,42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT,4210,Fire Fighting Equipment
NM,BERNALILLO,35001,4240-DS-GOG-GLES,SAFETY GOGGLES,78,Each,0,0,2/24/2014 0:00:00,42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT,4240,Safety and Rescue Equipment
NM,BERNALILLO,35001,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,20,Each,0,0,4/3/2014 0:00:00,42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT,4240,Safety and Rescue Equipment
NM,BERNALILLO,35001,4930-01-130-7281,"TANK AND PUMP UNIT,FUEL DISPENSING,TRUCK MOUNTING",2,Each,8834,17668,2/25/2014 0:00:00,49,MAINT/REPAIR SHOP EQPT,4930,Lubrication and Fuel Dispensing Equipment
NM,BERNALILLO,35001,5410-DS-BUI-LDIN,PREFABRICATED AND PORTABLE BUILDINGS,1,Each,0,0,1/23/2014 0:00:00,54,PREFAB STRUCTURES/SCAFFOLDING,5410,Prefabricated and Portable Buildings
NM,BERNALILLO,35001,5410-DS-BUI-LDIN,PREFABRICATED AND PORTABLE BUILDINGS,1,Each,0,0,1/23/2014 0:00:00,54,PREFAB STRUCTURES/SCAFFOLDING,5410,Prefabricated and Portable Buildings
NM,BERNALILLO,35001,5825-01-509-2595,"NAVIGATION SET,SATELLITE SIGNALS",2,Unknown,0,0,4/1/2010 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5825,"Radio Navigation Equipment, Except Airborne"
NM,BERNALILLO,35001,5855-01-020-2211,NIGHT VISION SIGHT,1,Unknown,0,0,4/15/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-020-2211,NIGHT VISION SIGHT,1,Unknown,0,0,4/15/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-020-2211,NIGHT VISION SIGHT,1,Unknown,0,0,4/15/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-151-4229,MOUNT ASSEMBLY,6,EA,316.49,1898.94,4/14/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-246-6815,"DEVICE,PURGE",2,Each,809,1618,10/28/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-262-7983,"IMAGE INTENSIFIER,NIGHT VISION",6,Each,0.93,5.58,5/5/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-416-5085,"IMAGE INTENSIFIER,NIGHT VISION",15,Each,6655.86,99837.9,5/15/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-416-5085,"IMAGE INTENSIFIER,NIGHT VISION",10,Each,6655.86,66558.6,5/15/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-416-5085,"IMAGE INTENSIFIER,NIGHT VISION",19,Each,6655.86,126461.34,10/16/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-420-0851,"ILLUMINATOR,INFRARED",9,Each,1494.2,13447.8,4/4/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",10,Each,19362,193620,5/15/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",2,Each,19362,38724,7/23/2011 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-447-8992,"ILLUMINATOR,INFRARED",20,Each,1050,21000,7/17/2009 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-452-6846,"SCOPE,NIGHT VISION",1,Each,5965.47,5965.47,9/29/2011 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
NM,BERNALILLO,35001,5855-01-452-6846,"SCOPE,NIGHT VISION",1,Each,5965.47,5965.47,9/29/2011 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
