state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
OH,ALLEN,39003,1005-00-X08-6182,,10,Each,99,990,12/3/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ADAMS,39001,2320-01-074-7642,"TRUCK,ARMORED",1,Each,65070,65070,3/9/2007 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
OH,ADAMS,39001,2320-01-107-7153,"TRUCK,UTILITY",1,Each,47069,47069,11/29/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
OH,ADAMS,39001,2320-01-346-9317,"TRUCK,UTILITY",1,Each,55500,55500,4/30/2012 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
OH,ADAMS,39001,8415-01-296-8878,"VEST,TACTICAL LOAD CARRYING",25,Each,49.14,1228.5,11/27/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OH,ADAMS,39001,8465-01-223-8421,"PAD,SLEEPING",25,Box,475.19,11879.75,12/10/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
OH,ALLEN,39003,1005-00-050-6357,"ROD SECTION,CLEANIN",2,BX,18.6,37.2,1/13/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-056-2237,"MAGAZINE,CARTRIDGE",50,Each,9.51,475.5,5/29/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-056-2237,"MAGAZINE,CARTRIDGE",653,Each,9.51,6210.03,5/29/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-056-2237,"MAGAZINE,CARTRIDGE",20,Each,9.51,190.2,7/2/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/4/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/4/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/4/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/4/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/4/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/19/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/19/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/19/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/7/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/7/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/7/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/7/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/7/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/7/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,6/21/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/14/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-336-8608,"LEAF,REAR SIGHT",1,Each,40.15,40.15,8/21/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-370-1575,"SLING,SMALL ARMS",2,Each,166.27,332.54,1/22/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-403-5804,"CASE,SMALL ARMS CLE",92,EA,0.27,24.84,1/4/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-406-1570,"KIT,ADAPTOR,TOP SLI",25,EA,4.7,117.5,2/2/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-556-4174,"BRUSH,CLEANING,SMALL ARMS",23,Each,0.56,12.88,4/11/2014 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,12/6/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/6/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OH,ALLEN,39003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,5/6/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
