state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,ADAIR,40001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,8/2/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ADAIR,40001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/2/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ADAIR,40001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/2/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ADAIR,40001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,8/2/2010 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,72.1,72.1,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,72.1,72.1,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-677-9150,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,72.1,72.1,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,ATOKA,40005,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,10/14/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,BEAVER,40007,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,58.71,4/22/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,BEAVER,40007,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,4/22/2011 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OK,BECKHAM,40009,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,733000,733000,2/13/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2355,"Combat, Assault, and Tactical Vehicles, Wheeled"
OK,BRYAN,40013,1240-01-540-3690,"SIGHT,REFLEX",16,Each,340,5440,3/13/2014 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,BRYAN,40013,1520-01-020-4216,"HELICOPTER,OBSERVATION",1,Each,190817,190817,10/16/2006 0:00:00,15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS,1520,"Aircraft, Rotary Wing"
OK,BRYAN,40013,2320-01-128-9552,"TRUCK,UTILITY",1,Each,47455,47455,11/18/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
OK,BRYAN,40013,2320-01-371-9584,"TRUCK,UTILITY",1,Each,59562,59562,11/18/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
OK,BRYAN,40013,2355-DS-COM-BTV2,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,1,Each,150000,150000,3/1/2011 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2355,"Combat, Assault, and Tactical Vehicles, Wheeled"
OK,BRYAN,40013,5855-01-422-7332,FORWARD LOOKING INFRARED IMAGING SYSTEM,1,Unknown,0,0,12/27/2013 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5855,"Night Vision Equipment, Emitted and Reflected Radiation"
OK,CADDO,40015,1095-00-392-4102,"KNIFE,COMBAT,WITH S",18,EA,34.42,619.56,3/16/2012 0:00:00,10,WEAPONS,1095,Miscellaneous Weapons
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,3/14/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,11/27/2012 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-540-3690,"SIGHT,REFLEX",1,Each,328,328,4/26/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-540-3690,"SIGHT,REFLEX",1,Each,328,328,4/26/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OK,CADDO,40015,1240-01-540-3690,"SIGHT,REFLEX",1,Each,328,328,4/26/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
