state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
OR,BAKER,41001,1240-00-930-3833,BINOCULAR,6,Each,278.05,1668.3,12/17/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OR,BAKER,41001,1240-00-930-3833,BINOCULAR,4,Each,278.05,1112.2,12/17/2013 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
OR,BAKER,41001,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,658000,658000,9/10/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2355,"Combat, Assault, and Tactical Vehicles, Wheeled"
OR,BAKER,41001,2510-01-555-4876,"WINDOW,VEHICULAR",1,Each,3263.73,3263.73,11/26/2013 0:00:00,25,VEHICULAR EQUIPMENT COMPONENTS,2510,"Vehicular Cab, Body, and Frame Structural Components"
OR,BAKER,41001,6650-00-BIN-OCUL,,2,Each,280,560,8/19/2012 0:00:00,66,INSTRUMENTS AND LABORATORY EQPT,6650,"Optical Instruments, Test Equipment, Components and Accessories"
OR,BAKER,41001,7021-DS-LAP-TOP2,PORTABLE COMPUTER,1,EA,1283.5,1283.5,5/4/2012 0:00:00,70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,7021,"ADP Central Processing Unit (CPU, Computer), Digital"
OR,BAKER,41001,7021-DS-LAP-TOP2,PORTABLE COMPUTER,1,EA,1283.5,1283.5,5/4/2012 0:00:00,70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,7021,"ADP Central Processing Unit (CPU, Computer), Digital"
OR,BAKER,41001,8340-01-026-6096,"SHELTER HALF,TENT",5,Each,81.47,407.35,3/25/2014 0:00:00,83,TEXTILE/LEATHER/FUR; TENT; FLAG,8340,Tents and Tarpaulins
OR,BAKER,41001,8415-01-461-8337,"SHIRT,COLD WEATHER",5,Each,60.25,301.25,3/25/2014 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8415-01-461-8341,"SHIRT,COLD WEATHER",15,Each,60.25,903.75,3/25/2014 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8415-01-461-8356,"SHIRT,COLD WEATHER",10,Each,60.25,602.5,3/25/2014 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8415-01-472-6912,"OVERALLS,COLD WEATHER",10,Each,43.22,432.2,12/17/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8415-01-472-6914,"OVERALLS,COLD WEATHER",8,Each,43.22,345.76,12/17/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8415-01-472-6915,"OVERALLS,COLD WEATHER",5,Each,43.37,216.85,12/7/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8415-01-472-6916,"OVERALLS,COLD WEATHER",15,Each,43.22,648.3,12/17/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8415-01-472-6918,"OVERALLS,COLD WEATHER",5,Each,43.22,216.1,12/17/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
OR,BAKER,41001,8465-01-322-1966,"BELT,INDIVIDUAL EQUIPMENT",3,Each,14.45,43.35,3/25/2014 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
OR,BAKER,41001,8465-01-328-8268,"GOGGLES,SUN,WIND AND DUST",1,Pair,23.81,23.81,12/7/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
OR,BAKER,41001,8465-01-445-6274,MODULAR SLEEP SYSTEM,12,Each,263.95,3167.4,2/13/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
OR,BAKER,41001,8465-01-445-6274,MODULAR SLEEP SYSTEM,10,Each,263.05,2630.5,3/25/2014 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
OR,BAKER,41001,8465-01-524-5250,ASSAULT PACK,2,EA,90.28,180.56,5/23/2012 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
OR,BAKER,41001,8465-01-525-0578,RIFLEMAN SET,8,Set,337.49,2699.92,2/13/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
OR,CLACKAMAS,41005,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OR,CLACKAMAS,41005,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OR,CLACKAMAS,41005,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
OR,CLACKAMAS,41005,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,5/22/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
