state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
PA,ADAMS,42001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,7/31/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ADAMS,42001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2/26/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ADAMS,42001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2/26/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ADAMS,42001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2/26/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ADAMS,42001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2/26/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ADAMS,42001,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,120,120,2/26/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/16/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/16/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/16/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/16/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/16/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/16/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,8/25/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,8/25/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,8/25/2008 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/26/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
PA,ALLEGHENY,42003,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,11/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
