state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
PR,PONCE,72113,3510-DS-WAS-HER6,CLOTHES WASHER,4,Each,629,2516,1/29/2013 0:00:00,35,SERVICE AND TRADE EQPT,3510,Laundry and Dry Cleaning Equipment
PR,PONCE,72113,3695-00-679-6914,"SAW,CHAIN",1,Each,500.51,500.51,1/23/2014 0:00:00,36,SPECIAL INDUSTRY MACHINERY,3695,Miscellaneous Special Industry Machinery
PR,AGUADA,72003,2320-01-107-7155,"TRUCK,UTILITY",2,Each,39052,78104,2/28/2014 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2320-01-146-7193,"TRUCK,UTILITY",1,Each,39441,39441,11/2/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2320-01-230-0302,TRUCK TRACTOR,1,Each,86203,86203,8/30/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2320-01-230-0302,TRUCK TRACTOR,1,Each,86203,86203,10/22/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2320-01-230-0305,"TRUCK,DUMP",1,Each,72425,72425,8/30/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2320-01-230-0305,"TRUCK,DUMP",1,Each,72425,72425,9/26/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2320-01-230-0307,"TRUCK,CARGO",1,Each,67139,67139,8/30/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2320-01-230-0307,"TRUCK,CARGO",2,Each,67139,134278,8/30/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
PR,AGUADA,72003,2330-01-387-5426,"TRAILER,CARGO",2,Each,8954,17908,9/5/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2330,Trailers
