state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
RI,KENT,44003,1005-01-472-3902,"BIPOD,FOLDING",8,Each,88.83,710.64,12/18/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,KENT,44003,1005-01-472-3902,"BIPOD,FOLDING",12,Each,88.83,1065.96,12/29/2012 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,PROVIDENCE,44007,1385-01-C01-9248,,2,Each,8000,16000,5/19/2012 0:00:00,13,AMMUNITION AND EXPLOSIVES,1385,Surface Use Explosive Ordnance Disposal Tools and Equipment
RI,PROVIDENCE,44007,9510-00-596-3861,"BAR,METAL",22,FT,36.64,806.08,5/19/2012 0:00:00,95,"METAL BARS, SHEETS, SHAPES",9510,Bars and Rods
RI,PROVIDENCE,44007,9510-00-596-3929,"BAR,METAL",5,FT,11.25,56.25,5/18/2012 0:00:00,95,"METAL BARS, SHEETS, SHAPES",9510,Bars and Rods
RI,PROVIDENCE,44007,9510-00-596-6291,"BAR,METAL",6,FT,10.07,60.42,4/12/2012 0:00:00,95,"METAL BARS, SHEETS, SHAPES",9510,Bars and Rods
RI,PROVIDENCE,44007,9510-00-596-6291,"BAR,METAL",4,FT,10.07,40.28,5/18/2012 0:00:00,95,"METAL BARS, SHEETS, SHAPES",9510,Bars and Rods
RI,PROVIDENCE,44007,9510-00-640-4851,"BAR,METAL",6,FT,14.61,87.66,4/12/2012 0:00:00,95,"METAL BARS, SHEETS, SHAPES",9510,Bars and Rods
RI,PROVIDENCE,44007,9510-00-640-4851,"BAR,METAL",6,FT,14.61,87.66,6/30/2012 0:00:00,95,"METAL BARS, SHEETS, SHAPES",9510,Bars and Rods
RI,BRISTOL,44001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,BRISTOL,44001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,BRISTOL,44001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,BRISTOL,44001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,BRISTOL,44001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,BRISTOL,44001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,BRISTOL,44001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
RI,BRISTOL,44001,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/5/2013 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
