state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,1/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,1/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,1/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,1/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,1/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,1/20/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/22/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,138,2/22/2007 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,2/4/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,1240-01-411-1265,"SIGHT,REFLEX",1,Each,328,328,8/11/2010 0:00:00,12,FIRE CONTROL EQPT.,1240,Optical Sighting and Ranging Equipment
SD,BEADLE,46005,5830-DS-PAG-ING0,"INTERCOM AND PA SYSTEMS, EXCEPT AIRBOR",1,Each,10000,10000,4/30/2013 0:00:00,58,COMM/DETECT/COHERENT RADIATION,5830,"Intercommunication and Public Address Systems,  Except Airborne"
SD,BEADLE,46005,7830-00-069-5293,"GYMNASTIC SET,UNIVERSAL",1,Unknown,0,0,4/30/2013 0:00:00,78,RECREATIONAL/ATHLETIC EQPT,7830,Recreational and Gymnastic Equipment
SD,BEADLE,46005,7830-DS-BIC-YCL1,EXERCISE   BICYCLE,1,EA,500,500,7/6/2012 0:00:00,78,RECREATIONAL/ATHLETIC EQPT,7830,Recreational and Gymnastic Equipment
SD,BEADLE,46005,7830-DS-ELL-IPTI,LIFEFITNESS ELLIPITICAL,1,EA,3999,3999,7/6/2012 0:00:00,78,RECREATIONAL/ATHLETIC EQPT,7830,Recreational and Gymnastic Equipment
SD,BEADLE,46005,7830-DS-ELL-IPTI,TECHNOGYM ELLIPITICAL,1,EA,3765,3765,7/6/2012 0:00:00,78,RECREATIONAL/ATHLETIC EQPT,7830,Recreational and Gymnastic Equipment
SD,BEADLE,46005,7830-DS-TRE-ADM1,PRECOR TREADMILL,1,EA,2133,2133,7/6/2012 0:00:00,78,RECREATIONAL/ATHLETIC EQPT,7830,Recreational and Gymnastic Equipment
SD,BEADLE,46005,8345-00-130-3149,FLAGSTAFF HEAD,2,Each,31.84,63.68,4/30/2013 0:00:00,83,TEXTILE/LEATHER/FUR; TENT; FLAG,8345,Flags and Pennants
SD,BEADLE,46005,8345-00-682-6857,"FLAG,NATIONAL",1,Each,15.15,15.15,4/30/2013 0:00:00,83,TEXTILE/LEATHER/FUR; TENT; FLAG,8345,Flags and Pennants
SD,BEADLE,46005,8465-01-109-3369,"MAT,SLEEPING",10,Each,9.02,90.2,4/30/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
SD,BEADLE,46005,8465-01-253-5335,FIELD PACK,1,Each,40.08,40.08,3/14/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
SD,BEADLE,46005,8465-01-328-8268,"GOGGLES,SUN,WIND AND DUST",2,Pair,23.81,47.62,4/30/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
SD,BENNETT,46007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
SD,BENNETT,46007,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,11/15/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
