state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
TN,COFFEE,47031,2320-01-230-0308,"TRUCK,CARGO",1,Each,72040,72040,8/21/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
TN,COFFEE,47031,2320-01-230-0308,"TRUCK,CARGO",1,Each,72040,72040,9/5/2013 0:00:00,23,"MOTOR VEHICLES, CYCLES, TRAILERS",2320,"Trucks and Truck Tractors, Wheeled"
TN,COFFEE,47031,8465-01-534-3594,FIELD PACK,21,Each,783.15,16446.15,8/7/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
TN,COFFEE,47031,8465-01-534-3594,FIELD PACK,8,Each,783.15,6265.2,8/7/2013 0:00:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8465,Individual Equipment
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
TN,ANDERSON,47001,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,499,10/27/2006 0:00:00,10,WEAPONS,1005,"Guns, through 30 mm"
