state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
TX,HARRIS,48201,5130-00-996-0911,"BIT,SCREWDRIVER",100,Each,0.28,28,4/23/14 0:00,51,HAND TOOLS,5130,"Hand Tools, Power Driven"
TX,EL PASO,48141,6545-01-566-9074,"KIT,PANDEMIC PREPAREDNESS",96,Package,205.37,19715.52,4/23/14 0:00,65,MEDICAL/DENTAL/VETERINARY EQPT/SUPP,6545,"Replenishable Field Medical Sets, Kits, and Outfits"
TX,HARRIS,48201,7025-DS-SPE-AKE2,"SPEAKER, COMPUTER",77,Each,0,0,4/23/14 0:00,70,ADP EQPT/SOFTWARE/SUPPLIES AND EQPT,7025,ADP Input/Output and Storage Devices
TX,HARRIS,48201,8415-DS-CHE-MCV0,"SUIT, CHEMICAL PROTECTIVE, CIVIL",62,Each,0,0,4/23/14 0:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8415,"Clothing, Special Purpose"
TX,HARRIS,48201,4240-01-527-4051,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,REGULAR",50,Each,55.82,2791,4/23/14 0:00,42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT,4240,Safety and Rescue Equipment
TX,HARRIS,48201,4240-01-527-4051,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,REGULAR",43,Each,55.82,2400.26,4/23/14 0:00,42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT,4240,Safety and Rescue Equipment
TX,HARRIS,48201,5120-00-494-1911,"WRENCH,PLIER",33,Each,9.56,315.48,4/23/14 0:00,51,HAND TOOLS,5120,"Hand Tools, Nonedged, Nonpowered"
TX,HARRIS,48201,1005-01-216-4510,"SLING,SMALL ARMS",30,Each,2.89,86.7,4/23/14 0:00,10,WEAPONS,1005,"Guns, through 30 mm"
TX,HARRIS,48201,3990-01-496-4000,"TIE DOWN,CARGO,VEHICLE",25,Each,7.15,178.75,4/23/14 0:00,39,MATERIALS HANDLING EQPT,3990,Miscellaneous Materials Handling Equipment.
TX,HARRIS,48201,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,20,Each,0,0,4/23/14 0:00,81,CONTAINERS/PACKAGING/PACKING SUPPL,8145,Specialized Shipping and Storage Containers
TX,MONTGOMERY,48339,8405-01-545-8153,"LINER,WET WEATHER PONCHO",20,Each,37.42,748.4,4/23/14 0:00,84,"CLOTHING/INDIVIDUAL EQPT, INSIGNIA",8405,"Outerwear, Men's"
TX,EL PASO,48141,5660-00-224-8663,BARBED WIRE,18,Spool,87.49,1574.82,4/23/14 0:00,56,CONSTRUCTION AND BUILDING MATERIAL,5660,"Fencing, Fences, Gates  and Compo- nents"
TX,EL PASO,48141,5660-00-224-8663,BARBED WIRE,18,Spool,87.49,1574.82,4/23/14 0:00,56,CONSTRUCTION AND BUILDING MATERIAL,5660,"Fencing, Fences, Gates  and Compo- nents"
TX,EL PASO,48141,5660-00-224-8663,BARBED WIRE,18,Spool,87.49,1574.82,4/23/14 0:00,56,CONSTRUCTION AND BUILDING MATERIAL,5660,"Fencing, Fences, Gates  and Compo- nents"
TX,EL PASO,48141,5660-00-224-8663,BARBED WIRE,18,Spool,87.49,1574.82,4/23/14 0:00,56,CONSTRUCTION AND BUILDING MATERIAL,5660,"Fencing, Fences, Gates  and Compo- nents"
TX,HARRIS,48201,4240-01-258-1245,"FOUNTAIN,EYE AND FACE WASH",18,Each,123.4,2221.2,4/23/14 0:00,42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT,4240,Safety and Rescue Equipment
TX,EL PASO,48141,5660-00-224-8663,BARBED WIRE,15,Spool,87.49,1312.35,4/23/14 0:00,56,CONSTRUCTION AND BUILDING MATERIAL,5660,"Fencing, Fences, Gates  and Compo- nents"
