"","State","Year","Month","quantity.sum","total_cost.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State.1","Year.1","Month.1","day.mean","army_clothing_bags_quantity.sum","army_clothing_bags_totalcost.sum"
"3553","Alabama",2005,"December",732,5991494.17,694,1684887.17,37,3505742,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"1","Alabama",2006,"April",52,19527.65,52,19527.65,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"April",13.7692307692308,0,0
"5","Alabama",2006,"August",17,4594.14,11,1320,6,3274.14,0,0,0,0,0,0,0,0,"Alabama",2006,"August",29.75,0,0
"9","Alabama",2006,"December",23,192893,21,8313,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"December",6.8695652173913,0,0
"4","Alabama",2006,"July",3,375397,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"July",16.6666666666667,0,0
"3","Alabama",2006,"June",1,190817,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"June",2,0,0
"2","Alabama",2006,"May",128,26714.17,128,26714.17,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"May",22.0703125,0,0
"8","Alabama",2006,"November",469,145423.64,469,145423.64,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"November",9.03411513859275,0,0
"7","Alabama",2006,"October",8,382354,6,720,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"October",5.125,0,0
"6","Alabama",2006,"September",6,1262315,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2006,"September",19.5,0,0
"11","Alabama",2007,"February",4,393.42,4,393.42,0,0,0,0,0,0,0,0,0,0,"Alabama",2007,"February",21,0,0
"10","Alabama",2007,"January",5,94286,4,1996,0,0,0,0,0,0,0,0,0,0,"Alabama",2007,"January",23.2,0,0
"13","Alabama",2007,"July",1,9000,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2007,"July",19,0,0
"12","Alabama",2007,"May",6,21468,0,0,6,21468,0,0,0,0,0,0,0,0,"Alabama",2007,"May",25,0,0
"16","Alabama",2007,"November",30,10770,0,0,30,10770,0,0,0,0,0,0,0,0,"Alabama",2007,"November",15,0,0
"15","Alabama",2007,"October",18,108919.96,1,138,17,108781.96,0,0,0,0,0,0,0,0,"Alabama",2007,"October",16,0,0
"14","Alabama",2007,"September",103,846897,79,10902,15,5385,0,0,0,0,0,0,0,0,"Alabama",2007,"September",5.73033707865169,0,0
"19","Alabama",2008,"April",38,13642,0,0,38,13642,0,0,0,0,0,0,0,0,"Alabama",2008,"April",15,0,0
"22","Alabama",2008,"August",1,190000,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2008,"August",22,0,0
"25","Alabama",2008,"December",2,380000,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2008,"December",17,0,0
"17","Alabama",2008,"February",12,30609.93,10,4990,2,25619.93,0,0,0,0,0,0,0,0,"Alabama",2008,"February",23.5,0,0
"21","Alabama",2008,"June",33,4456.04,33,4456.04,0,0,0,0,0,0,0,0,0,0,"Alabama",2008,"June",12,0,0
"18","Alabama",2008,"March",3,1497,3,1497,0,0,0,0,0,0,0,0,0,0,"Alabama",2008,"March",12.3333333333333,0,0
"20","Alabama",2008,"May",55,17355,10,1200,45,16155,0,0,0,0,0,0,0,0,"Alabama",2008,"May",27.2727272727273,0,0
"24","Alabama",2008,"November",8,708.6,8,708.6,0,0,0,0,0,0,0,0,0,0,"Alabama",2008,"November",25,0,0
"23","Alabama",2008,"October",6,201412,5,1412,0,0,0,0,0,0,0,0,0,0,"Alabama",2008,"October",15,0,0
"29","Alabama",2009,"April",286,81710.09,6,564.4,62,76599,150,1201.5,0,0,0,0,0,0,"Alabama",2009,"April",14.8076923076923,0,0
"33","Alabama",2009,"August",1372,418452.69,10,961.55,106,69277.68,1250,11647.5,0,0,0,0,1,19300,"Alabama",2009,"August",17.6,0,0
"37","Alabama",2009,"December",203,104979.49,62,3251.89,19,16747.56,40,169.2,1,35000,0,0,0,0,"Alabama",2009,"December",13.75,0,0
"27","Alabama",2009,"February",28,240151.69,26,3401.69,0,0,0,0,0,0,0,0,0,0,"Alabama",2009,"February",23.5833333333333,0,0
"26","Alabama",2009,"January",50,219882.09,41,6161.89,8,23720.2,0,0,0,0,0,0,0,0,"Alabama",2009,"January",13.1428571428571,0,0
"32","Alabama",2009,"July",163,278680.81,28,31324.05,42,23959,82,763.42,2,210824,0,0,0,0,"Alabama",2009,"July",21.4166666666667,0,0
