State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
AL,ADAMSVILLE POLICE DEPT,1005-00-X08-8494,"DESC=GRIP ASSY,870 ",1,Each,$24.36,D,,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-00-X08-8385,DESC=TRIGGER PLATE ASSY ,1,Each,$50.40,D,,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-505-1035,"BOLT,BREECH",1,Each,$65.53,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-505-1035,"BOLT,BREECH",1,Each,$65.53,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-505-1035,"BOLT,BREECH",1,Each,$65.53,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-375-8167,"BARREL,SHOTGUN",3,Each,$185.78,D,,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-00-876-4033,"SLIDE,PISTOL",5,Each,$126.00,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1240-01-361-1318,BINOCULAR,1,Each,$345.00,F,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-460-3249,"COMPENSATOR,SMALL ARMS",2,Each,$84.12,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,8465-01-416-4632,"SPECTACLES,BALLISTIC AND LASER PROTECTIVE",1,Each,$21.62,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 30, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 30, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 30, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"May 30, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,1005-00-992-6671,"PIN,PIVOT          ",10,Each,$9.79,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,5855-01-448-5464,"ILLUMINATOR,INFRARED",12,Each,$359.00,C,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,$331.00,D,1,"Jul 3, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",65,Each,$331.00,D,1,"Oct 17, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,5855-01-531-5726,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,$100.00,D,1,"Jul 3, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,1240-01-499-3547,BINOCULAR,10,Each,$358.00,F,1,"Oct 30, 2012 12:00:00 AM"
AL,ADAMSVILLE POLICE DEPT,5860-01-471-2091,"BORELIGHT SYSTEM,LA",1,Each,$376.00,F,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-033-9410,"BOLT,BREECH",10,Each,$701.02,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-010-1561,"CONVERSION KIT,RIFLE/",11,Each,$60.00,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,1,Each,$118.00,D,1,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,5855-00-LAS-ERPO,DESC=POWERED GREEN LASER POINTER ,18,Each,$350.00,D,,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1005-00-X08-8292,DESC=TRIGGER ASSY ,1,Each,$435.50,D,,"Mar 18, 2014 11:55:32 AM"
AL,ADAMSVILLE POLICE DEPT,1240-01-207-5787,BINOCULAR,1,Each,$345.00,F,1,"Mar 18, 2014 11:55:32 AM"
AL,AL DEPT OF CONSERV RES MARINE DIV,2320-01-371-9577,"TRUCK,UTILITY",1,Each,"$47,023.00",Q,6,"May 21, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERV RES MARINE DIV,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 21, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERV RES MARINE DIV,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 21, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 7, 2006 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 3, 2010 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
AL,AL DEPT OF CONSERVATION MONTG,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 26, 2012 12:00:00 AM"
