State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"May 30, 1996 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
AZ,AAPC TUCSON,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Mar 2, 1995 12:00:00 AM"
