State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1940-DS-BOA-T000,SMALL CRAFT BOAT,1,Each,"$4,400,000.00",D,,"Dec 27, 2005 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2320-01-107-7153,"TRUCK,UTILITY",1,Each,"$63,894.00",C,1,"Jun 29, 2012 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2540-01-544-2214,BALLISTIC BLANKET  ,80,Each,"$3,425.51",D,1,"Sep 19, 2013 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1560-00-858-0568,"BLANKET,THERMAL    ",1,Each,$26.65,B,,"Sep 18, 2013 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 29, 2012 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 29, 2012 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 29, 2012 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 29, 2012 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 21, 2008 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 21, 2008 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 21, 2008 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 21, 2008 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Jun 29, 2012 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$56,762.00",C,1,"Mar 1, 2012 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALAMEDA COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM"
CA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ALPINE COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 18, 2006 12:00:00 AM"
CA,ALPINE COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 18, 2006 12:00:00 AM"
CA,ALPINE COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 18, 2006 12:00:00 AM"
CA,ALPINE COUNTY SHERIFF DEPT,1010-00-691-1382,"LAUNCHER,GRENADE",1,Each,$720.00,D,,"Jul 11, 2006 12:00:00 AM"
CA,ALPINE COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 18, 2006 12:00:00 AM"
CA,ALTURAS POLICE DEPT,2320-01-380-8604,"TRUCK,UTILITY",1,Each,"$78,225.00",C,7,"Jan 27, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,2540-01-373-2541,"CONVERSION KIT,VAN TRUCK",2,Each,"$2,605.00",B,3,"Mar 18, 2014 11:55:32 AM"
CA,ALTURAS POLICE DEPT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,"$47,023.00",Q,6,"Jan 27, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Mar 1, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Mar 1, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Mar 1, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Mar 1, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Mar 1, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Mar 1, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 5, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 5, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 5, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 5, 2011 12:00:00 AM"
CA,ALTURAS POLICE DEPT,5855-00-409-0915,NIGHT VISION SIGHT,1,Each,$825.58,F,1,"Aug 29, 2002 12:00:00 AM"
CA,ALTURAS POLICE DEPT,5855-00-760-3869,"NIGHT VISION SIGHT,",1,Each,"$2,350.00",F,1,"Aug 29, 2002 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",10,Each,$331.00,D,1,"Nov 24, 2010 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",10,Each,$331.00,D,1,"Nov 24, 2010 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",10,Each,$331.00,D,1,"Nov 24, 2010 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",10,Each,$331.00,D,1,"Nov 24, 2010 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,"$1,078.00",Q,3,"Apr 7, 2015 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 1, 2008 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,5855-00-150-1820,"VIEWER,NIGHT VISION",1,Each,"$4,105.00",F,1,"Feb 20, 2001 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 1, 2008 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 1, 2008 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00",C,1,"Mar 6, 2014 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,"$65,070.00",C,1,"Jan 8, 1999 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 1, 2008 12:00:00 AM"
CA,AMADOR COUNTY SHERIFF DEPT,5855-00-150-1820,"VIEWER,NIGHT VISION",1,Each,"$4,105.00",F,1,"Feb 20, 2001 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,"$65,070.00",C,1,"Jul 18, 1997 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1385-01-574-4707,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,Each,"$10,000.00",D,1,"Jan 30, 2013 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00",D,1,"Feb 26, 2015 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
CA,ANAHEIM POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jul 11, 2006 12:00:00 AM"
