"","State","Year","Month","Quantity.sum","Acquisition.Value.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State","Year","Month","day.mean"
"1","Alabama","1993","August",2,184580,0,0,2,184580,0,0,0,0,0,0,0,0,"Alabama","1993","August",16
"2","Alabama","1995","May",7,581851,0,0,7,581851,0,0,0,0,0,0,0,0,"Alabama","1995","May",21.7142857142857
"3","Alabama","1995","July",2,381634,0,0,2,381634,0,0,0,0,0,0,0,0,"Alabama","1995","July",10.5
"4","Alabama","1996","March",1,190817,0,0,1,190817,0,0,0,0,0,0,0,0,"Alabama","1996","March",25
"5","Alabama","1996","June",1,92290,0,0,1,92290,0,0,0,0,0,0,0,0,"Alabama","1996","June",21
"6","Alabama","1999","March",1,65070,1,65070,0,0,0,0,0,0,0,0,0,0,"Alabama","1999","March",9
"7","Alabama","1999","August",1,65070,1,65070,0,0,0,0,0,0,0,0,0,0,"Alabama","1999","August",31
"8","Alabama","2000","April",1,65070,1,65070,0,0,0,0,0,0,0,0,0,0,"Alabama","2000","April",19
"9","Alabama","2000","August",1,65070,1,65070,0,0,0,0,0,0,0,0,0,0,"Alabama","2000","August",11
"10","Alabama","2000","November",1,205400,1,205400,0,0,0,0,0,0,0,0,0,0,"Alabama","2000","November",2
"11","Alabama","2002","January",1,205400,1,205400,0,0,0,0,0,0,0,0,0,0,"Alabama","2002","January",8
"12","Alabama","2002","October",1,92290,0,0,1,92290,0,0,0,0,0,0,0,0,"Alabama","2002","October",25
"13","Alabama","2003","September",1,323178,1,323178,0,0,0,0,0,0,0,0,0,0,"Alabama","2003","September",9
"14","Alabama","2003","December",1,92290,0,0,1,92290,0,0,0,0,0,0,0,0,"Alabama","2003","December",4
"15","Alabama","2004","May",1,92290,0,0,1,92290,0,0,0,0,0,0,0,0,"Alabama","2004","May",26
"16","Alabama","2004","June",1,92290,0,0,1,92290,0,0,0,0,0,0,0,0,"Alabama","2004","June",30
"17","Alabama","2005","March",2,489688,2,489688,0,0,0,0,0,0,0,0,0,0,"Alabama","2005","March",3
"18","Alabama","2005","May",5,105118,0,0,5,105118,0,0,0,0,0,0,0,0,"Alabama","2005","May",14.4
"19","Alabama","2005","June",2,6414,0,0,2,6414,0,0,0,0,0,0,0,0,"Alabama","2005","June",10
"20","Alabama","2006","April",52,19527.65,52,19527.65,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","April",13.7692307692308
"21","Alabama","2006","May",128,26714.17,128,26714.17,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","May",22.0703125
"22","Alabama","2006","June",1,190817,0,0,1,190817,0,0,0,0,0,0,0,0,"Alabama","2006","June",2
"23","Alabama","2006","July",3,375397,0,0,3,375397,0,0,0,0,0,0,0,0,"Alabama","2006","July",16.6666666666667
"24","Alabama","2006","August",11,1320,11,1320,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","August",31
"25","Alabama","2006","September",6,1262315,0,0,5,461450,0,0,0,0,0,0,0,0,"Alabama","2006","September",19.5
"26","Alabama","2006","October",8,382354,6,720,2,381634,0,0,0,0,0,0,0,0,"Alabama","2006","October",5.125
"27","Alabama","2006","November",467,144346.35,467,144346.35,0,0,0,0,0,0,0,0,0,0,"Alabama","2006","November",9.01498929336188
"28","Alabama","2006","December",23,192893,21,8313,2,184580,0,0,0,0,0,0,0,0,"Alabama","2006","December",6.8695652173913
"29","Alabama","2007","January",5,94286,4,1996,1,92290,0,0,0,0,0,0,0,0,"Alabama","2007","January",23.2
"30","Alabama","2007","February",4,393.42,4,393.42,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","February",21
"31","Alabama","2007","May",6,21468,0,0,6,21468,0,0,0,0,0,0,0,0,"Alabama","2007","May",25
"32","Alabama","2007","July",1,9000,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2007","July",19
"33","Alabama","2007","September",87,841374,78,10764,9,830610,0,0,0,0,0,0,0,0,"Alabama","2007","September",5.5632183908046
"34","Alabama","2007","October",2,2488,1,138,1,2350,0,0,0,0,0,0,0,0,"Alabama","2007","October",17
"35","Alabama","2008","February",10,4990,10,4990,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","February",28
"36","Alabama","2008","March",3,1497,3,1497,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","March",12.3333333333333
"37","Alabama","2008","May",10,1200,10,1200,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","May",28
"38","Alabama","2008","June",33,4456.04,33,4456.04,0,0,0,0,0,0,0,0,0,0,"Alabama","2008","June",12
