State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
GA,ABBEVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 27, 2006 12:00:00 AM"
GA,ABBEVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 27, 2006 12:00:00 AM"
GA,ABBEVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 30, 2006 12:00:00 AM"
GA,ABBEVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 30, 2006 12:00:00 AM"
GA,ABBEVILLE POLICE DEPT,6545-01-094-8412,"FIRST AID KIT,INDIVIDUAL",10,Each,$42.49,A,1,"Sep 29, 2015 12:00:00 AM"
GA,ABBEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,$331.00,D,1,"Apr 23, 2015 12:00:00 AM"
GA,ABBEVILLE POLICE DEPT,7810-01-621-9400,"BATON,EXTENDABLE   ",5,Unknown,$20.00,A,1,"Sep 29, 2015 12:00:00 AM"
GA,ABBEVILLE POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 16, 2011 12:00:00 AM"
GA,ACWORTH POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Apr 7, 2015 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ACWORTH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 8, 2009 12:00:00 AM"
GA,ADAIRSVILLE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Aug 17, 2012 12:00:00 AM"
GA,ADEL POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 20, 2008 12:00:00 AM"
GA,ADEL POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 20, 2008 12:00:00 AM"
GA,ADEL POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 20, 2008 12:00:00 AM"
GA,ADEL POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 20, 2008 12:00:00 AM"
GA,ADEL POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 8, 2007 12:00:00 AM"
GA,ADEL POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 8, 2007 12:00:00 AM"
GA,ALAPAHA POLICE DEPT,7110-DS-SAF-E000,SAFE,2,Each,$100.00,A,,"Jun 2, 2015 12:00:00 AM"
GA,ALAPAHA POLICE DEPT,7110-DS-SAF-E000,SAFE,1,Each,"$1,495.00",A,,"Jun 2, 2015 12:00:00 AM"
GA,ALAPAHA POLICE DEPT,2340-DS-SCO-OTER,SCOOTER,1,Each,"$6,500.00",A,,"Apr 10, 2015 12:00:00 AM"
