State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
GU,CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00",F,1,"Dec 15, 2011 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7110-DS-DES-K001,DESK,2,Each,$0.00,A,,"Sep 24, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,6230-01-382-7265,"FLOODLIGHT SET,ELECTRIC",1,Each,"$18,400.00",A,1,"Oct 28, 2014 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,6230-01-382-7265,"FLOODLIGHT SET,ELECTRIC",1,Each,"$18,400.00",A,1,"Oct 28, 2014 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,8465-01-109-3369,"MAT,SLEEPING       ",26,Each,$9.09,A,1,"Oct 28, 2014 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,6230-01-382-7265,"FLOODLIGHT SET,ELECTRIC",1,Each,"$18,400.00",A,1,"Oct 28, 2014 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7105-DS-COF-FEE0,COFFEE TABLE,2,Each,$0.00,A,,"Sep 24, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,8010-01-397-3806,"COATING COMPOUND,NONSLIP",10,Kit,$289.80,A,1,"May 8, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7490-DS-LAM-INAT,LAMINATOR,1,Each,"$3,760.00",A,,"Jun 1, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7110-DS-CHA-IR02,"CHAIR, OFFICE",4,Each,$0.00,A,,"Aug 14, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7195-00-973-1961,"TABLE,PARACHUTE PACKING",14,Each,"$1,292.94",A,1,"May 13, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7110-DS-CHA-IR02,"CHAIR, OFFICE",9,Each,$0.00,A,,"Sep 30, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,6730-DS-SCR-EEN0,PROJECTION SCREEN,5,Each,$300.00,A,,"May 20, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,6730-DS-SCR-EEN0,PROJECTION SCREEN,8,Each,$300.00,A,,"Apr 29, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,9320-00-244-0191,"RUBBER SHEET,SOLID",16,Foot,$4.07,A,1,"Jul 20, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5140-DS-CAB-INE0,"CABINET, TOOL",1,Each,$100.00,A,,"Jun 1, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jul 1, 2013 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jul 1, 2013 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 7, 2013 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 7, 2013 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 6, 2011 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-DS-PIC-KUP0,PICKUP,1,Each,"$27,610.00",A,,"Jun 26, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,3920-DS-PAL-LETJ,PALLET JACK,1,Each,"$5,209.00",A,,"Jun 8, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7125-DS-RAC-K002,"RACK, COMMERCIAL STORAGE",1,Each,$500.00,A,,"Jun 9, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,3930-DS-FOR-KLIF,FORKLIFT,1,Each,$0.00,A,,"Aug 4, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,9320-00-850-3502,"RUBBER SHEET,SOLID",21,Foot,$10.87,A,1,"Jul 20, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,4110-DS-FRE-EZER,FREEZER,2,Each,$0.00,A,,"Sep 16, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5330-00-179-0052,"RUBBER SHEET,SOLID,CLOTH INSERT",51,Square yard,$78.73,A,1,"Aug 7, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,8340-01-525-4069,FLOORING PORTABLE SOLID,10,Each,$2.48,A,1,"May 20, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,8340-01-525-4069,FLOORING PORTABLE SOLID,20,Each,$2.48,A,1,"May 13, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5120-00-293-3412,TROWEL,6,Each,$17.80,A,1,"May 8, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7110-DS-SAF-E000,SAFE,1,Each,$0.00,A,,"Jul 31, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,6850-DS-DRT-CLNN,DRY CLEANING CHEMS W/NO F-LISTED SOLVENT,156,Each,$1.00,A,,"May 19, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-01-439-1306,"TRUCK,CARRYALL",1,Each,"$25,447.00",A,1,"Jul 22, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2310-01-123-2666,"TRUCK,AMBULANCE",2,Each,"$37,409.00",Q,6,"Aug 12, 2013 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,3439-00-262-2743,"ELECTRODE,WELDING",1,Can,$274.98,B,3,"Jan 2, 2013 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,3,Each,$0.00,A,,"Aug 26, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5340-00-567-5678,"WHEEL,CASTER",10,Unknown,$0.00,A,,"Jun 1, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7240-DS-UTI-LCAN,HOUSEHOLD AND COMMERCIAL UTILITY CONTAIN,9,Each,$75.00,A,,"May 8, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7105-DS-LOV-ESEA,LOVESEAT,2,Each,$0.00,A,,"Sep 24, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7290-DS-WAS-HER4,WASHING MACHINE,1,Each,$400.00,A,,"Oct 28, 2014 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,6140-01-446-9498,"BATTERY,STORAGE",10,Each,$181.24,A,1,"Jun 22, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2310-DS-VAN-0000,VAN,1,Each,"$16,933.00",A,,"Jun 26, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2610-01-470-4616,"TIRE,PNEUMATIC,VEHICULAR",4,Each,$217.57,A,1,"May 8, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2330-DS-TRA-ILE1,TRAILER,1,Each,"$4,000.00",A,,"May 12, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2330-DS-TRA-ILE1,TRAILER,1,Each,"$4,000.00",A,,"May 20, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,1,Each,$0.00,A,,"Aug 4, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7240-DS-TRA-SHCA,TRASH CAN,6,Each,$585.79,A,,"May 13, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,8110-00-866-1728,"DRUM,SHIPPING AND STORAGE",16,Each,$102.96,A,1,"Sep 24, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,3510-DS-WAS-HER6,CLOTHES WASHER,2,Each,$350.00,A,,"Apr 29, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",1,Each,"$17,547.00",A,,"Jun 15, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",1,Each,$0.00,A,,"Jul 31, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,3439-01-221-5720,"ELECTRODE,WELDING",25,Can,$39.00,A,1,"May 8, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,2530-01-443-3405,"PARTS KIT,VEHICULAR WHEEL",8,Kit,$342.49,B,3,"Jul 29, 2014 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,7105-DS-SOF-A000,SOFA,4,Each,$0.00,A,,"Sep 24, 2015 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00",F,1,"Dec 15, 2011 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00",F,1,"Dec 15, 2011 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00",F,1,"Dec 15, 2011 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00",F,1,"Dec 15, 2011 12:00:00 AM"
GU,CUSTOMS AND QUARANTINE AGENCY,5855-01-228-0936,NIGHT VISION GOGGLE,1,Each,"$4,300.00",F,1,"Dec 15, 2011 12:00:00 AM"
GU,GUAM DEPARTMENT OF YOUTH AFFAIRS,2320-01-380-8604,"TRUCK,UTILITY",1,Each,"$78,225.00",C,7,"May 30, 2012 12:00:00 AM"
GU,GUAM FIRE DEPT,2320-01-380-8604,"TRUCK,UTILITY",1,Each,"$78,225.00",C,7,"Dec 20, 2011 12:00:00 AM"
GU,GUAM FIRE DEPT,8140-01-077-7337,"SHIPPING AND STORAGE CONTAINER,BOMB DISPENSER",10,Each,$230.00,D,1,"Mar 18, 2014 11:55:32 AM"
GU,GUAM FIRE DEPT,2320-01-380-8604,"TRUCK,UTILITY",1,Each,"$78,225.00",C,7,"Dec 20, 2011 12:00:00 AM"
GU,GUAM POLICE DEPARTMENT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 2, 2010 12:00:00 AM"
GU,GUAM POLICE DEPARTMENT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Aug 2, 2010 12:00:00 AM"
