State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
HI,DEPT OF JUSTICE-FBI,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00",C,1,"Mar 3, 2014 12:00:00 AM"
HI,DEPT OF JUSTICE-FBI,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00",C,1,"Mar 3, 2014 12:00:00 AM"
HI,DEPT OF JUSTICE-FBI,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00",C,1,"Mar 3, 2014 12:00:00 AM"
HI,US DOJ INS HONOLULU,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Dec 6, 2012 12:00:00 AM"
HI,US DOJ INS HONOLULU,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Dec 6, 2012 12:00:00 AM"
HI,US DOJ INS HONOLULU,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 19, 2012 12:00:00 AM"
HI,US DOJ INS HONOLULU,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Dec 6, 2012 12:00:00 AM"
HI,US FBI ORG CRIME DRUG SQUAD,5855-01-465-2168,"ILLUMINATOR,INFRARED",2,Each,"$7,786.31",C,1,"Mar 18, 2014 11:55:32 AM"
HI,US FBI ORG CRIME DRUG SQUAD,5855-01-561-5993,CLOSE QUARTERS BATT,3,Each,$550.00,D,1,"Mar 18, 2014 11:55:32 AM"
HI,US FBI ORG CRIME DRUG SQUAD,5855-01-583-6497,"IMAGE INTENSIFIER,NIGHT VISION",4,Each,$234.35,D,1,"Mar 18, 2014 11:55:32 AM"
