State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 15, 2006 12:00:00 AM"
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 15, 2006 12:00:00 AM"
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 15, 2006 12:00:00 AM"
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 15, 2006 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 3, 2006 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 3, 2006 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 3, 2006 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Mar 11, 2008 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Mar 11, 2008 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 28, 2008 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 28, 2008 12:00:00 AM"
ME,AROOSTOOK COUNTY SHERIFF DEPT,8460-01-471-1035,"TRUNK,LOCKER",4,Each,$106.16,A,1,"Oct 15, 2014 12:00:00 AM"
