State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
MA,ACTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,ACTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,ACTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,ACTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,ACTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,ACTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,AUBURN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Feb 11, 2012 12:00:00 AM"
MA,BARNSTABLE POLICE DEPT,5855-01-034-3845,"IMAGE INTENSIFIER TUBE,NIGHT VISION",9,Each,"$3,238.00",F,1,"Mar 18, 2014 11:55:32 AM"
MA,BARNSTABLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BARNSTABLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BARNSTABLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BARNSTABLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BARNSTABLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BELCHERTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 12, 2006 12:00:00 AM"
MA,BELCHERTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 12, 2006 12:00:00 AM"
MA,BELCHERTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 12, 2006 12:00:00 AM"
MA,BELCHERTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 12, 2006 12:00:00 AM"
MA,BERKSHIRE COUNTY SHERIFFS OFFICE,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"May 1, 2012 12:00:00 AM"
MA,BERKSHIRE COUNTY SHERIFFS OFFICE,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"May 1, 2012 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5996-01-284-8835,"AMPLIFIER,RADIO FREQUENCY",3,Each,"$7,763.81",C,1,"Mar 18, 2014 11:55:32 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5855-01-228-0939,NIGHT VISION GOGGLE,1,Each,"$6,000.00",F,1,"Jun 28, 2012 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),1240-01-490-3413,"RANGE FINDER,LASER",1,Each,$0.01,F,1,"Mar 18, 2014 11:55:32 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5820-01-288-0625,"RECEIVER-TRANSMITTER SET,RADIO",3,Each,"$5,304.16",C,1,"Mar 18, 2014 11:55:32 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5820-01-544-5996,TRAY ASSEMBLY      ,1,Each,"$1,337.69",B,3,"Mar 4, 2014 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5820-01-544-5996,TRAY ASSEMBLY      ,1,Each,"$1,337.69",B,3,"Mar 4, 2014 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),2510-01-058-7420,"SPRING ASSEMBLY,LEAF",6,Each,$35.83,B,3,"Aug 27, 2013 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5820-01-270-5099,RECEIVER-TRANSMITTER CONTROL GROUP,3,Each,"$19,283.36",C,7,"Mar 18, 2014 11:55:32 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5820-01-301-6301,"ADAPTER GROUP,RADIO",3,Each,"$5,463.49",D,1,"Mar 18, 2014 11:55:32 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5855-01-228-0939,NIGHT VISION GOGGLE,1,Each,"$6,000.00",F,1,"Jun 28, 2012 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5855-01-228-0939,NIGHT VISION GOGGLE,1,Each,"$6,000.00",F,1,"Jun 28, 2012 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),2510-00-769-7848,PLATE AND SHAFT ASSEMBLY,3,Each,$129.68,B,,"Jun 18, 2013 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5965-00-043-3463,HANDSET,6,Each,$55.19,B,3,"Feb 7, 2013 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5915-01-285-1465,"FILTER,BAND PASS",3,Each,"$2,744.36",B,3,"Mar 18, 2014 11:55:32 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5855-01-228-0939,NIGHT VISION GOGGLE,1,Each,"$6,000.00",F,1,"Jun 28, 2012 12:00:00 AM"
MA,BILLERICA AUXILIARY POLICE (EMA),5998-01-288-2256,CIRCUIT CARD ASSEMBLY,3,Each,"$1,297.16",D,1,"Mar 18, 2014 11:55:32 AM"
MA,BLACKSTONE POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"May 15, 2013 12:00:00 AM"
MA,BLACKSTONE POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"May 15, 2013 12:00:00 AM"
MA,BLACKSTONE POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"May 15, 2013 12:00:00 AM"
MA,BRISTOL COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BRISTOL COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BRISTOL COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",10,Each,$331.00,D,1,"Mar 14, 2012 12:00:00 AM"
MA,BROOKFIELD POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,BROOKFIELD POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2006 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
MA,CAMBRIDGE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 30, 2010 12:00:00 AM"
