State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
MO,ADAIR COUNTY SHERIFF DEPT,2320-00-077-1631,"TRUCK,TANK",1,Each,"$98,162.00",F,1,"Mar 18, 2014 11:55:32 AM"
MO,ALTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Aug 3, 2011 12:00:00 AM"
MO,ALTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Aug 3, 2011 12:00:00 AM"
MO,ALTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Aug 3, 2011 12:00:00 AM"
MO,ALTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 3, 2011 12:00:00 AM"
MO,ALTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 3, 2011 12:00:00 AM"
MO,ALTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 3, 2011 12:00:00 AM"
MO,ANDREW COUNTY SHERIFF DEPT,6545-01-528-6546,"FIRST AID KIT,INDIVIDUAL",2,Each,$221.32,A,1,"Jan 29, 2015 12:00:00 AM"
MO,ANDREW COUNTY SHERIFF DEPT,7210-00-935-6665,"BLANKET,SURVIVAL",5,Each,$9.59,A,1,"Nov 15, 2014 12:00:00 AM"
MO,ANDREW COUNTY SHERIFF DEPT,1005-01-562-7396,"SLING,SMALL ARMS",15,Each,$23.34,A,1,"Jan 29, 2015 12:00:00 AM"
MO,ANDREW COUNTY SHERIFF DEPT,8145-01-533-4785,"SHIPPING AND STORAGE CONTAINER,VEHICULAR EQUIPMENT",1,Each,$809.00,A,1,"Jan 21, 2015 12:00:00 AM"
MO,ANDREW COUNTY SHERIFF DEPT,8140-00-960-1699,"CHEST,AMMUNITION",4,Each,$11.10,A,1,"Jan 21, 2015 12:00:00 AM"
MO,ANDREW COUNTY SHERIFF DEPT,8140-00-960-1699,"CHEST,AMMUNITION",1,Each,$11.10,A,1,"Jan 21, 2015 12:00:00 AM"
MO,ANDREW COUNTY SHERIFF DEPT,6515-01-521-7976,"TOURNIQUET,NONPNEUMATIC",10,Each,$43.14,A,1,"Jan 29, 2015 12:00:00 AM"
