State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 28, 2006 12:00:00 AM"
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 28, 2006 12:00:00 AM"
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 28, 2006 12:00:00 AM"
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Sep 28, 2006 12:00:00 AM"
NH,ALTON POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Apr 20, 2012 12:00:00 AM"
NH,ASHLAND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Mar 4, 2009 12:00:00 AM"
NH,ASHLAND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Mar 4, 2009 12:00:00 AM"
NH,BARNSTEAD POLICE DEPT,5965-01-453-2684,HEADSET-MICROPHONE,4,Each,$929.00,B,3,"Jun 17, 2015 12:00:00 AM"
NH,BARNSTEAD POLICE DEPT,8140-01-563-4815,"SHIPPING AND STORAGE CONTAINER,MUNITIONS",1,Unknown,$0.00,A,1,"Jun 17, 2015 12:00:00 AM"
NH,BARNSTEAD POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Feb 6, 2013 12:00:00 AM"
NH,BARNSTEAD POLICE DEPT,2320-01-230-0302,TRUCK TRACTOR,1,Each,"$86,203.00",A,1,"Aug 7, 2015 12:00:00 AM"
NH,BARNSTEAD POLICE DEPT,6545-01-549-3724,"CASE,MEDICAL INSTRUMENT AND SUPPLY SET",1,Each,$906.09,A,1,"Jun 17, 2015 12:00:00 AM"
NH,BARNSTEAD POLICE DEPT,6910-01-577-7066,"TRAINING AID,SMALL ARMS WEAPON",2,Unknown,$0.00,A,1,"Jun 17, 2015 12:00:00 AM"
