State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
NJ,ABERDEEN TOWNSHIP POLICE DEPT,5120-01-416-8568,"COMBINATION TOOL,HAND",2,Set,$153.87,A,1,"Nov 24, 2014 12:00:00 AM"
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ABERDEEN TOWNSHIP POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Jan 27, 2014 12:00:00 AM"
NJ,ABERDEEN TOWNSHIP POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$56,762.00",C,1,"May 9, 2012 12:00:00 AM"
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ABERDEEN TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Aug 15, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2410-00-185-9792,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,"$72,325.00",A,7,"Dec 10, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,6130-01-527-2726,"CHARGER,BATTERY",1,Each,"$2,046.00",A,1,"Feb 23, 2015 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2320-01-230-0300,"TRUCK,VAN",1,Each,"$111,395.00",A,1,"Oct 15, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2320-01-371-9584,"TRUCK,UTILITY",1,Each,"$62,627.00",C,1,"Jun 4, 2015 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,8465-01-515-8620,FIELD PACK,13,Each,$228.89,A,1,"Oct 20, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2320-01-488-6962,TRUCK TRACTOR,1,Each,"$166,223.00",Q,6,"Aug 15, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,6650-00-566-5190,"MICROSCOPE,OPTICAL",1,Each,$605.01,A,1,"Jan 8, 2015 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 21, 2008 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 21, 2008 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,6230-01-056-5238,"FLOODLIGHT SET,TRAILER MOUNTED",4,Set,"$4,489.00",A,1,"Oct 15, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Sep 4, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,4940-01-025-9856,"CLEANER,STEAM,PRESSURE JET",1,Each,"$18,528.00",A,1,"Dec 16, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2410-01-253-2117,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,"$172,896.00",A,1,"Dec 11, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,1005-01-561-7200,"MAGAZINE,CARTRIDGE",50,Each,$12.11,D,1,"Jan 27, 2015 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,"$47,023.00",Q,6,"Jul 22, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,8415-01-463-2381,"GLOVE INSERTS,COLD WEATHER",15,Pair,$3.00,A,1,"Oct 20, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ALLENHURST POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,ASBURY PARK POLICE DEPT,2410-00-185-9792,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,"$72,325.00",A,7,"Dec 1, 2014 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,ATLANTIC CITY POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 16, 2006 12:00:00 AM"
NJ,AVALON POLICE DEPT,2320-01-125-2640,TRUCK TRACTOR,1,Each,"$57,454.00",Q,6,"Nov 7, 2013 12:00:00 AM"
NJ,AVALON POLICE DEPT,2320-01-125-2640,TRUCK TRACTOR,1,Each,"$57,454.00",Q,6,"Oct 31, 2013 12:00:00 AM"
NJ,AVALON POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Nov 7, 2013 12:00:00 AM"
NJ,AVALON POLICE DEPT,2320-01-458-1207,TRUCK TRACTOR,3,Each,"$70,832.00",Q,6,"Nov 25, 2013 12:00:00 AM"
NJ,AVALON POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Nov 7, 2013 12:00:00 AM"
NJ,AVALON POLICE DEPT,2320-01-458-1207,TRUCK TRACTOR,2,Each,"$70,832.00",Q,6,"Aug 27, 2014 12:00:00 AM"
NJ,AVON BY THE SEA POLICE DEPT,6150-01-022-6004,"CABLE ASSEMBLY,POWER,ELECTRICAL",1,Each,$326.54,A,1,"Oct 31, 2014 12:00:00 AM"
NJ,AVON BY THE SEA POLICE DEPT,6150-01-022-6004,"CABLE ASSEMBLY,POWER,ELECTRICAL",2,Each,$326.54,A,1,"Oct 31, 2014 12:00:00 AM"
NJ,AVON BY THE SEA POLICE DEPT,6115-01-565-1576,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,"$20,415.00",Q,6,"Nov 15, 2013 12:00:00 AM"
NJ,AVON BY THE SEA POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Jan 27, 2014 12:00:00 AM"
NJ,AVON BY THE SEA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jul 29, 2014 12:00:00 AM"
NJ,AVON BY THE SEA POLICE DEPT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,"$47,023.00",Q,6,"Dec 3, 2013 12:00:00 AM"
NJ,AVON BY THE SEA POLICE DEPT,2540-01-434-8598,"COVER,FITTED,VEHICULAR CAB",1,Kit,"$1,477.64",B,3,"Dec 19, 2013 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,7025-DS-MON-IT08,"MONITOR, COMPUTER",2,Each,$369.00,A,,"Mar 26, 2015 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,7025-DS-MON-IT08,"MONITOR, COMPUTER",5,Each,$166.00,A,,"Apr 14, 2015 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Nov 13, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1095-00-407-0674,"RACK,STORAGE,SMALL ARMS",3,Each,$460.99,A,1,"Dec 12, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Feb 26, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Feb 26, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Feb 26, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Feb 26, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,8145-01-471-3557,CONTAINER FOR REFRI,1,Each,"$19,547.36",A,1,"Oct 9, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",3,Each,$594.61,D,1,"Oct 16, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-01-544-9825,"BUTTSTOCK,SUBASSEMBLY",30,Each,$15.18,D,1,"Dec 10, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,1005-00-921-5004,"MAGAZINE,CARTRIDGE",50,Each,$12.11,D,1,"Mar 20, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,3825-01-297-3357,"DISTRIBUTOR,WATER,TANK TYPE",1,Each,"$30,289.00",A,,"Dec 30, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,6650-01-336-8197,FIBERSCOPE,1,Kit,"$7,500.11",B,3,"Mar 26, 2015 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,6115-01-274-7387,"GENERATOR SET,DIESEL ENGINE",1,Each,"$12,797.70",A,7,"Jan 13, 2015 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,2320-01-488-6962,TRUCK TRACTOR,1,Each,"$166,223.00",Q,6,"Dec 30, 2014 12:00:00 AM"
NJ,BARNEGAT TOWNSHIP POLICE DEPT,3930-01-158-0849,"TRUCK,LIFT,FORK",1,Each,"$72,370.00",A,1,"Oct 27, 2014 12:00:00 AM"
