State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
NM,ALAMOGORDO DEPT OF PUBLIC SAFETY,1385-01-574-4707,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,Each,"$10,000.00",D,1,"Feb 6, 2014 12:00:00 AM"
NM,ALAMOGORDO DEPT OF PUBLIC SAFETY,2320-01-107-7153,"TRUCK,UTILITY",1,Each,"$63,894.00",C,1,"Jul 12, 2013 12:00:00 AM"
NM,ALAMOGORDO DEPT OF PUBLIC SAFETY,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00",C,1,"Oct 15, 2013 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,5410-DS-BUI-LDIN,PREFABRICATED AND PORTABLE BUILDINGS,1,Each,"$195,000.00",A,,"May 11, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,5410-DS-BUI-LDIN,PREFABRICATED AND PORTABLE BUILDINGS,1,Each,"$646,832.50",A,,"May 11, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1385-01-574-4707,"ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",1,Each,"$10,000.00",D,1,"Feb 6, 2014 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00",C,1,"Feb 13, 2014 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2340-00-540-3900,"SCOOTER,MOTOR",1,Each,"$5,000.00",A,1,"Aug 25, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-576-6134,"SIGHT,REFLEX",1,Each,$381.00,D,1,"Jun 16, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-576-6134,"SIGHT,REFLEX",1,Each,$381.00,D,1,"Jun 16, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2330-00-697-8102,"TRAILER,BASIC UTILITY",1,Each,"$1,186.00",A,1,"Aug 25, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,6230-01-538-9928,FLASHLIGHT,7,Each,"$3,740.45",A,1,"Jul 14, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 14, 2012 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 14, 2012 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",19,Each,$331.00,D,1,"Jul 28, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",39,Each,$331.00,D,1,"Jul 14, 2015 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",23,Each,$331.00,D,1,"Sep 23, 2014 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"May 29, 1996 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"May 29, 1996 12:00:00 AM"
NM,ALBUQUERQUE POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$56,762.00",C,1,"Apr 6, 2012 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,2330-DS-TRA-ILE1,TRAILER,1,Each,$0.00,A,,"Aug 14, 2015 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,4240-01-250-0313,"BASKET,RESCUE      ",2,Each,"$2,306.34",Q,6,"Aug 19, 2015 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,2340-00-585-7495,"SCOOTER,MOTOR",2,Each,"$5,495.00",A,1,"Jul 16, 2015 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,2330-00-055-0626,TRAILER            ,1,Unknown,$0.00,A,1,"Sep 11, 2015 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,7105-00-935-0422,"COT,FOLDING",10,Each,$88.11,A,1,"May 20, 2015 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,2320-01-097-0249,"TRUCK,TANK",1,Each,"$396,130.00",Q,6,"Nov 20, 2014 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,5855-01-464-3152,"SIGHT,THERMAL",6,Each,"$17,591.00",D,7,"Apr 29, 2015 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,"$922,704.00",C,1,"Sep 6, 2007 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 26, 2012 12:00:00 AM"
NM,BERNALILLO COUNTY SHERIFF DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 26, 2012 12:00:00 AM"
