State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
NC,AHOSKIE POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Nov 16, 2012 12:00:00 AM"
NC,AHOSKIE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 11, 2008 12:00:00 AM"
NC,AHOSKIE POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Aug 22, 2012 12:00:00 AM"
NC,AHOSKIE POLICE DEPT,5855-00-760-3869,"NIGHT VISION SIGHT,",1,Each,"$2,350.00",F,1,"Jun 1, 1995 12:00:00 AM"
NC,AHOSKIE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 11, 2008 12:00:00 AM"
NC,AHOSKIE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 11, 2008 12:00:00 AM"
NC,AHOSKIE POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Nov 16, 2012 12:00:00 AM"
NC,ALAMANCE COUNTY SHERIFFS OFFICE,2350-01-068-4089,"CARRIER,COMMAND POST",1,Each,"$323,178.00",D,1,"Aug 20, 2003 12:00:00 AM"
NC,ALBEMARLE POLICE DEPARTMENT,5855-00-760-3869,"NIGHT VISION SIGHT,",1,Each,"$2,350.00",F,1,"Jun 2, 1995 12:00:00 AM"
NC,ALBEMARLE POLICE DEPARTMENT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,"$41,447.00",C,1,"Aug 20, 1998 12:00:00 AM"
NC,ALBERT J ELLIS AIRPORT POLICE DEPT,8470-01-547-5949,"VEST,TACTICAL,MODULAR",8,Set,$482.90,D,1,"Aug 1, 2013 12:00:00 AM"
NC,ALEXANDER COUNTY SHERIFFS OFFICE,5855-00-179-3708,NIGHT VISION SIGHT ,1,Each,"$2,350.00",F,1,"Jun 1, 1995 12:00:00 AM"
NC,ALLEGHANY COUNTY SHERIFFS OFFICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jul 17, 2000 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$331.00,D,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$331.00,D,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$331.00,D,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$331.00,D,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$331.00,D,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$331.00,D,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$331.00,D,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,2541-01-574-5930,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",3,Each,"$5,031.65",D,1,"Jun 4, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,2541-01-574-5930,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,Each,"$5,031.65",D,1,"Jun 4, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,5965-01-521-0941,HEADSET-MICROPHONE,4,Each,$695.00,B,3,"Jul 30, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,7025-01-504-9303,"READER,FINGERPRINT ",16,Each,$10.00,Q,3,"Jul 25, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1240-01-412-6608,"TELESCOPE,STRAIGHT",12,Each,$958.00,D,7,"Sep 10, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,8415-DS-BDU-KNEE,BDU KNEEPAD,20,Each,$22.90,B,,"Jun 20, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,6675-00-641-5735,"TRANSIT,POCKET",8,Each,$230.88,B,3,"Jul 30, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,8465-00-641-8551,"CLUB,SELF-PROTECTION",12,Each,$5.76,Q,6,"Jul 30, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,4240-01-342-2854,"RESPIRATOR,AIR FILTERING",10,Box,$285.24,Q,6,"Jul 11, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,5411-00-999-6022,"SHELTER,NONEXPANDABLE",1,Each,"$11,103.00",C,1,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,8465-01-467-0726,BODY SHIELD        ,12,Each,$116.87,B,3,"Jul 30, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,6230-01-572-5707,"LIGHT SET,GENERAL ILLUMINATION",8,Each,"$6,899.69",B,3,"Jul 3, 2013 12:00:00 AM"
NC,ANDREWS POLICE DEPARTMENT,6230-01-572-5707,"LIGHT SET,GENERAL ILLUMINATION",2,Each,"$6,899.69",B,3,"Jul 3, 2013 12:00:00 AM"
NC,ASHE COUNTY SHERIFFS OFFICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 5, 2008 12:00:00 AM"
NC,ASHEBORO POLICE DEPT,5855-00-760-3869,"NIGHT VISION SIGHT,",1,Each,"$2,350.00",F,1,"Jun 13, 1995 12:00:00 AM"
NC,ASHEVILLE POLICE DEPARTMENT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,"$65,070.00",C,1,"Oct 3, 2007 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 20, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 20, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 20, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 7, 1993 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 17, 2007 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 1, 2008 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 1, 2008 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 1, 2008 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 1, 2008 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Nov 20, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Nov 20, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Nov 20, 2006 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 17, 2007 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 17, 2007 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 17, 2007 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 17, 2007 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,5855-00-179-3708,NIGHT VISION SIGHT ,1,Each,"$2,350.00",F,1,"Jun 13, 1995 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,5855-00-179-3708,NIGHT VISION SIGHT ,1,Each,"$2,350.00",F,1,"Jun 13, 1995 12:00:00 AM"
NC,AVERY COUNTY SHERIFFS OFFICE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,6115-01-494-8790,"GENERATOR SET,DIESEL ENGINE",2,Each,"$2,594.00",A,1,"Apr 14, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7110-DS-FIL-ECA0,FILE CABINET,3,Each,$399.00,A,,"Jun 18, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,2320-01-412-0143,"TRUCK,UTILITY",1,Each,"$83,240.00",C,1,"Jun 12, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7830-DS-TRA-INE1,TRAINER,1,Each,"$1,200.00",A,,"Apr 14, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-DS-CAS-EGUN,GUN/RIFLE CASES,18,Each,$150.00,A,,"Apr 14, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7830-DS-ELL-IPTI,ELLIPTICAL,2,Each,"$2,000.00",A,,"Jun 18, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7035-01-551-5516,"SERVER,AUTOMATIC DATA PROCESSING",1,Each,"$21,361.00",Q,3,"Jul 29, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7021-01-552-6098,"COMPUTER,DIGITAL",1,Each,$214.00,Q,3,"Jul 29, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7830-DS-CLI-MBER,CLIMBER,1,Each,"$2,500.00",A,,"Apr 14, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7021-01-552-6098,"COMPUTER,DIGITAL",1,Each,$214.00,Q,3,"Jul 29, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7021-01-552-6098,"COMPUTER,DIGITAL",1,Each,$214.00,Q,3,"Jul 29, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,6130-00-220-5212,"INVERTER,POWER,STATIC",5,Each,"$1,093.15",B,3,"Jul 11, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7010-01-476-0934,"COMPUTER SYSTEM,DIGITAL",1,Each,"$8,500.00",Q,3,"Jul 29, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,6230-01-096-3508,"FLOODLIGHT SET,ELECTRIC",1,Each,"$10,795.31",A,1,"Sep 9, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,6230-01-096-3508,"FLOODLIGHT SET,ELECTRIC",1,Each,"$10,795.31",A,1,"Sep 2, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,2310-DS-VAN-0000,VAN,1,Each,$0.00,A,,"Aug 12, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7010-01-598-8591,"COMPUTER SYSTEM,DIGITAL",1,Each,"$1,250.00",D,7,"Jul 29, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",1,Each,"$2,500.00",A,,"Apr 8, 2015 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,5855-00-760-3869,"NIGHT VISION SIGHT,",1,Each,"$2,350.00",F,1,"Jun 2, 1995 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,8465-01-499-9918,"CLUB,SELF-PROTECTION",20,Each,$78.34,Q,6,"Aug 1, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,2340-01-571-4220,ALL TERRAIN VEHICLE WHEELED,2,Each,"$12,700.00",Q,6,"Dec 4, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,2340-01-571-4220,ALL TERRAIN VEHICLE WHEELED,2,Each,"$12,700.00",Q,6,"Oct 29, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,7021-01-545-2034,"COMPUTER,DIGITAL",15,Each,"$1,368.00",D,1,"Aug 13, 2013 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,AYDEN POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 10, 2007 12:00:00 AM"
NC,BALD HEAD ISLAND POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,BALD HEAD ISLAND POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 8, 2006 12:00:00 AM"
NC,BALD HEAD ISLAND POLICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,BALD HEAD ISLAND POLICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Dec 8, 2006 12:00:00 AM"
NC,BALD HEAD ISLAND POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 8, 2006 12:00:00 AM"
NC,BALD HEAD ISLAND POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 8, 2006 12:00:00 AM"
