State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
OR,ASTORIA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,ASTORIA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,ASTORIA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,ASTORIA POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,4,Each,$278.05,D,1,"Dec 17, 2013 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,7810-DS-ATH-SPOR,ATHLETIC AND SPORTING EQUIPMENT,1,Each,$950.00,A,,"Feb 25, 2015 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,6,Each,$278.05,D,1,"Dec 17, 2013 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,7830-DS-BIC-YCER,"BICYCLE, RECUMBENT",1,Each,"$2,400.00",A,,"Feb 25, 2015 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,8465-01-513-4083,"PACK,ASSAULT,MOLLE ",5,Each,$75.23,A,1,"Oct 8, 2014 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,8415-01-461-8341,"SHIRT,COLD WEATHER",8,Each,$60.25,A,1,"Oct 8, 2014 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,8415-01-585-4690,"SUIT,CHEMICAL PROTECTIVE",12,Each,$314.70,Q,3,"Oct 28, 2014 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,7830-01-256-9914,"EXERCISE MACHINE,STATIONARY BICYCLE",1,Each,"$2,369.00",A,1,"Feb 25, 2015 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,8465-01-465-2154,SYSTEM HYDRATION   ,4,Each,$32.94,A,1,"Feb 25, 2015 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,8340-01-185-2613,TENT,1,Each,"$7,133.46",A,1,"Oct 8, 2014 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,"$658,000.00",C,1,"Sep 10, 2013 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,8465-01-465-2131,HYDRATION SYSTEM,6,Each,$19.26,A,1,"Feb 25, 2015 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,8465-01-583-6329,TACTICAL ASSAULT PANEL,8,Each,$35.88,A,1,"Oct 8, 2014 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,2510-01-555-4876,"WINDOW,VEHICULAR",1,Each,"$2,956.27",D,1,"Nov 26, 2013 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,7830-DS-TRE-ADM1,TREADMILL,1,Each,"$2,734.74",A,,"Feb 25, 2015 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,7830-DS-ELL-IPTI,ELLIPTICAL,1,Each,"$1,000.00",A,,"Feb 25, 2015 12:00:00 AM"
OR,BAKER CTY SHERIFF DEPT,7830-DS-CLI-MBER,CLIMBER,1,Each,"$2,918.00",A,,"Feb 25, 2015 12:00:00 AM"
OR,BANDON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 21, 2013 12:00:00 AM"
OR,BANDON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 21, 2013 12:00:00 AM"
OR,BANDON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 21, 2013 12:00:00 AM"
OR,BANDON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 21, 2013 12:00:00 AM"
OR,BANDON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 21, 2013 12:00:00 AM"
OR,BANDON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 21, 2013 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 12, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 3, 2008 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 3, 2008 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BEND POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,BOARDMAN POLICE DEPT,1005-01-484-8000,"SIGHT,REAR",20,Each,$60.82,D,1,"Jul 31, 2013 12:00:00 AM"
OR,BOARDMAN POLICE DEPT,1240-01-540-3690,"SIGHT,REFLEX",30,Each,$331.00,D,1,"Jul 31, 2013 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,2320-01-074-7642,"TRUCK,ARMORED",1,Each,"$65,070.00",C,1,"Oct 4, 2010 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,6515-01-557-1136,"OXIMETER,PULSE",30,Each,$511.12,A,1,"Nov 3, 2014 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,8415-00-144-4981,"HELMET,FLYER'S",3,Each,$212.01,B,3,"Mar 18, 2014 11:55:32 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,8415-01-395-2196,DUAL VISOR ASSEMBLY,4,Each,$526.89,B,3,"Mar 18, 2014 11:55:32 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,8475-01-359-0892,"HELMET,FLYER'S",6,Each,$408.15,D,1,"Mar 18, 2014 11:55:32 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 24, 2009 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 8, 2006 12:00:00 AM"
OR,CLACKAMAS COUNTY SHERIFFS OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 8, 2006 12:00:00 AM"
