State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
PA,ABINGTON TOWNSHIP POLICE DEPT,1095-01-227-1739,BAYONET AND SCABBARD,50,Each,$49.42,Q,6,"Feb 5, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-DS-BEL-T001,INDIVIDUAL BELT,61,Each,$4.92,A,,"Nov 20, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-01-559-7993,"SIGHT,HOLOGRAPHIC",10,Each,$485.43,D,1,"Nov 4, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-515-8615,FIELD PACK,12,Each,$548.59,A,1,"Nov 20, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-515-8615,FIELD PACK,25,Each,$548.59,A,1,"Apr 15, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,7025-DS-PRO-JEC2,"PROJECTOR, COMPUTER SCREEN",1,Each,$1.00,A,,"Nov 20, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-532-7256,"INSERTS,MEDIC      ",30,Each,$99.59,A,1,"Oct 29, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,"$65,070.00",C,1,"Jul 25, 1995 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-518-6492,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARRYING",6,Each,$298.00,D,1,"Mar 26, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8460-DS-LUG-GAGE,LUGGAGE,5,Each,$69.00,A,,"Apr 15, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-515-7594,"PACK,ASSAULT,MOLLE ",1,Each,$60.05,A,1,"Apr 15, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-524-5250,ASSAULT PACK       ,12,Each,$77.34,A,1,"Feb 5, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,4933-01-564-8971,"SHOP EQUIPMENT,SMALL ARMS",1,Set,"$18,475.00",B,3,"Oct 20, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 9, 2006 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 18, 2006 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,1095-DS-MIS-CWAA,MISC WEAPON ACCESSORIES DEMIL A,2,Each,$50.00,A,,"Feb 5, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 10, 2006 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 9, 2006 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-525-0578,RIFLEMAN SET       ,1,Set,$336.33,A,1,"Nov 20, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,5820-01-545-7946,"RECEIVER-TRANSMITTER,RADIO",15,Each,"$1,500.00",A,1,"Nov 20, 2014 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",5,Each,$331.00,D,1,"Apr 15, 2015 12:00:00 AM"
PA,ABINGTON TOWNSHIP POLICE DEPT,8465-01-533-3020,FIELD PACK,20,Unknown,$0.00,A,1,"Apr 15, 2015 12:00:00 AM"
PA,ALBURTIS POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 16, 2012 12:00:00 AM"
PA,ALBURTIS POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 16, 2012 12:00:00 AM"
PA,ALBURTIS POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 16, 2012 12:00:00 AM"
PA,ASTON TOWNSHIP POLICE DEPT,7310-DS-COF-FEE1,COFFEE MAKER,1,Each,$400.00,A,,"Oct 7, 2014 12:00:00 AM"
PA,ASTON TOWNSHIP POLICE DEPT,6730-00-151-7621,"PROJECTOR,MOTION PICTURE,SILENT",1,Each,"$6,726.00",A,,"Oct 7, 2014 12:00:00 AM"
PA,ASTON TOWNSHIP POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",5,Each,$331.00,D,1,"Sep 24, 2014 12:00:00 AM"
PA,ASTON TOWNSHIP POLICE DEPT,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",1,Each,$150.00,A,,"Oct 7, 2014 12:00:00 AM"
PA,ASTON TOWNSHIP POLICE DEPT,4240-01-182-6406,"FACESHIELD,MILITARY,RIOT CONTROL",25,Each,$37.35,Q,6,"Sep 10, 2014 12:00:00 AM"
PA,ASTON TOWNSHIP POLICE DEPT,6720-DS-DIG-ITA0,"CAMERA, DIGITAL",2,Each,$150.00,A,,"Oct 7, 2014 12:00:00 AM"
PA,ASTON TOWNSHIP POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",15,Each,$331.00,D,1,"Sep 24, 2014 12:00:00 AM"
PA,BALDWIN BOROUGH POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 25, 2008 12:00:00 AM"
PA,BALDWIN BOROUGH POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 25, 2008 12:00:00 AM"
PA,BALDWIN BOROUGH POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 25, 2008 12:00:00 AM"
