State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
PR,AGUADA POLICE DEPARTMENT,2330-01-207-3533,"TRAILER,FLAT BED",1,Each,"$14,423.00",A,7,"Aug 17, 2015 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,1,Each,"$46,170.00",A,,"Oct 30, 2014 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,"$41,447.00",C,1,"Nov 2, 2013 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Oct 28, 2014 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,5180-00-323-4944,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Kit,"$1,046.00",B,3,"Nov 14, 2013 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,2590-01-541-4611,"PARTS KIT,SPECIALIZED",5,Kit,$590.32,B,3,"Nov 14, 2013 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,2410-01-223-0350,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,"$87,683.00",A,1,"Jul 24, 2015 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Feb 28, 2014 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Feb 28, 2014 12:00:00 AM"
PR,AGUADA POLICE DEPARTMENT,2320-01-488-6962,TRUCK TRACTOR,1,Each,"$166,223.00",Q,6,"Oct 14, 2014 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,"$41,447.00",C,1,"May 15, 2012 12:00:00 AM"
PR,ARECIBO POLICE DEPT,8145-01-326-2578,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",1,Each,"$4,278.98",A,1,"Jun 4, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-230-0304,"TRUCK,WRECKER",1,Each,"$168,960.00",A,1,"Nov 13, 2014 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7156,"TRUCK,UTILITY",1,Each,"$43,376.00",Q,6,"Sep 28, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2330-01-109-8006,"SEMITRAILER,FLAT BED",1,Each,"$17,000.00",A,7,"Apr 14, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,3930-01-158-0849,"TRUCK,LIFT,FORK",1,Each,"$72,370.00",A,1,"Jun 4, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,4310-01-190-0285,"COMPRESSOR UNIT,RECIPROCATING",1,Each,"$1,000.00",A,1,"Jun 15, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-DS-TRU-CKDC,"TRUCKS AND TRUCK TRACTORS, DEMIL C",1,Each,"$95,000.00",C,,"Apr 14, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Jan 12, 2012 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Oct 25, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Sep 30, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,6230-01-056-5238,"FLOODLIGHT SET,TRAILER MOUNTED",1,Set,"$4,489.00",A,1,"Oct 15, 2014 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Dec 15, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 4, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Dec 15, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2330-01-387-5426,"TRAILER,CARGO",2,Each,"$8,954.00",A,1,"Jun 4, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2815-01-257-3879,ENGINE AND CONTAINE,1,Each,"$49,443.00",A,1,"Apr 14, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2410-01-223-0350,"TRACTOR,FULL TRACKED,LOW SPEED",1,Each,"$87,683.00",A,1,"Jun 5, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Sep 30, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 6, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Sep 28, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Nov 1, 2011 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 6, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 4, 2015 12:00:00 AM"
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 6, 2015 12:00:00 AM"
