State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1240-01-568-8373,"MOUNT,SIGHT",5,Each,"$1,077.02",B,3,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,1240-01-411-6350,"TELESCOPE,STRAIGHT",4,Each,$834.00,F,7,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,8465-01-417-4004,"SPECTACLES SET,BALLISTIC PROTECTIVE",25,Each,$15.47,B,0,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,2815-00-531-5921,DESC=FILTER  AIR HM 1 ,3,Each,$64.08,B,3,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,2510-01-491-6919,"KIT,BRUSHGUARD     ",2,Each,$195.00,B,3,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 14, 2011 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Apr 22, 2011 12:00:00 AM"
RI,BARRINGTON POLICE DEPT,1240-01-207-5787,BINOCULAR,1,Each,$345.00,F,1,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,1240-01-207-5787,BINOCULAR,4,Each,$345.00,F,1,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,1005-01-131-1905,"SIGHT,REAR",3,Each,$30.12,D,1,"Mar 18, 2014 11:55:32 AM"
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Feb 5, 2013 12:00:00 AM"
RI,BURRILLVILLE POLICE DEPT,5855-01-V91-7056,DESC=NVS RANGER M995 GEN III ,2,Each,"$5,292.00",D,,"Mar 18, 2014 11:55:32 AM"
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 20, 2010 12:00:00 AM"
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 20, 2010 12:00:00 AM"
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 25, 2006 12:00:00 AM"
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 25, 2006 12:00:00 AM"
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 25, 2006 12:00:00 AM"
RI,BURRILLVILLE POLICE DEPT,5855-01-471-1145,"VIEWER,NIGHT VISION",1,Each,"$75,000.00",D,1,"Mar 18, 2014 11:55:32 AM"
RI,CHARLESTOWN POLICE DEPT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,"$41,447.00",C,1,"Jul 13, 2011 12:00:00 AM"
RI,CHARLESTOWN POLICE DEPT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,"$47,023.00",Q,6,"Feb 24, 2012 12:00:00 AM"
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 25, 2008 12:00:00 AM"
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 25, 2008 12:00:00 AM"
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 25, 2006 12:00:00 AM"
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 25, 2006 12:00:00 AM"
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 25, 2006 12:00:00 AM"
RI,CHARLESTOWN POLICE DEPT,2320-01-456-1282,"TRUCK,UTILITY",1,Each,"$46,983.00",C,1,"Apr 30, 2012 12:00:00 AM"
RI,COVENTRY POLICE DEPT,5855-01-488-6563,"ILLUMINATOR,INFRARED",1,Each,"$1,794.00",D,1,"Jul 17, 2009 12:00:00 AM"
RI,COVENTRY POLICE DEPT,5855-01-531-5726,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,$100.00,D,1,"Feb 26, 2007 12:00:00 AM"
RI,COVENTRY POLICE DEPT,5855-01-444-1233,"BATTERY COMPARTMENT,NIGHT VISION VIEWER",12,Each,$95.88,D,1,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,2510-01-552-0617,"PARTS KIT,WINDSHIELD",1,Each,"$8,098.00",D,1,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,5855-01-463-4839,"IMAGE CONVERTER,NIGHT VISION",17,Each,$745.87,D,7,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,5855-01-481-8281,"IMAGE INTENSIFIER,NIGHT VISION",2,Each,"$5,500.00",C,1,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,5855-01-529-5375,"ILLUMINATOR,INFRARED",6,Each,$160.00,B,3,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,5855-01-380-5102,"EYEPIECE ASSEMBLY,OPTICAL INSTRUMENT",48,Each,$118.92,D,1,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,5855-01-383-6558,"SIGHT,THERMAL",2,Each,"$17,000.00",D,1,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,5855-01-246-8266,HEADSET ASSEMBLY   ,20,Each,$54.72,B,3,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,2510-01-519-6412,"PANEL,BODY,VEHICULAR",2,Each,$712.36,D,1,"Mar 18, 2014 11:55:32 AM"
RI,COVENTRY POLICE DEPT,2540-01-444-6368,"ARMOR,SUPPLEMENTAL,SMALL ARMS-FRAGMENTATION PROTECTIVE",4,Each,$149.55,D,1,"Sep 19, 2013 12:00:00 AM"
RI,COVENTRY POLICE DEPT,1005-01-267-2093,"SUPPRESSOR,FLASH",6,Each,"$2,002.80",D,1,"Jul 11, 2013 12:00:00 AM"
