State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
SC,AIKEN COUNTY SHERIFF DEPT,5930-00-240-7856,"SWITCH,LEVER",4,Unknown,$0.00,A,,"Aug 11, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,8430-DS-SHO-ES00,"SHOE, MEN'S",50,Each,$0.00,A,,"Jul 17, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,5130-DS-SAW-0002,"SAW, POWER",2,Each,$500.00,A,,"Nov 20, 2014 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,6240-01-356-9802,"LAMP,FLUORESCENT",13,Each,$7.44,A,,"Nov 18, 2014 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,5120-DS-HAN-DTOL,"HAND TOOLS, NONEDGED, NONPOWERED",1,Lot,$0.00,A,,"Jul 17, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,5360-01-542-2645,"SPRING,LEAF",4,Each,$475.47,A,1,"Jul 17, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,5120-DS-HAN-DTOL,"HAND TOOLS, NONEDGED, NONPOWERED",1,Lot,$0.00,A,,"Jul 17, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,6220-01-563-6986,"LIGHT,WARNING",20,Unknown,$0.00,A,1,"Aug 11, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,8140-00-960-1699,"CHEST,AMMUNITION",100,Each,$11.10,A,1,"Feb 12, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,2541-01-557-1104,"BUMPER,VEHICULAR",2,Each,$264.57,A,1,"Jul 29, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,2540-01-548-6207,"SEAT,VEHICULAR",1,Each,$767.23,A,1,"Jul 17, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,7310-00-355-8368,"KETTLE,STEAM JACKETED",1,Each,"$12,592.79",A,1,"Nov 20, 2014 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
SC,AIKEN COUNTY SHERIFF DEPT,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Jan 9, 2015 12:00:00 AM"
