State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
TN,ADAMSVILLE POLICE DEPARTMENT,5965-01-368-8184,LOUDSPEAKER-MICROPHONE,2,Each,$341.99,B,3,"Sep 30, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5935-01-496-3278,"MAINTENANCE KIT,ELECTRICAL CON",1,Each,$132.90,A,,"Sep 29, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,6625-01-392-6261,VOLTMETER,1,Each,"$1,028.97",A,7,"Sep 29, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1620-00-992-7428,"PARTS KIT,POWER UNIT",2,Each,$263.58,A,1,"Sep 29, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-056-2237,"MAGAZINE,CARTRIDGE",6,Each,$12.11,D,1,"Feb 18, 2012 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,6230-01-549-3979,FLASHLIGHT,2,Each,"$4,017.44",B,3,"Aug 6, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,8415-01-296-8878,"VEST,TACTICAL LOAD CARRYING",10,Each,$48.97,A,1,"Jul 7, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4940-01-025-9856,"CLEANER,STEAM,PRESSURE JET",1,Each,"$18,528.00",A,1,"May 21, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4320-01-307-0538,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",1,Each,"$2,077.00",A,1,"Jul 1, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2330-DS-TRA-ILE1,TRAILER,1,Each,"$14,555.00",A,,"Jul 7, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,6625-01-139-2512,MULTIMETER,2,Each,$312.02,A,1,"Aug 6, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-355-4332,TRUCK TRACTOR,1,Each,"$142,132.00",A,7,"Jul 30, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4310-DS-COM-PRE1,"COMPRESSOR, AIR",1,Each,$0.00,A,,"Aug 12, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4320-01-092-3551,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",1,Each,"$12,761.00",A,1,"Jun 23, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,4320-01-092-3551,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",1,Each,"$12,761.00",A,1,"Jul 1, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2420-01-160-2754,"TRACTOR,WHEELED,INDUSTRIAL",1,Each,"$110,000.00",A,1,"Jul 16, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5180-01-517-6129,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Set,"$5,127.00",A,1,"Jul 7, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-097-0249,"TRUCK,TANK",1,Each,"$396,130.00",Q,6,"Apr 23, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",1,Set,"$1,759.00",A,1,"Jul 7, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,7360-01-313-2238,"KITCHEN,FIELD,TRAILER MOUNTED",1,Each,"$145,000.00",A,1,"Jul 30, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1095-01-550-6607,"RACK,STORAGE,SMALL ARMS",4,Each,$898.29,A,1,"Jul 7, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-354-3384,"TRUCK,VAN",1,Each,"$124,607.00",A,1,"May 21, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-00-402-6723,"TRUCK,AIRCRAFT CARGO LOADING-UNLOADING",1,Each,"$70,514.00",A,1,"Jun 9, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-371-9577,"TRUCK,UTILITY",1,Each,"$47,023.00",Q,6,"Apr 6, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-354-3385,"TRUCK,CARGO",1,Each,"$104,626.00",A,1,"Apr 9, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-354-3385,"TRUCK,CARGO",1,Each,"$104,626.00",A,1,"Apr 29, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,6530-01-380-7309,"LITTER,FOLDING,RIGID POLE",6,Each,$317.13,A,1,"May 21, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2420-DS-TRA-CTO1,"TRACTORS, WHEELED",1,Each,$0.00,A,,"Jul 23, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2420-DS-TRA-CTO1,"TRACTORS, WHEELED",1,Each,$0.00,A,,"Jul 23, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 27, 2006 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 27, 2006 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 27, 2006 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 27, 2006 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-01-561-7200,"MAGAZINE,CARTRIDGE",10,Each,$12.11,D,1,"May 20, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 27, 2006 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 27, 2006 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,7021-DS-LAP-TOP2,LAPTOP COMPUTER,2,Each,"$1,266.00",A,,"Jun 18, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,7021-DS-LAP-TOP2,LAPTOP COMPUTER,2,Each,"$1,210.78",A,,"Jun 18, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,6760-01-507-7795,TRIPOD             ,1,Each,$232.23,A,1,"Jul 7, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5820-01-549-6407,"RECEIVER-TRANSMITTER,RADIO",4,Each,"$3,760.17",D,1,"Jul 2, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,1005-00-921-5004,"MAGAZINE,CARTRIDGE",4,Each,$12.11,D,1,"May 20, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,2320-01-412-0143,"TRUCK,UTILITY",1,Each,"$83,240.00",C,1,"Jul 6, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,8340-01-533-1697,TRAILER MOUNTED SUPPORT SYSTEM,1,Each,"$99,303.49",A,1,"Jun 23, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,6115-01-299-6035,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,Each,"$50,294.00",Q,6,"May 21, 2015 12:00:00 AM"
TN,ADAMSVILLE POLICE DEPARTMENT,5180-01-504-5663,"TOOL KIT,SMALL ARMS",1,Kit,"$3,600.00",A,1,"Aug 11, 2015 12:00:00 AM"
