State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 21, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1240-01-490-7308,"SIGHT,REFLEX",15,Each,"$1,170.55",D,1,"Apr 30, 2013 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,"$1,078.00",Q,3,"Mar 25, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,8415-DS-SPC-LOTA,"CLOTHING, SPECIAL PURPOSE, DEMIL A",10,Each,$25.00,A,,"Mar 12, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,6650-01-394-0183,BINOCULAR,1,Each,$51.70,A,,"Mar 12, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,6530-01-522-7855,"LITTER,NONRIGID,POLELESS",2,Each,$399.57,A,1,"Jun 24, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,8140-00-960-1699,"CHEST,AMMUNITION",15,Each,$11.10,A,1,"Apr 15, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,8405-DS-OUT-MENS,"OUTERWEAR, MEN'S",30,Each,$54.40,A,,"Mar 12, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,8460-DS-LUG-GAGE,LUGGAGE,35,Each,$0.00,A,,"Jun 3, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00",C,1,"May 13, 2014 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,2530-01-569-6603,"PUMP,RESERVOIR     ",2,Each,"$3,990.98",B,3,"Jul 2, 2014 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,5830-01-594-9992,PUBLIC ADDRESS SET,1,Each,$69.21,A,1,"Mar 12, 2015 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 28, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 28, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 28, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 28, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 28, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 28, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 21, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 21, 2006 12:00:00 AM"
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 21, 2006 12:00:00 AM"
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 15, 2009 12:00:00 AM"
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 15, 2009 12:00:00 AM"
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 6, 2006 12:00:00 AM"
WA,AIRWAY HEIGHTS POLICE DEPT,4210-01-569-0535,TYCHEM F COVERALL  ,16,Each,$30.96,A,7,"Jan 8, 2015 12:00:00 AM"
WA,AIRWAY HEIGHTS POLICE DEPT,6530-DS-TRE-TCHE,MEDICAL LITTER AND STRETCHERS,1,Each,$200.00,A,,"Jan 8, 2015 12:00:00 AM"
WA,AIRWAY HEIGHTS POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",5,Each,$331.00,D,1,"Jan 8, 2015 12:00:00 AM"
WA,AIRWAY HEIGHTS POLICE DEPT,5830-01-594-9992,PUBLIC ADDRESS SET,5,Each,$69.21,A,1,"Jan 8, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,6515-DS-MED-SUPB,MEDICAL SUPPLIES,2,Box,$5.00,A,,"Feb 25, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,5830-01-594-9992,PUBLIC ADDRESS SET,2,Set,$69.21,A,,"Jan 6, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8415-01-461-8337,"SHIRT,COLD WEATHER",28,Each,$60.25,A,1,"Feb 25, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8415-01-228-1356,"SHIRT,COLD WEATHER",1,Each,$27.06,A,1,"Feb 25, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,5180-01-548-7634,"TOOL KIT,GENERAL MECHANICS",1,Set,"$1,791.00",A,1,"Feb 11, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,5120-DS-WRE-NCH0,WRENCH,35,Each,$46.51,A,,"Mar 16, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,4940-01-554-0475,"TOOL AND EQUIPMENT KIT,RADIO SET",2,Each,"$1,421.90",A,1,"Feb 25, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,5140-DS-CAB-INE0,"CABINET, TOOL",1,Each,"$1,000.00",A,,"Feb 11, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,6545-01-537-0686,"BAG,TC3,COMBAT CASUALTY CARE",12,Each,$49.67,A,1,"Mar 20, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8105-01-385-5375,"BAG,PLASTIC",150,Each,$0.50,A,,"Mar 14, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8415-01-461-8336,"SHIRT,COLD WEATHER",14,Each,$60.25,A,1,"Feb 25, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8415-01-530-2148,"ELBOW,PAD          ",3,Pair,$11.75,A,1,"Feb 25, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8415-01-461-8341,"SHIRT,COLD WEATHER",1,Each,$60.25,A,1,"Feb 25, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8415-01-461-8341,"SHIRT,COLD WEATHER",8,Each,$60.25,A,1,"Mar 16, 2015 12:00:00 AM"
WA,ANACORTES POLICE DEPT,8145-01-510-2074,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",4,Each,$107.84,A,1,"Mar 16, 2015 12:00:00 AM"
