table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alaska: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"698,473","688,125","682,297","677,325","669,488","661,569","650,884","642,691","633,316","627,499","626,931","626,932"
.One Race,"665,966","656,531","650,949","646,115","638,699","631,061","620,700","612,726","603,471","597,542","597,202","597,203"
..White,"490,858","484,921","481,437","478,763","473,308","468,289","460,798","455,862","449,935","446,392","446,433","446,434"
..Black,"29,396","29,277","28,257","27,447","27,018","26,510","25,566","25,075","23,900","22,936","22,908","22,908"
..AIAN,"106,398","105,047","104,841","104,304","103,308","102,250","101,242","100,157","99,262","98,848","98,741","98,741"
..Asian,"34,590","32,738","31,961","31,274","30,805","29,914","29,084","27,862","26,791","25,921","25,695","25,695"
..NHPI,"4,724","4,548","4,453","4,327","4,260","4,098","4,010","3,770","3,583","3,445","3,425","3,425"
.Two or More Races,"32,507","31,594","31,348","31,210","30,789","30,508","30,184","29,965","29,845","29,957","29,729","29,729"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"519,664","512,945","509,270","506,465","500,666","495,393","487,604","482,493","476,460","473,050","472,902","472,903"
..Black,"35,809","35,361","34,183","33,245","32,664","31,980","30,933","30,325","29,081","28,083","27,935","27,935"
..AIAN,"126,999","125,351","125,174","124,764","123,694","122,689","121,650","120,612","119,876","119,743","119,499","119,499"
..Asian,"43,743","41,453","40,534","39,666","38,947","37,844","36,804","35,380","34,133","33,118","32,839","32,839"
..NHPI,"7,411","7,109","6,951","6,821","6,654","6,472","6,308","6,030","5,756","5,581","5,547","5,547"
.NOT HISPANIC,"653,993","645,179","640,989","637,486","631,463","625,875","617,475","611,547","604,810","601,442","601,079","601,080"
..One Race,"623,439","615,543","611,583","608,190","602,541","597,159","589,036","583,266","576,605","573,097","572,950","572,951"
...White,"455,117","450,811","448,909","447,445","443,510","440,321","434,658","431,492","427,684","426,156","426,369","426,370"
...Black,"27,077","27,031","26,116","25,365","24,989","24,564","23,704","23,260","22,179","21,311","21,294","21,294"
...AIAN,"103,010","101,511","101,241","100,856","100,039","99,264","98,535","97,760","97,171","96,990","96,889","96,889"
...Asian,"33,792","31,927","31,154","30,490","30,034","29,192","28,391","27,219","26,196","25,378","25,156","25,156"
...NHPI,"4,443","4,263","4,163","4,034","3,969","3,818","3,748","3,535","3,375","3,262","3,242","3,242"
..Two or More Races,"30,554","29,636","29,406","29,296","28,922","28,716","28,439","28,281","28,205","28,345","28,129","28,129"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"482,235","477,140","475,048","473,489","469,249","465,869","459,956","456,668","452,793","451,424","451,457","451,458"
...Black,"32,877","32,489","31,443","30,559","30,044","29,494","28,536","27,997","26,859","25,968","25,837","25,837"
...AIAN,"122,575","120,755","120,507","120,250","119,396","118,683","117,956","117,255","116,834","116,926","116,696","116,696"
...Asian,"42,320","40,049","39,136","38,310","37,617","36,602","35,594","34,250","33,074","32,132","31,860","31,860"
...NHPI,"6,851","6,566","6,418","6,286","6,148","5,966","5,831","5,589","5,372","5,225","5,188","5,188"
.HISPANIC,"44,480","42,946","41,308","39,839","38,025","35,694","33,409","31,144","28,506","26,057","25,852","25,852"
..One Race,"42,527","40,988","39,366","37,925","36,158","33,902","31,664","29,460","26,866","24,445","24,252","24,252"
...White,"35,741","34,110","32,528","31,318","29,798","27,968","26,140","24,370","22,251","20,236","20,064","20,064"
...Black,"2,319","2,246","2,141","2,082","2,029","1,946","1,862","1,815","1,721","1,625","1,614","1,614"
...AIAN,"3,388","3,536","3,600","3,448","3,269","2,986","2,707","2,397","2,091","1,858","1,852","1,852"
...Asian,798,811,807,784,771,722,693,643,595,543,539,539
...NHPI,281,285,290,293,291,280,262,235,208,183,183,183
..Two or More Races,"1,953","1,958","1,942","1,914","1,867","1,792","1,745","1,684","1,640","1,612","1,600","1,600"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"37,429","35,805","34,222","32,976","31,417","29,524","27,648","25,825","23,667","21,626","21,445","21,445"
...Black,"2,932","2,872","2,740","2,686","2,620","2,486","2,397","2,328","2,222","2,115","2,098","2,098"
...AIAN,"4,424","4,596","4,667","4,514","4,298","4,006","3,694","3,357","3,042","2,817","2,803","2,803"
...Asian,"1,423","1,404","1,398","1,356","1,330","1,242","1,210","1,130","1,059",986,979,979
...NHPI,560,543,533,535,506,506,477,441,384,356,359,359
MALE,"362,225","359,651","355,235","352,015","347,930","342,986","336,474","332,792","327,885","324,495","324,111","324,112"
.One Race,"345,766","343,617","339,339","336,231","332,355","327,594","321,218","317,657","312,783","309,400","309,133","309,134"
..White,"258,085","257,097","254,166","252,301","249,339","246,052","241,348","239,152","235,940","233,812","233,717","233,718"
..Black,"15,521","15,912","15,134","14,551","14,397","13,998","13,360","13,238","12,668","12,060","12,052","12,052"
..AIAN,"53,388","52,806","52,684","52,411","51,934","51,322","50,812","50,304","49,819","49,630","49,582","49,582"
..Asian,"16,413","15,493","15,106","14,768","14,535","14,137","13,678","13,043","12,538","12,142","12,038","12,038"
..NHPI,"2,359","2,309","2,249","2,200","2,150","2,085","2,020","1,920","1,818","1,756","1,744","1,744"
.Two or More Races,"16,459","16,034","15,896","15,784","15,575","15,392","15,256","15,135","15,102","15,095","14,978","14,978"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"272,669","271,316","268,277","266,309","263,178","259,722","254,892","252,601","249,359","247,244","247,057","247,058"
..Black,"18,733","18,957","18,096","17,445","17,204","16,702","16,006","15,829","15,230","14,591","14,521","14,521"
..AIAN,"63,824","63,136","63,015","62,768","62,269","61,658","61,145","60,669","60,278","60,192","60,072","60,072"
..Asian,"21,014","19,888","19,443","18,992","18,623","18,118","17,561","16,816","16,229","15,737","15,616","15,616"
..NHPI,"3,770","3,654","3,561","3,514","3,412","3,325","3,240","3,107","2,956","2,883","2,854","2,854"
.NOT HISPANIC,"338,838","336,793","333,381","330,962","327,913","324,311","319,056","316,562","313,085","311,111","310,843","310,844"
..One Race,"323,365","321,756","318,469","316,140","313,274","309,807","304,665","302,254","298,786","296,796","296,639","296,640"
...White,"239,121","238,758","236,774","235,564","233,465","231,217","227,530","226,283","224,239","223,279","223,283","223,284"
...Black,"14,377","14,785","14,077","13,524","13,397","13,045","12,462","12,361","11,834","11,272","11,268","11,268"
...AIAN,"51,660","51,000","50,844","50,651","50,282","49,839","49,464","49,103","48,770","48,707","48,663","48,663"
...Asian,"15,989","15,050","14,674","14,354","14,130","13,761","13,320","12,705","12,228","11,869","11,768","11,768"
...NHPI,"2,218","2,163","2,100","2,047","2,000","1,945","1,889","1,802","1,715","1,669","1,657","1,657"
..Two or More Races,"15,473","15,037","14,912","14,822","14,639","14,504","14,391","14,308","14,299","14,315","14,204","14,204"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"252,853","252,112","250,022","248,732","246,490","244,116","240,328","239,010","236,967","236,034","235,949","235,950"
...Black,"17,289","17,527","16,745","16,124","15,921","15,490","14,853","14,710","14,152","13,578","13,515","13,515"
...AIAN,"61,589","60,789","60,642","60,485","60,108","59,678","59,313","59,003","58,776","58,808","58,697","58,697"
...Asian,"20,247","19,118","18,684","18,267","17,913","17,464","16,922","16,218","15,673","15,229","15,113","15,113"
...NHPI,"3,505","3,395","3,307","3,253","3,166","3,091","3,008","2,902","2,776","2,722","2,691","2,691"
.HISPANIC,"23,387","22,858","21,854","21,053","20,017","18,675","17,418","16,230","14,800","13,384","13,268","13,268"
..One Race,"22,401","21,861","20,870","20,091","19,081","17,787","16,553","15,403","13,997","12,604","12,494","12,494"
...White,"18,964","18,339","17,392","16,737","15,874","14,835","13,818","12,869","11,701","10,533","10,434","10,434"
...Black,"1,144","1,127","1,057","1,027","1,000",953,898,877,834,788,784,784
...AIAN,"1,728","1,806","1,840","1,760","1,652","1,483","1,348","1,201","1,049",923,919,919
...Asian,424,443,432,414,405,376,358,338,310,273,270,270
...NHPI,141,146,149,153,150,140,131,118,103,87,87,87
..Two or More Races,986,997,984,962,936,888,865,827,803,780,774,774
..Race alone or in combination:1,,,,,,,,,,,,
...White,"19,816","19,204","18,255","17,577","16,688","15,606","14,564","13,591","12,392","11,210","11,108","11,108"
...Black,"1,444","1,430","1,351","1,321","1,283","1,212","1,153","1,119","1,078","1,013","1,006","1,006"
...AIAN,"2,235","2,347","2,373","2,283","2,161","1,980","1,832","1,666","1,502","1,384","1,375","1,375"
...Asian,767,770,759,725,710,654,639,598,556,508,503,503
...NHPI,265,259,254,261,246,234,232,205,180,161,163,163
FEMALE,"336,248","328,474","327,062","325,310","321,558","318,583","314,410","309,899","305,431","303,004","302,820","302,820"
.One Race,"320,200","312,914","311,610","309,884","306,344","303,467","299,482","295,069","290,688","288,142","288,069","288,069"
..White,"232,773","227,824","227,271","226,462","223,969","222,237","219,450","216,710","213,995","212,580","212,716","212,716"
..Black,"13,875","13,365","13,123","12,896","12,621","12,512","12,206","11,837","11,232","10,876","10,856","10,856"
..AIAN,"53,010","52,241","52,157","51,893","51,374","50,928","50,430","49,853","49,443","49,218","49,159","49,159"
..Asian,"18,177","17,245","16,855","16,506","16,270","15,777","15,406","14,819","14,253","13,779","13,657","13,657"
..NHPI,"2,365","2,239","2,204","2,127","2,110","2,013","1,990","1,850","1,765","1,689","1,681","1,681"
.Two or More Races,"16,048","15,560","15,452","15,426","15,214","15,116","14,928","14,830","14,743","14,862","14,751","14,751"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"246,995","241,629","240,993","240,156","237,488","235,671","232,712","229,892","227,101","225,806","225,845","225,845"
..Black,"17,076","16,404","16,087","15,800","15,460","15,278","14,927","14,496","13,851","13,492","13,414","13,414"
..AIAN,"63,175","62,215","62,159","61,996","61,425","61,031","60,505","59,943","59,598","59,551","59,427","59,427"
