table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arizona: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"6,595,778","6,499,377","6,362,241","6,192,100","5,974,834","5,759,425","5,591,206","5,452,108","5,304,417","5,166,697","5,130,607","5,130,632"
.One Race,"6,475,217","6,383,477","6,251,820","6,087,692","5,877,449","5,668,498","5,505,833","5,371,477","5,228,427","5,095,315","5,060,224","5,060,247"
..White,"5,677,252","5,607,756","5,504,935","5,374,489","5,204,841","5,031,111","4,895,047","4,782,744","4,662,347","4,549,177","4,518,496","4,518,518"
..Black,"290,422","277,322","262,042","245,874","227,198","211,418","198,872","189,425","179,470","170,065","168,954","168,954"
..AIAN,"320,587","318,020","312,973","305,939","297,677","289,721","283,596","277,734","272,211","268,375","266,545","266,547"
..Asian,"173,314","167,191","159,164","149,326","136,384","125,669","118,259","112,006","105,265","99,014","97,676","97,675"
..NHPI,"13,642","13,188","12,706","12,064","11,349","10,579","10,059","9,568","9,134","8,684","8,553","8,553"
.Two or More Races,"120,561","115,900","110,421","104,408","97,385","90,927","85,373","80,631","75,990","71,382","70,383","70,385"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,785,281","5,711,520","5,603,721","5,467,785","5,291,750","5,112,189","4,971,112","4,854,485","4,729,928","4,612,564","4,581,023","4,581,047"
..Black,"333,497","318,213","300,594","281,972","260,493","242,183","227,441","216,107","204,347","193,207","191,675","191,675"
..AIAN,"366,954","363,327","356,802","347,988","337,597","327,604","319,798","312,488","305,570","300,342","298,132","298,136"
..Asian,"215,713","207,800","197,650","185,493","169,878","156,696","147,145","139,126","130,542","122,495","120,862","120,861"
..NHPI,"24,580","23,708","22,698","21,460","20,070","18,664","17,590","16,645","15,703","14,770","14,555","14,555"
.NOT HISPANIC,"4,564,128","4,526,161","4,464,686","4,387,197","4,272,771","4,153,181","4,061,735","3,992,804","3,919,717","3,853,813","3,834,992","3,835,015"
..One Race,"4,469,864","4,435,283","4,377,748","4,304,542","4,195,278","4,080,446","3,993,110","3,927,645","3,857,943","3,795,421","3,777,376","3,777,397"
...White,"3,780,491","3,763,713","3,729,574","3,683,442","3,607,599","3,521,146","3,454,429","3,405,787","3,353,735","3,306,407","3,292,027","3,292,047"
...Black,"245,559","235,396","223,357","210,621","195,762","183,506","173,931","167,144","159,866","153,028","152,121","152,121"
...AIAN,"272,690","270,994","267,402","262,690","256,901","251,368","247,457","243,550","239,752","237,487","236,059","236,061"
...Asian,"162,102","156,459","148,990","139,773","127,473","117,397","110,555","104,726","98,387","92,541","91,298","91,297"
...NHPI,"9,022","8,721","8,425","8,016","7,543","7,029","6,738","6,438","6,203","5,958","5,871","5,871"
..Two or More Races,"94,264","90,878","86,938","82,655","77,493","72,735","68,625","65,159","61,774","58,392","57,616","57,618"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"3,865,194","3,845,263","3,807,494","3,757,412","3,676,852","3,586,040","3,515,574","3,463,743","3,408,654","3,358,221","3,343,182","3,343,204"
...Black,"280,218","268,332","254,482","239,835","222,794","208,568","197,281","189,025","180,331","172,145","170,895","170,895"
...AIAN,"306,016","303,785","299,371","293,680","286,598","279,820","274,860","270,114","265,500","262,390","260,714","260,718"
...Asian,"196,554","189,577","180,536","169,589","155,227","143,254","134,757","127,563","119,773","112,529","111,031","111,030"
...NHPI,"17,308","16,745","16,110","15,318","14,390","13,456","12,781","12,174","11,592","11,009","10,852","10,852"
.HISPANIC,"2,031,650","1,973,216","1,897,555","1,804,903","1,702,063","1,606,244","1,529,471","1,459,304","1,384,700","1,312,884","1,295,615","1,295,617"
..One Race,"2,005,353","1,948,194","1,874,072","1,783,150","1,682,171","1,588,052","1,512,723","1,443,832","1,370,484","1,299,894","1,282,848","1,282,850"
...White,"1,896,761","1,844,043","1,775,361","1,691,047","1,597,242","1,509,965","1,440,618","1,376,957","1,308,612","1,242,770","1,226,469","1,226,471"
...Black,"44,863","41,926","38,685","35,253","31,436","27,912","24,941","22,281","19,604","17,037","16,833","16,833"
...AIAN,"47,897","47,026","45,571","43,249","40,776","38,353","36,139","34,184","32,459","30,888","30,486","30,486"
...Asian,"11,212","10,732","10,174","9,553","8,911","8,272","7,704","7,280","6,878","6,473","6,378","6,378"
...NHPI,"4,620","4,467","4,281","4,048","3,806","3,550","3,321","3,130","2,931","2,726","2,682","2,682"
..Two or More Races,"26,297","25,022","23,483","21,753","19,892","18,192","16,748","15,472","14,216","12,990","12,767","12,767"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,920,087","1,866,257","1,796,227","1,710,373","1,614,898","1,526,149","1,455,538","1,390,742","1,321,274","1,254,343","1,237,841","1,237,843"
...Black,"53,279","49,881","46,112","42,137","37,699","33,615","30,160","27,082","24,016","21,062","20,780","20,780"
...AIAN,"60,938","59,542","57,431","54,308","50,999","47,784","44,938","42,374","40,070","37,952","37,418","37,418"
...Asian,"19,159","18,223","17,114","15,904","14,651","13,442","12,388","11,563","10,769","9,966","9,831","9,831"
...NHPI,"7,272","6,963","6,588","6,142","5,680","5,208","4,809","4,471","4,111","3,761","3,703","3,703"
MALE,"3,306,841","3,258,479","3,188,460","3,100,890","2,988,964","2,879,997","2,793,889","2,724,779","2,649,784","2,579,659","2,561,044","2,561,057"
.One Race,"3,247,077","3,200,988","3,133,568","3,049,016","2,940,519","2,834,737","2,751,462","2,684,662","2,612,024","2,544,130","2,526,038","2,526,050"
..White,"2,852,603","2,817,299","2,764,043","2,696,210","2,607,816","2,519,153","2,449,064","2,392,619","2,330,858","2,272,622","2,256,695","2,256,705"
..Black,"149,035","142,601","134,964","126,875","117,374","109,511","103,162","98,772","93,735","89,107","88,505","88,505"
..AIAN,"156,414","155,249","152,892","149,390","145,439","141,606","138,519","135,757","133,238","131,338","130,453","130,455"
..Asian,"81,882","78,948","74,984","70,179","63,922","58,902","55,446","52,476","49,407","46,520","45,902","45,902"
..NHPI,"7,143","6,891","6,685","6,362","5,968","5,565","5,271","5,038","4,786","4,543","4,483","4,483"
.Two or More Races,"59,764","57,491","54,892","51,874","48,445","45,260","42,427","40,117","37,760","35,529","35,006","35,007"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,906,215","2,868,820","2,813,217","2,742,629","2,651,090","2,559,561","2,486,926","2,428,361","2,364,476","2,304,205","2,287,815","2,287,826"
..Black,"170,538","163,028","154,229","144,896","133,986","124,855","117,381","112,042","106,086","100,598","99,776","99,776"
..AIAN,"179,302","177,640","174,615","170,225","165,254","160,402","156,478","153,028","149,803","147,241","146,149","146,152"
..Asian,"102,813","99,005","94,027","88,076","80,542","74,327","69,776","65,962","61,956","58,220","57,453","57,453"
..NHPI,"12,520","12,070","11,618","10,988","10,281","9,556","8,984","8,547","8,033","7,560","7,464","7,464"
.NOT HISPANIC,"2,249,743","2,231,680","2,201,614","2,162,743","2,104,886","2,046,253","2,000,674","1,968,287","1,932,753","1,900,802","1,891,278","1,891,290"
..One Race,"2,203,117","2,186,686","2,158,443","2,121,728","2,066,383","2,010,087","1,966,620","1,935,909","1,902,104","1,871,781","1,862,662","1,862,673"
...White,"1,863,175","1,855,356","1,838,564","1,815,308","1,776,474","1,733,927","1,700,620","1,677,694","1,652,287","1,629,263","1,621,923","1,621,932"
...Black,"126,866","121,872","115,841","109,443","101,829","95,709","90,815","87,733","84,013","80,680","80,184","80,184"
...AIAN,"132,097","131,338","129,698","127,313","124,604","121,941","120,001","118,186","116,501","115,359","114,687","114,689"
...Asian,"76,277","73,584","69,907","65,420","59,491","54,785","51,623","48,867","46,013","43,329","42,755","42,755"
...NHPI,"4,702","4,536","4,433","4,244","3,985","3,725","3,561","3,429","3,290","3,150","3,113","3,113"
..Two or More Races,"46,626","44,994","43,171","41,015","38,503","36,166","34,054","32,378","30,649","29,021","28,616","28,617"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,905,114","1,895,763","1,877,293","1,852,052","1,810,903","1,766,219","1,730,998","1,706,514","1,679,553","1,655,031","1,647,334","1,647,344"
...Black,"144,246","138,386","131,471","124,103","115,384","108,275","102,490","98,666","94,211","90,207","89,537","89,537"
...AIAN,"148,362","147,376","145,397","142,525","139,217","135,937","133,474","131,286","129,183","127,661","126,859","126,862"
...Asian,"93,307","89,979","85,572","80,223","73,310","67,682","63,664","60,254","56,668","53,315","52,607","52,607"
...NHPI,"8,743","8,467","8,215","7,822","7,360","6,890","6,541","6,268","5,949","5,646","5,579","5,579"
.HISPANIC,"1,057,098","1,026,799","986,846","938,147","884,078","833,744","793,215","756,492","717,031","678,857","669,766","669,767"
..One Race,"1,043,960","1,014,302","975,125","927,288","874,136","824,650","784,842","748,753","709,920","672,349","663,376","663,377"
...White,"989,428","961,943","925,479","880,902","831,342","785,226","748,444","714,925","678,571","643,359","634,772","634,773"
...Black,"22,169","20,729","19,123","17,432","15,545","13,802","12,347","11,039","9,722","8,427","8,321","8,321"
...AIAN,"24,317","23,911","23,194","22,077","20,835","19,665","18,518","17,571","16,737","15,979","15,766","15,766"
...Asian,"5,605","5,364","5,077","4,759","4,431","4,117","3,823","3,609","3,394","3,191","3,147","3,147"
...NHPI,"2,441","2,355","2,252","2,118","1,983","1,840","1,710","1,609","1,496","1,393","1,370","1,370"
..Two or More Races,"13,138","12,497","11,721","10,859","9,942","9,094","8,373","7,739","7,111","6,508","6,390","6,390"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,001,101","973,057","935,924","890,577","840,187","793,342","755,928","721,847","684,923","649,174","640,481","640,482"
...Black,"26,292","24,642","22,758","20,793","18,602","16,580","14,891","13,376","11,875","10,391","10,239","10,239"
...AIAN,"30,940","30,264","29,218","27,700","26,037","24,465","23,004","21,742","20,620","19,580","19,290","19,290"
...Asian,"9,506","9,026","8,455","7,853","7,232","6,645","6,112","5,708","5,288","4,905","4,846","4,846"
...NHPI,"3,777","3,603","3,403","3,166","2,921","2,666","2,443","2,279","2,084","1,914","1,885","1,885"
FEMALE,"3,288,937","3,240,898","3,173,781","3,091,210","2,985,870","2,879,428","2,797,317","2,727,329","2,654,633","2,587,038","2,569,563","2,569,575"
.One Race,"3,228,140","3,182,489","3,118,252","3,038,676","2,936,930","2,833,761","2,754,371","2,686,815","2,616,403","2,551,185","2,534,186","2,534,197"
..White,"2,824,649","2,790,457","2,740,892","2,678,279","2,597,025","2,511,958","2,445,983","2,390,125","2,331,489","2,276,555","2,261,801","2,261,813"
..Black,"141,387","134,721","127,078","118,999","109,824","101,907","95,710","90,653","85,735","80,958","80,449","80,449"
..AIAN,"164,173","162,771","160,081","156,549","152,238","148,115","145,077","141,977","138,973","137,037","136,092","136,092"
..Asian,"91,432","88,243","84,180","79,147","72,462","66,767","62,813","59,530","55,858","52,494","51,774","51,773"
..NHPI,"6,499","6,297","6,021","5,702","5,381","5,014","4,788","4,530","4,348","4,141","4,070","4,070"
.Two or More Races,"60,797","58,409","55,529","52,534","48,940","45,667","42,946","40,514","38,230","35,853","35,377","35,378"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,879,066","2,842,700","2,790,504","2,725,156","2,640,660","2,552,628","2,484,186","2,426,124","2,365,452","2,308,359","2,293,208","2,293,221"
..Black,"162,959","155,185","146,365","137,076","126,507","117,328","110,060","104,065","98,261","92,609","91,899","91,899"
..AIAN,"187,652","185,687","182,187","177,763","172,343","167,202","163,320","159,460","155,767","153,101","151,983","151,984"
..Asian,"112,900","108,795","103,623","97,417","89,336","82,369","77,369","73,164","68,586","64,275","63,409","63,408"
..NHPI,"12,060","11,638","11,080","10,472","9,789","9,108","8,606","8,098","7,670","7,210","7,091","7,091"
.NOT HISPANIC,"2,314,385","2,294,481","2,263,072","2,224,454","2,167,885","2,106,928","2,061,061","2,024,517","1,986,964","1,953,011","1,943,714","1,943,725"
..One Race,"2,266,747","2,248,597","2,219,305","2,182,814","2,128,895","2,070,359","2,026,490","1,991,736","1,955,839","1,923,640","1,914,714","1,914,724"
...White,"1,917,316","1,908,357","1,891,010","1,868,134","1,831,125","1,787,219","1,753,809","1,728,093","1,701,448","1,677,144","1,670,104","1,670,115"
...Black,"118,693","113,524","107,516","101,178","93,933","87,797","83,116","79,411","75,853","72,348","71,937","71,937"
...AIAN,"140,593","139,656","137,704","135,377","132,297","129,427","127,456","125,364","123,251","122,128","121,372","121,372"
...Asian,"85,825","82,875","79,083","74,353","67,982","62,612","58,932","55,859","52,374","49,212","48,543","48,542"
...NHPI,"4,320","4,185","3,992","3,772","3,558","3,304","3,177","3,009","2,913","2,808","2,758","2,758"
..Two or More Races,"47,638","45,884","43,767","41,640","38,990","36,569","34,571","32,781","31,125","29,371","29,000","29,001"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,960,080","1,949,500","1,930,201","1,905,360","1,865,949","1,819,821","1,784,576","1,757,229","1,729,101","1,703,190","1,695,848","1,695,860"
