table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"2,889,450","2,867,764","2,842,194","2,815,097","2,776,221","2,746,161","2,722,291","2,704,732","2,691,068","2,678,288","2,673,386","2,673,400"
.One Race,"2,846,182","2,826,271","2,802,409","2,777,143","2,740,098","2,711,811","2,689,478","2,673,271","2,660,833","2,649,288","2,644,677","2,644,691"
..White,"2,328,347","2,315,084","2,298,911","2,279,051","2,252,011","2,230,091","2,213,793","2,202,133","2,193,717","2,186,295","2,183,181","2,183,194"
..Black,"455,447","451,513","446,034","443,084","435,730","432,344","428,793","426,415","424,208","421,716","420,517","420,517"
..AIAN,"25,195","24,334","23,457","22,628","21,881","20,902","20,236","19,589","18,981","18,297","18,216","18,216"
..Asian,"33,713","32,100","30,952","29,500","27,787","25,971","24,260","22,896","21,844","21,043","20,833","20,834"
..NHPI,"3,480","3,240","3,055","2,880","2,689","2,503","2,396","2,238","2,083","1,937","1,930","1,930"
.Two or More Races,"43,268","41,493","39,785","37,954","36,123","34,350","32,813","31,461","30,235","29,000","28,709","28,709"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,368,257","2,353,350","2,335,584","2,314,024","2,285,295","2,261,702","2,243,976","2,231,085","2,221,518","2,212,933","2,209,592","2,209,605"
..Black,"470,210","465,404","459,070","455,206","446,953","442,748","438,404","435,405","432,609","429,497","428,164","428,164"
..AIAN,"49,201","47,749","46,326","44,866","43,446","41,818","40,613","39,475","38,452","37,356","37,190","37,190"
..Asian,"42,105","40,014","38,426","36,518","34,326","32,123","30,036","28,317","26,937","25,834","25,550","25,551"
..NHPI,"5,609","5,250","4,966","4,706","4,404","4,124","3,949","3,703","3,482","3,272","3,223","3,223"
.NOT HISPANIC,"2,716,459","2,703,315","2,686,924","2,670,129","2,642,966","2,624,196","2,609,100","2,600,755","2,595,502","2,590,605","2,586,520","2,586,534"
..One Race,"2,676,304","2,664,684","2,649,786","2,634,624","2,609,039","2,591,794","2,578,038","2,570,854","2,566,674","2,562,858","2,559,060","2,559,074"
...White,"2,169,749","2,164,044","2,156,141","2,145,691","2,129,317","2,117,692","2,109,410","2,106,162","2,105,521","2,105,377","2,103,052","2,103,065"
...Black,"448,421","444,996","439,978","437,494","430,661","427,745","424,555","422,552","420,641","418,431","417,253","417,253"
...AIAN,"22,439","21,706","20,972","20,290","19,719","18,921","18,404","17,937","17,469","16,924","16,846","16,846"
...Asian,"32,824","31,257","30,153","28,745","27,084","25,323","23,639","22,306","21,281","20,502","20,292","20,293"
...NHPI,"2,871","2,681","2,542","2,404","2,258","2,113","2,030","1,897","1,762","1,624","1,617","1,617"
..Two or More Races,"40,155","38,631","37,138","35,505","33,927","32,402","31,062","29,901","28,828","27,747","27,460","27,460"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,206,901","2,199,782","2,190,480","2,178,500","2,160,647","2,147,596","2,138,055","2,133,725","2,132,084","2,130,922","2,128,372","2,128,385"
...Black,"462,204","457,971","452,165","448,843","441,196","437,520","433,619","431,045","428,601","425,811","424,507","424,507"
...AIAN,"44,521","43,352","42,184","40,994","39,912","38,607","37,687","36,834","36,030","35,173","35,006","35,006"
...Asian,"40,455","38,477","36,989","35,174","33,107","30,998","28,988","27,360","26,051","25,004","24,718","24,719"
...NHPI,"4,689","4,415","4,199","3,997","3,761","3,545","3,403","3,227","3,029","2,841","2,790","2,790"
.HISPANIC,"172,991","164,449","155,270","144,968","133,255","121,965","113,191","103,977","95,566","87,683","86,866","86,866"
..One Race,"169,878","161,587","152,623","142,519","131,059","120,017","111,440","102,417","94,159","86,430","85,617","85,617"
...White,"158,598","151,040","142,770","133,360","122,694","112,399","104,383","95,971","88,196","80,918","80,129","80,129"
...Black,"7,026","6,517","6,056","5,590","5,069","4,599","4,238","3,863","3,567","3,285","3,264","3,264"
...AIAN,"2,756","2,628","2,485","2,338","2,162","1,981","1,832","1,652","1,512","1,373","1,370","1,370"
...Asian,889,843,799,755,703,648,621,590,563,541,541,541
...NHPI,609,559,513,476,431,390,366,341,321,313,313,313
..Two or More Races,"3,113","2,862","2,647","2,449","2,196","1,948","1,751","1,560","1,407","1,253","1,249","1,249"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"161,356","153,568","145,104","135,524","124,648","114,106","105,921","97,360","89,434","82,011","81,220","81,220"
...Black,"8,006","7,433","6,905","6,363","5,757","5,228","4,785","4,360","4,008","3,686","3,657","3,657"
...AIAN,"4,680","4,397","4,142","3,872","3,534","3,211","2,926","2,641","2,422","2,183","2,184","2,184"
...Asian,"1,650","1,537","1,437","1,344","1,219","1,125","1,048",957,886,830,832,832
...NHPI,920,835,767,709,643,579,546,476,453,431,433,433
MALE,"1,415,500","1,404,435","1,391,997","1,378,254","1,358,959","1,343,693","1,331,209","1,321,502","1,314,142","1,307,340","1,304,686","1,304,693"
.One Race,"1,394,253","1,384,107","1,372,436","1,359,610","1,341,233","1,326,786","1,315,096","1,306,111","1,299,384","1,293,147","1,290,644","1,290,651"
