table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for California: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"36,961,664","36,580,371","36,226,122","35,979,208","35,795,255","35,558,419","35,251,107","34,876,194","34,485,623","33,994,571","33,871,648","33,871,648"
.One Race,"35,995,197","35,640,512","35,310,001","35,083,298","34,917,665","34,700,252","34,413,333","34,059,901","33,689,802","33,220,693","33,104,065","33,104,064"
..White,"28,244,628","28,007,086","27,790,259","27,653,510","27,575,083","27,450,665","27,261,496","27,016,585","26,764,800","26,441,476","26,365,291","26,365,290"
..Black,"2,453,695","2,435,409","2,424,163","2,423,452","2,424,045","2,423,653","2,416,665","2,409,522","2,400,137","2,385,280","2,381,137","2,381,138"
..AIAN,"447,424","438,044","430,200","426,610","424,478","421,428","418,001","413,992","410,228","405,498","403,171","403,170"
..Asian,"4,689,992","4,602,833","4,510,665","4,426,758","4,342,807","4,254,961","4,169,724","4,074,684","3,972,449","3,849,391","3,816,531","3,816,531"
..NHPI,"159,458","157,140","154,714","152,968","151,252","149,545","147,447","145,118","142,188","139,048","137,935","137,935"
.Two or More Races,"966,467","939,859","916,121","895,910","877,590","858,167","837,774","816,293","795,821","773,878","767,583","767,584"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"29,069,710","28,808,508","28,570,491","28,415,765","28,321,077","28,179,424","27,971,965","27,708,123","27,438,646","27,096,807","27,014,305","27,014,305"
..Black,"2,738,138","2,709,037","2,688,099","2,679,253","2,672,294","2,664,575","2,649,944","2,634,859","2,618,366","2,595,914","2,589,908","2,589,910"
..AIAN,"739,964","727,118","716,255","710,614","707,092","702,013","696,158","689,312","683,224","675,426","672,543","672,542"
..Asian,"5,186,201","5,084,326","4,978,624","4,883,045","4,787,957","4,688,467","4,591,293","4,483,616","4,368,748","4,231,670","4,196,392","4,196,392"
..NHPI,"283,973","278,264","272,810","268,252","263,815","259,161","254,288","248,775","242,191","234,764","233,277","233,277"
.NOT HISPANIC,"23,280,289","23,211,392","23,155,733","23,164,140","23,220,253","23,251,989","23,236,760","23,177,623","23,104,337","22,939,735","22,905,090","22,905,092"
..One Race,"22,510,882","22,460,633","22,421,623","22,444,251","22,513,143","22,558,474","22,557,795","22,514,029","22,455,391","22,306,912","22,276,949","22,276,950"
...White,"15,412,631","15,454,790","15,509,718","15,611,411","15,757,845","15,885,411","15,970,726","16,022,352","16,068,831","16,052,268","16,058,349","16,058,350"
...Black,"2,212,340","2,206,728","2,205,328","2,211,027","2,217,516","2,223,501","2,223,217","2,223,259","2,221,168","2,213,932","2,211,100","2,211,101"
...AIAN,"194,167","192,301","190,716","189,769","189,570","188,640","187,665","186,654","185,813","184,203","183,719","183,718"
...Asian,"4,567,257","4,483,665","4,394,271","4,311,860","4,229,360","4,143,372","4,060,219","3,967,494","3,867,542","3,746,867","3,714,975","3,714,975"
...NHPI,"124,487","123,149","121,590","120,184","118,852","117,550","115,968","114,270","112,037","109,642","108,806","108,806"
..Two or More Races,"769,407","750,759","734,110","719,889","707,110","693,515","678,965","663,594","648,946","632,823","628,141","628,142"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"16,064,955","16,090,318","16,130,286","16,219,181","16,354,108","16,469,447","16,541,614","16,579,564","16,613,408","16,583,159","16,584,547","16,584,549"
...Black,"2,441,250","2,427,177","2,418,377","2,417,851","2,418,594","2,418,966","2,412,778","2,406,761","2,399,236","2,385,986","2,381,860","2,381,862"
...AIAN,"399,037","396,505","394,281","393,224","393,402","392,368","390,909","389,239","388,115","385,519","384,963","384,962"
...Asian,"4,984,843","4,890,343","4,790,772","4,699,558","4,608,747","4,513,965","4,421,608","4,319,052","4,209,195","4,077,485","4,043,527","4,043,527"
...NHPI,"224,460","221,187","217,797","214,708","211,755","208,629","205,317","201,525","196,720","191,399","190,268","190,268"
.HISPANIC,"13,681,375","13,368,979","13,070,389","12,815,068","12,575,002","12,306,430","12,014,347","11,698,571","11,381,286","11,054,836","10,966,558","10,966,556"
..One Race,"13,484,315","13,179,879","12,888,378","12,639,047","12,404,522","12,141,778","11,855,538","11,545,872","11,234,411","10,913,781","10,827,116","10,827,114"
...White,"12,831,997","12,552,296","12,280,541","12,042,099","11,817,238","11,565,254","11,290,770","10,994,233","10,695,969","10,389,208","10,306,942","10,306,940"
...Black,"241,355","228,681","218,835","212,425","206,529","200,152","193,448","186,263","178,969","171,348","170,037","170,037"
...AIAN,"253,257","245,743","239,484","236,841","234,908","232,788","230,336","227,338","224,415","221,295","219,452","219,452"
...Asian,"122,735","119,168","116,394","114,898","113,447","111,589","109,505","107,190","104,907","102,524","101,556","101,556"
...NHPI,"34,971","33,991","33,124","32,784","32,400","31,995","31,479","30,848","30,151","29,406","29,129","29,129"
..Two or More Races,"197,060","189,100","182,011","176,021","170,480","164,652","158,809","152,699","146,875","141,055","139,442","139,442"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"13,004,755","12,718,190","12,440,205","12,196,584","11,966,969","11,709,977","11,430,351","11,128,559","10,825,238","10,513,648","10,429,758","10,429,756"
...Black,"296,888","281,860","269,722","261,402","253,700","245,609","237,166","228,098","219,130","209,928","208,048","208,048"
...AIAN,"340,927","330,613","321,974","317,390","313,690","309,645","305,249","300,073","295,109","289,907","287,580","287,580"
...Asian,"201,358","193,983","187,852","183,487","179,210","174,502","169,685","164,564","159,553","154,185","152,865","152,865"
