table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Colorado: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"5,024,748","4,935,213","4,842,259","4,753,044","4,660,780","4,599,681","4,548,775","4,504,265","4,433,068","4,328,070","4,302,015","4,301,261"
.One Race,"4,924,404","4,839,031","4,749,831","4,664,354","4,575,202","4,516,904","4,468,443","4,426,246","4,357,943","4,256,338","4,231,184","4,230,438"
..White,"4,495,567","4,424,308","4,347,978","4,273,194","4,196,731","4,145,832","4,106,973","4,071,054","4,013,435","3,926,052","3,903,895","3,903,166"
..Black,"221,919","214,699","208,080","202,926","196,117","193,475","188,293","186,330","181,342","174,560","173,421","173,417"
..AIAN,"62,231","60,465","58,721","57,194","55,809","54,654","53,787","53,027","51,806","50,034","49,582","49,570"
..Asian,"136,984","132,157","127,903","124,105","119,854","116,352","113,028","109,616","105,405","100,111","98,768","98,767"
..NHPI,"7,703","7,402","7,149","6,935","6,691","6,591","6,362","6,219","5,955","5,581","5,518","5,518"
.Two or More Races,"100,344","96,182","92,428","88,690","85,578","82,777","80,332","78,019","75,125","71,732","70,831","70,823"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"4,586,752","4,511,652","4,431,849","4,353,654","4,274,296","4,220,811","4,179,666","4,141,599","4,081,327","3,990,819","3,967,854","3,967,117"
..Black,"256,941","247,787","239,515","232,712","224,564","220,678","214,444","211,413","205,208","197,120","195,660","195,655"
..AIAN,"102,451","99,616","96,976","94,454","92,324","90,475","89,064","87,845","85,816","83,094","82,326","82,307"
..Asian,"171,982","165,599","159,852","154,572","149,054","144,424","140,077","135,698","130,339","123,641","121,953","121,952"
..NHPI,"15,474","14,877","14,284","13,768","13,231","12,910","12,457","12,095","11,560","10,860","10,698","10,698"
.NOT HISPANIC,"4,006,544","3,948,954","3,886,647","3,828,080","3,766,741","3,733,182","3,704,570","3,686,152","3,649,076","3,582,531","3,566,298","3,565,660"
..One Race,"3,924,357","3,870,054","3,810,767","3,755,227","3,696,358","3,665,003","3,638,294","3,621,605","3,586,745","3,522,897","3,507,371","3,506,738"
...White,"3,552,914","3,509,727","3,460,731","3,413,857","3,365,798","3,340,197","3,321,517","3,309,485","3,283,062","3,230,880","3,217,868","3,217,247"
...Black,"196,835","191,528","186,493","182,649","177,112","175,552","171,388","170,418","166,885","161,694","160,710","160,706"
...AIAN,"38,232","37,111","36,003","34,934","33,889","33,063","32,340","31,824","31,047","29,792","29,611","29,604"
...Asian,"131,173","126,668","122,673","119,063","115,003","111,674","108,638","105,488","101,514","96,519","95,218","95,217"
...NHPI,"5,203","5,020","4,867","4,724","4,556","4,517","4,411","4,390","4,237","4,012","3,964","3,964"
..Two or More Races,"82,187","78,900","75,880","72,853","70,383","68,179","66,276","64,547","62,331","59,634","58,927","58,922"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"3,627,638","3,581,390","3,529,586","3,479,926","3,429,574","3,401,902","3,381,438","3,367,785","3,339,310","3,284,654","3,271,000","3,270,374"
...Black,"226,724","219,752","213,300","208,036","201,340","198,730","193,658","191,812","187,259","180,962","179,700","179,696"
...AIAN,"67,597","65,878","64,208","62,535","61,077","59,872","58,889","58,175","56,977","55,142","54,760","54,748"
