table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Connecticut: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"3,518,288","3,502,932","3,488,633","3,485,162","3,477,416","3,474,610","3,467,673","3,448,382","3,428,433","3,411,726","3,405,607","3,405,565"
.One Race,"3,466,216","3,452,236","3,439,388","3,437,141","3,430,797","3,429,216","3,423,533","3,405,752","3,387,321","3,372,032","3,366,287","3,366,249"
..White,"2,956,387","2,951,264","2,947,116","2,951,680","2,953,280","2,958,812","2,959,578","2,951,888","2,943,813","2,937,017","2,933,048","2,933,013"
..Black,"366,375","361,835","357,577","354,772","351,473","349,253","347,443","343,290","338,984","335,265","334,378","334,376"
..AIAN,"13,586","13,309","13,042","12,787","12,399","12,143","11,892","11,508","11,166","10,805","10,760","10,759"
..Asian,"126,996","123,040","118,948","115,221","111,037","106,454","102,143","96,683","91,069","86,727","85,893","85,893"
..NHPI,"2,872","2,788","2,705","2,681","2,608","2,554","2,477","2,383","2,289","2,218","2,208","2,208"
.Two or More Races,"52,072","50,696","49,245","48,021","46,619","45,394","44,140","42,630","41,112","39,694","39,320","39,316"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,000,768","2,994,381","2,988,946","2,992,333","2,992,684","2,997,102","2,996,666","2,987,591","2,978,158","2,970,091","2,965,948","2,965,909"
..Black,"397,351","391,764","386,468","382,730","378,335","375,277","372,560","367,348","361,997","357,311","356,277","356,274"
..AIAN,"28,985","28,609","28,175","27,877","27,350","27,027","26,691","26,095","25,587","25,048","25,034","25,030"
..Asian,"141,180","136,864","132,372","128,318","123,783","118,797","114,115","108,239","102,181","97,421","96,268","96,268"
