table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for District of Columbia: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"599,657","590,074","586,409","583,978","582,049","579,796","577,777","579,585","578,042","571,744","572,055","572,059"
.One Race,"589,927","580,919","577,611","575,386","573,652","571,619","569,822","571,797","570,421","564,343","564,689","564,693"
..White,"243,617","233,621","227,714","222,148","216,992","211,529","206,995","205,719","203,439","196,958","197,163","197,168"
..Black,"323,931","325,972","329,278","333,187","337,175","340,947","343,982","347,316","348,488","349,150","349,390","349,390"
..AIAN,"2,352","2,255","2,190","2,164","2,138","2,086","2,063","2,065","2,014","1,963","1,961","1,961"
..Asian,"19,437","18,501","17,894","17,367","16,845","16,559","16,323","16,249","16,060","15,855","15,763","15,762"
..NHPI,590,570,535,520,502,498,459,448,420,417,412,412
.Two or More Races,"9,730","9,155","8,798","8,592","8,397","8,177","7,955","7,788","7,621","7,401","7,366","7,366"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"250,675","240,211","234,030","228,239","222,921","217,267","212,546","211,107","208,666","201,987","202,176","202,181"
..Black,"330,703","332,374","335,395","339,165","342,990","346,552","349,439","352,637","353,700","354,201","354,427","354,427"
..AIAN,"5,396","5,224","5,071","5,080","5,039","4,997","4,948","4,989","4,946","4,914","4,900","4,900"
..Asian,"22,747","21,570","20,844","20,222","19,653","19,299","18,988","18,831","18,550","18,246","18,141","18,140"
..NHPI,"1,122","1,086","1,021","1,013",981,958,908,890,854,843,810,810
.NOT HISPANIC,"546,632","539,594","537,656","535,665","533,555","531,537","530,068","532,401","531,119","526,516","527,102","527,106"
..One Race,"538,206","531,689","530,039","528,199","526,247","524,410","523,118","525,602","524,500","520,107","520,728","520,732"
...White,"201,158","193,735","189,236","183,630","178,058","172,468","167,951","167,092","165,418","160,827","161,255","161,260"
...Black,"316,105","317,997","321,489","325,803","329,978","334,035","337,510","340,909","341,742","342,177","342,464","342,464"
...AIAN,"1,578","1,530","1,501","1,474","1,441","1,399","1,382","1,393","1,347","1,319","1,317","1,317"
...Asian,"18,956","18,034","17,444","16,935","16,427","16,164","15,954","15,892","15,699","15,495","15,403","15,402"
...NHPI,409,393,369,357,343,344,321,316,294,289,289,289
