State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
Alabama,2000,"1,541,709","540,725","20,890","18,626","1,258","38,564","3,811","1,020",534,397,"1,620,147","625,014","21,902","20,503","1,351","28,093","4,086",816,492,237
Alaska,2000,"236,034","13,578","58,808","15,229","2,722","11,210","1,013","1,384",508,161,"215,390","12,390","58,118","16,903","2,503","10,416","1,102","1,433",478,195
Arizona,2000,"1,655,031","90,207","127,661","53,315","5,646","649,174","10,391","19,580","4,905","1,914","1,703,190","81,938","134,729","59,214","5,363","605,169","10,671","18,372","5,061","1,847"
Arkansas,2000,"1,041,160","200,576","17,208","11,866","1,419","46,374","1,896","1,146",441,250,"1,089,762","225,235","17,965","13,138","1,422","35,637","1,790","1,037",389,181
California,2000,"8,195,971","1,168,880","187,174","1,967,595","95,013","5,391,419","102,309","148,684","75,258","21,615","8,387,188","1,217,106","198,345","2,109,890","96,386","5,122,229","107,619","141,223","78,927","21,750"
Colorado,2000,"1,639,440","94,239","27,698","55,747","4,375","370,260","7,902","14,244","3,012","1,228","1,645,214","86,723","27,444","61,741","4,144","335,905","8,256","13,708","3,141","1,113"
Connecticut,2000,"1,297,705","152,364","9,953","46,981","1,623","142,822","17,627","2,599","1,097",719,"1,386,870","169,076","10,162","48,186","1,617","142,694","18,244","2,334","1,157",708
Delaware,2000,"280,560","73,519","2,518","9,221",286,"17,622","2,284",485,157,74,"297,297","81,481","2,735","9,714",292,"14,900","2,365",432,162,67
District of Columbia,2000,"81,857","156,960","1,732","7,838",307,"19,676","3,827",499,286,97,"83,139","189,557","2,208","9,862",354,"17,315","3,857",475,260,85
Florida,2000,"5,189,652","1,148,073","48,935","153,797","9,923","1,286,767","60,699","12,575","6,916","2,950","5,460,135","1,244,411","49,153","172,594","9,789","1,291,413","59,496","10,739","7,050","2,561"
Georgia,2000,"2,572,676","1,125,561","23,168","97,956","4,015","239,730","16,516","4,875","2,336","1,456","2,648,915","1,262,184","23,405","101,451","3,865","160,158","15,855","3,293","1,994",974
Hawaii,2000,"226,992","18,284","9,551","321,415","127,000","29,367","2,178","3,435","19,448","14,636","203,945","12,656","9,112","344,223","125,199","27,703","2,039","3,575","20,810","15,349"
Idaho,2000,"578,852","4,156","11,985","7,874","1,315","52,956",666,"1,826",524,217,"582,793","3,089","12,230","8,976","1,240","45,636",606,"1,808",451,197
Illinois,2000,"4,170,067","896,690","25,556","231,815","4,208","782,480","21,790","12,433","5,134","2,452","4,388,471","1,016,561","27,564","239,566","4,388","693,070","22,356","11,222","5,055","2,318"
Indiana,2000,"2,586,464","255,971","17,728","35,595","1,834","111,628","4,823","2,311",981,622,"2,698,737","278,562","17,784","36,733","1,792","91,967","4,649","2,055",926,417
Iowa,2000,"1,335,557","36,934","8,040","21,375","1,007","43,202","1,270","1,140",374,172,"1,399,926","34,323","8,291","21,645",987,"35,853","1,180","1,067",388,141
Kansas,2000,"1,114,834","83,879","21,124","27,389","1,389","96,607","3,087","2,767",765,335,"1,159,982","83,005","21,721","28,163","1,312","83,390","3,055","2,511",706,303
Kentucky,2000,"1,778,664","151,230","11,377","17,728","1,404","32,729","2,329",901,482,300,"1,871,296","159,606","11,829","18,984","1,376","22,249","1,889",666,448,186
Louisiana,2000,"1,383,099","687,776","19,968","31,973","1,354","48,188","6,025","1,450",734,312,"1,443,095","773,151","20,363","31,724","1,371","46,005","6,436","1,393",737,254
Maine,2000,"604,949","5,174","6,232","5,336",331,"4,243",388,179,124,47,"639,141","3,957","6,633","6,447",380,"4,211",326,199,109,54
Maryland,2000,"1,636,735","707,382","16,751","115,272","2,595","104,383","13,240","2,732","1,655",562,"1,718,673","807,487","18,264","123,698","2,763","95,170","13,976","2,572","1,704",510
Massachusetts,2000,"2,552,954","179,897","15,315","131,167","3,231","179,275","33,738","3,931","1,767","1,455","2,760,657","194,462","16,487","135,711","3,367","182,175","35,990","3,901","1,997","1,549"
Michigan,2000,"3,916,480","694,525","56,006","104,326","3,099","158,128","10,638","5,579","1,738",758,"4,048,543","771,463","58,663","103,880","3,100","140,878","10,998","5,370","1,646",647
Minnesota,2000,"2,171,614","102,573","37,449","80,239","2,965","73,115","3,673","2,978",964,400,"2,234,921","96,907","38,707","82,738","2,491","61,060","3,438","2,837",905,273
Mississippi,2000,"853,198","486,507","8,995","10,816",811,"19,191","3,383",539,401,196,"889,944","551,803","9,696","12,008",818,"13,010","3,430",458,401,141
Missouri,2000,"2,320,858","306,928","27,902","36,817","3,228","58,523","3,265","1,942",779,331,"2,438,565","346,868","28,654","39,263","3,158","51,947","3,367","1,992",762,327
Montana,2000,"409,589","2,434","31,828","3,035",498,"8,000",216,"1,224",150,48,"412,498","1,709","32,287","3,887",480,"7,871",210,"1,277",177,57
Nebraska,2000,"740,454","36,870","9,632","12,780",736,"49,393","1,196","1,481",371,243,"771,195","37,914","10,166","13,730",690,"41,134","1,024","1,413",379,185
Nevada,2000,"687,229","73,709","17,077","50,692","7,340","203,782","4,555","4,882","2,506","1,091","668,688","72,036","17,499","59,415","7,307","177,555","4,426","4,331","2,682","1,062"
New Hampshire,2000,"584,731","6,227","3,808","9,411",331,"9,596",873,268,141,60,"606,477","5,142","3,626","9,879",361,"9,187",787,257,132,50
New Jersey,2000,"2,735,539","543,167","16,968","259,814","3,620","511,026","54,220","8,833","4,426","2,102","2,925,736","611,681","17,962","264,679","3,617","497,054","54,937","7,925","4,475","1,964"
New Mexico,2000,"409,193","19,284","83,452","11,055","1,031","367,567","4,162","10,495","1,832",728,"426,672","16,859","89,497","12,919","1,013","374,486","4,759","10,457","1,922",734
New York,2000,"5,807,783","1,374,191","57,835","584,257","9,681","1,165,666","238,853","30,351","12,624","6,279","6,195,135","1,615,078","63,652","589,935","10,570","1,187,666","267,710","29,810","13,741","6,569"
North Carolina,2000,"2,805,123","830,696","60,982","65,709","3,610","209,975","14,764","4,970","2,040","1,176","2,925,582","937,307","64,508","69,237","3,410","138,393","12,381","3,353","1,722",862
North Dakota,2000,"296,361","3,035","16,914","2,357",238,"3,629",177,400,66,18,"298,040","2,123","17,552","2,531",226,"3,235",155,401,83,13
Ohio,2000,"4,703,719","646,202","34,198","77,859","3,088","101,317","10,474","3,098","1,286",632,"4,965,756","717,924","36,417","81,643","3,076","93,287","11,402","2,971","1,379",537
Oklahoma,2000,"1,312,047","138,406","186,499","28,126","2,481","89,494","3,272","6,471",895,470,"1,374,694","142,429","194,853","29,962","2,182","75,261","3,336","6,318",903,383
Oregon,2000,"1,443,682","36,240","37,425","60,042","7,525","145,710","3,156","5,907","1,671",851,"1,497,782","32,640","39,008","66,186","7,261","117,830","2,648","5,059","1,647",781
Pennsylvania,2000,"5,032,031","595,186","22,105","122,592","3,711","175,271","26,651","3,592","1,971","1,092","5,386,923","667,606","23,846","126,055","3,673","164,519","28,071","3,781","1,956","1,051"
Rhode Island,2000,"420,557","26,184","4,398","13,744",615,"37,370","7,280",927,363,371,"459,277","26,736","4,877","14,473",662,"38,216","7,693",958,487,384
South Carolina,2000,"1,316,781","560,877","12,646","21,013","1,601","50,427","5,374","1,262",713,437,"1,370,435","637,222","12,990","23,307","1,494","32,565","5,258",862,619,357
South Dakota,2000,"333,370","4,023","32,937","2,842",275,"4,976",163,887,68,33,"340,121","2,502","33,835","3,106",233,"4,219",161,901,77,31
Tennessee,2000,"2,225,956","447,884","18,311","33,039","1,886","68,149","4,236","1,660",838,521,"2,339,426","504,239","18,505","35,512","1,985","46,100","3,841","1,218",719,349
Texas,2000,"5,486,150","1,177,853","71,448","311,705","10,876","3,342,555","42,873","43,491","13,960","6,046","5,662,180","1,263,843","73,541","319,424","10,778","3,217,724","45,078","41,053","13,918","5,596"
Utah,2000,"965,391","12,377","17,506","22,905","10,748","104,337","1,889","3,254",958,602,"975,647","9,664","17,923","24,903","9,929","90,595","1,728","2,705",901,535
Vermont,2000,"290,520","2,392","3,028","3,102",135,"2,531",181,142,42,23,"302,707","1,918","3,121","3,566",127,"2,595",167,129,65,27
Virginia,2000,"2,496,938","683,884","23,220","146,449","4,337","160,184","14,887","3,348","2,500",932,"2,578,857","747,171","24,238","158,179","4,544","138,421","14,951","3,195","2,540",753
Washington,2000,"2,386,874","121,867","71,415","184,622","20,365","223,043","7,201","8,669","4,592","1,815","2,432,761","108,174","73,347","208,235","19,783","193,754","6,834","8,088","4,634","1,756"
West Virginia,2000,"836,373","31,527","5,067","5,749",371,"5,945",347,155,95,73,"886,709","31,152","5,293","6,107",406,"5,515",289,153,83,53
Wisconsin,2000,"2,332,844","155,453","31,635","51,093","1,958","98,820","4,610","3,106",910,354,"2,402,791","166,030","32,467","51,437","1,893","82,584","4,794","2,971",830,285
Wyoming,2000,"223,328","2,564","6,876","1,719",267,"15,591",257,775,148,43,"221,586","1,926","6,694","2,169",287,"14,555",299,793,144,38
Alabama,2001,"1,541,804","544,266","21,100","19,282","1,305","41,898","3,863","1,071",579,417,"1,618,962","627,797","22,088","21,253","1,418","31,089","4,133",868,517,259
Alaska,2001,"236,967","14,152","58,776","15,673","2,776","12,392","1,078","1,502",556,180,"215,826","12,707","58,058","17,401","2,596","11,275","1,144","1,540",503,204
Arizona,2001,"1,679,553","94,211","129,183","56,668","5,949","684,923","11,875","20,620","5,288","2,084","1,729,101","86,120","136,317","63,105","5,643","636,351","12,141","19,450","5,481","2,027"
Arkansas,2001,"1,042,042","202,071","17,605","12,297","1,524","50,141","2,055","1,281",476,262,"1,090,042","226,530","18,425","13,754","1,505","39,293","1,953","1,141",410,191
California,2001,"8,216,464","1,175,894","188,379","2,032,638","97,642","5,555,122","107,083","151,453","78,016","22,693","8,396,944","1,223,342","199,736","2,176,557","99,078","5,270,116","112,047","143,656","81,537","22,778"
Colorado,2001,"1,667,917","97,561","28,607","58,687","4,637","389,596","8,799","14,713","3,240","1,324","1,671,393","89,698","28,370","65,003","4,379","352,421","9,150","14,126","3,409","1,220"
Connecticut,2001,"1,297,266","154,714","10,068","49,300","1,673","148,783","17,905","2,749","1,126",743,"1,384,295","170,917","10,291","50,551","1,668","147,814","18,461","2,479","1,204",721
Delaware,2001,"281,343","74,929","2,551","9,694",299,"18,927","2,306",504,168,75,"298,338","83,283","2,762","10,227",309,"15,928","2,365",456,165,63
District of Columbia,2001,"84,347","156,529","1,779","8,030",309,"20,686","3,719",500,283,100,"85,419","189,709","2,188","9,968",361,"18,214","3,743",479,269,84
Florida,2001,"5,238,734","1,178,362","50,456","162,770","10,565","1,353,575","64,262","14,571","7,590","3,238","5,505,496","1,275,989","50,833","182,830","10,436","1,350,486","63,141","12,573","7,691","2,817"
Georgia,2001,"2,610,866","1,156,338","24,176","105,024","4,339","260,179","17,375","5,369","2,608","1,607","2,684,587","1,294,871","24,532","108,614","4,110","178,460","16,584","3,648","2,231","1,084"
Hawaii,2001,"230,313","20,076","9,498","318,126","126,266","31,423","2,227","3,352","18,948","14,470","204,853","13,967","9,006","341,947","124,234","28,910","2,058","3,463","20,090","15,053"
Idaho,2001,"586,635","4,602","12,389","8,288","1,402","55,785",815,"1,897",555,222,"589,240","3,541","12,554","9,375","1,321","48,055",777,"1,872",482,196
Illinois,2001,"4,170,323","899,718","26,084","240,156","4,446","811,006","22,567","12,922","5,378","2,537","4,382,217","1,019,632","28,097","248,621","4,623","718,319","23,173","11,573","5,285","2,368"
Indiana,2001,"2,591,203","260,309","18,017","37,435","1,910","118,946","5,202","2,510","1,083",662,"2,702,005","282,931","18,064","38,473","1,854","98,282","4,993","2,196","1,017",463
Iowa,2001,"1,332,940","37,857","8,298","21,720","1,019","46,048","1,455","1,268",393,182,"1,395,512","35,288","8,542","22,270",999,"38,492","1,353","1,172",420,145
Kansas,2001,"1,114,491","84,495","21,263","28,372","1,487","100,583","3,308","2,905",814,340,"1,158,217","83,758","21,898","29,291","1,367","86,590","3,259","2,580",746,310
Kentucky,2001,"1,784,445","153,989","11,666","18,708","1,460","35,415","2,495",964,506,302,"1,874,533","161,518","12,102","19,840","1,443","24,750","2,039",723,473,198
Louisiana,2001,"1,377,016","687,912","20,282","32,429","1,425","51,177","6,151","1,549",767,318,"1,435,896","772,799","20,588","32,272","1,427","48,119","6,519","1,491",769,273
Maine,2001,"607,680","5,700","6,304","5,585",342,"4,787",426,180,123,39,"641,540","4,410","6,716","6,735",387,"4,717",370,208,107,50
Maryland,2001,"1,642,687","719,973","16,955","120,149","2,714","112,695","13,573","2,935","1,797",613,"1,724,836","822,572","18,618","129,002","2,900","102,664","14,268","2,742","1,846",550
Massachusetts,2001,"2,559,480","184,031","15,592","138,567","3,385","187,956","35,107","4,132","1,860","1,494","2,762,730","198,724","16,793","142,908","3,526","190,049","37,286","4,092","2,106","1,579"
Michigan,2001,"3,928,697","698,778","56,164","109,558","3,236","166,010","11,105","5,781","1,860",804,"4,054,712","775,797","58,787","108,933","3,268","147,908","11,397","5,542","1,756",686
Minnesota,2001,"2,183,566","107,769","37,965","83,726","3,075","78,406","3,930","3,184","1,031",422,"2,245,513","101,132","39,229","86,150","2,630","65,717","3,715","3,018",939,280
Mississippi,2001,"852,530","489,026","9,334","11,229",873,"21,126","3,354",612,406,212,"888,280","552,905","9,978","12,346",870,"14,580","3,368",494,415,143
Missouri,2001,"2,331,554","310,419","28,362","38,400","3,320","62,831","3,466","2,089",843,363,"2,447,514","350,670","29,139","41,058","3,307","55,909","3,601","2,092",807,335
Montana,2001,"409,571","2,728","32,201","3,219",521,"8,726",287,"1,237",152,59,"412,176","1,963","32,664","4,078",512,"8,561",256,"1,307",173,57
Nebraska,2001,"738,919","37,706","9,867","13,198",779,"52,739","1,383","1,583",407,253,"768,583","38,560","10,324","14,204",741,"43,873","1,214","1,492",412,192
Nevada,2001,"700,655","77,466","17,654","54,962","7,898","219,348","5,419","5,256","2,744","1,217","682,448","76,204","18,222","64,342","7,800","191,984","5,312","4,695","2,923","1,188"
New Hampshire,2001,"590,462","6,846","3,892","10,377",353,"10,676",946,287,153,62,"612,110","5,743","3,730","10,808",389,"10,200",865,279,138,50
New Jersey,2001,"2,730,949","547,447","17,335","273,666","3,806","530,171","56,094","9,246","4,651","2,217","2,915,563","615,851","18,261","278,177","3,816","513,912","56,658","8,314","4,736","2,048"
New Mexico,2001,"405,212","20,116","84,849","11,240","1,064","373,519","4,756","10,886","1,930",768,"422,530","17,599","90,638","13,219","1,076","378,735","5,377","10,826","2,043",770
New York,2001,"5,814,518","1,379,411","58,305","601,431","10,072","1,190,015","240,859","30,781","13,105","6,500","6,191,613","1,616,686","64,210","610,115","10,982","1,208,157","269,276","30,181","14,075","6,741"
North Carolina,2001,"2,833,005","842,460","61,865","69,840","3,835","225,929","15,432","5,372","2,204","1,230","2,956,777","951,048","65,486","73,683","3,592","153,760","12,997","3,698","1,868",914
North Dakota,2001,"293,306","3,241","17,074","2,450",260,"3,940",200,404,65,16,"294,681","2,303","17,736","2,665",228,"3,498",174,411,73,12
Ohio,2001,"4,708,480","652,930","34,616","80,573","3,200","107,205","10,771","3,255","1,331",658,"4,965,627","725,030","36,903","84,737","3,196","98,280","11,623","3,113","1,446",551
Oklahoma,2001,"1,310,223","140,055","186,267","28,884","2,601","95,603","3,620","6,853",977,491,"1,370,498","143,414","194,525","30,768","2,280","80,464","3,642","6,624",976,417
Oregon,2001,"1,451,719","37,256","37,698","62,448","7,823","153,454","3,499","6,294","1,775",904,"1,505,834","33,798","39,368","68,967","7,560","125,440","3,045","5,355","1,763",825
Pennsylvania,2001,"5,024,533","600,749","22,538","127,409","3,794","184,523","27,178","3,831","2,085","1,141","5,372,134","672,163","24,278","131,107","3,802","173,286","28,536","4,038","2,063","1,085"
Rhode Island,2001,"420,945","26,944","4,457","14,153",641,"39,875","7,419","1,002",388,385,"458,944","27,607","4,902","14,879",690,"40,531","7,801","1,020",521,402
South Carolina,2001,"1,325,924","564,655","12,999","21,967","1,703","55,253","5,539","1,393",816,485,"1,381,268","641,904","13,440","24,393","1,586","36,846","5,393",955,734,398
South Dakota,2001,"333,894","4,297","33,080","3,020",292,"5,681",214,991,74,34,"340,205","2,797","34,120","3,251",244,"4,869",212,994,84,36
Tennessee,2001,"2,239,396","454,484","18,879","34,466","1,990","74,041","4,495","1,784",887,546,"2,351,330","511,254","19,078","37,097","2,100","51,165","4,096","1,306",779,358
Texas,2001,"5,522,344","1,199,580","74,177","328,899","11,565","3,465,677","47,580","45,394","15,143","6,503","5,695,848","1,285,328","76,380","336,820","11,467","3,326,570","49,581","42,793","15,020","6,013"
Utah,2001,"981,124","13,234","17,743","24,001","11,176","110,446","2,159","3,413","1,033",661,"990,427","10,476","18,218","26,228","10,467","96,486","2,011","2,863",969,581
Vermont,2001,"291,380","2,573","3,021","3,274",135,"2,812",195,135,45,23,"302,955","2,051","3,112","3,743",125,"2,854",173,126,66,24
