Year,State,whf,bhf,aihf,ashf,pihf,wnhf,bnhf,ainhf,asnhf,pinhf,whm,bhm,aihm,ashm,pihm,wnhm,bnhm,ainhm,asnhm,pinhm
2010,Alabama,71264,7452,4247,1315,1588,1667403,681581,27216,34722,2124,89941,8398,5650,1556,2235,1594924,593923,25959,31382,2005
2011,Alabama,74171,7652,4267,1324,1532,1668570,686053,27512,36289,2185,91294,8571,5590,1563,2103,1597011,597119,26316,32574,2075
2012,Alabama,76083,7938,4285,1289,1463,1670092,690476,27831,37985,2287,91790,8798,5578,1486,2051,1599058,601183,26659,34065,2165
2013,Alabama,78068,8281,4475,1345,1489,1670706,695616,28184,39556,2375,92442,9054,5603,1526,2021,1599877,606556,26956,35401,2248
2014,Alabama,80117,8592,4591,1390,1528,1671273,700640,28580,41086,2429,93640,9390,5668,1540,2053,1599895,610734,27205,36610,2293
2010,Alaska,15555,1890,3030,1117,444,235594,14082,66482,25728,5209,16405,1858,3386,1232,410,262532,16794,67383,23429,5452
2011,Alaska,16413,1919,3212,1161,456,237624,14619,67081,26613,5440,17398,1960,3624,1308,451,263132,17394,67935,24360,5669
2012,Alaska,17569,2022,3502,1180,467,237402,15305,67151,27394,5743,19196,2069,3895,1354,463,264342,18725,67981,25222,5949
2013,Alaska,18270,2012,3530,1195,475,235864,15627,67169,28146,5929,20988,2163,4009,1383,476,266196,19760,68267,26154,6168
2014,Alaska,18798,2010,3498,1200,473,234060,15595,67243,28972,6104,21718,2229,4135,1408,488,264616,20029,68409,26945,6379
2010,Arizona,877459,27701,48752,14412,4057,1925916,137154,151437,113763,9677,884128,26954,51940,14228,4151,1882479,149059,143925,101674,10696
2011,Arizona,890974,28388,49957,14838,4184,1931890,141244,153244,118338,9929,898540,27663,53196,14673,4240,1889145,153793,145849,105688,10939
2012,Arizona,908255,29164,51441,15243,4270,1945185,146371,155617,123261,10219,915787,28548,54838,15186,4397,1900630,159009,148046,110181,11271
2013,Arizona,926261,30149,52644,15661,4419,1956458,151222,157654,128454,10620,932557,29555,55989,15574,4511,1911250,163954,149503,114905,11576
2014,Arizona,945932,31185,53859,16218,4565,1973053,156859,159833,133789,11007,952190,30748,57240,16146,4707,1926847,169793,151774,119853,11890
2010,Arkansas,80514,3706,4199,1124,625,1130005,244651,22357,23283,3611,91939,4031,4703,1254,825,1089988,221599,21387,20957,3738
2011,Arkansas,83219,3737,4306,1119,640,1132857,246115,22771,24412,3843,94677,4159,4784,1252,812,1092930,223087,21819,22105,3950
2012,Arkansas,85828,3876,4458,1135,664,1133389,247338,23245,25482,4066,97520,4314,4925,1245,824,1093505,224148,22298,23249,4139
2013,Arkansas,88108,3976,4630,1174,672,1133209,249094,23661,26497,4347,99756,4489,5018,1298,814,1093457,225833,22753,24092,4462
2014,Arkansas,90317,4089,4797,1227,693,1132167,250319,24073,27410,4678,101987,4635,5144,1338,819,1093082,227371,23111,24769,4737
2010,California,6430099,207399,314645,184647,42729,7944827,1245631,199331,2816566,119757,6567681,198013,328618,181684,42573,7869023,1208909,186998,2556176,115634
2011,California,6553559,211190,318552,187958,43492,7937447,1253242,200043,2885546,122161,6678314,201818,331962,185194,43495,7871145,1217249,187698,2617765,118313
2012,California,6665949,214759,322176,191526,44313,7933486,1260566,200915,2957755,124569,6778069,205939,335290,188755,44298,7879260,1225820,188687,2682566,120678
2013,California,6773633,219472,327392,195712,45363,7929433,1267918,201484,3037776,126968,6874469,210853,340575,193047,45306,7882726,1233828,189281,2754964,123232
2014,California,6880700,224997,333182,200523,46435,7922535,1277313,202032,3117807,129152,6973666,216454,346469,197809,46476,7880931,1246612,189834,2827502,125438
2010,Colorado,469346,18036,34111,7944,2415,1817179,108247,32384,94866,6061,489549,17629,34994,7875,2418,1811465,119588,32073,81979,6103
2011,Colorado,479677,18444,34760,8132,2472,1836356,110823,33009,98323,6333,499767,18096,35600,8101,2470,1831313,122695,32636,84996,6376
2012,Colorado,489184,18923,35346,8353,2541,1855567,113881,33532,101684,6591,509316,18597,36233,8338,2574,1852754,126439,33309,87930,6727
