State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
Wyoming,2005,"229,424","2,875","7,075","1,939",280,"17,019",372,699,129,42,"227,081","2,208","7,132","2,385",274,"15,457",408,676,121,16
Wyoming,2004,"227,889","2,843","7,031","1,898",276,"16,887",357,694,132,34,"225,720","2,203","7,073","2,358",284,"15,306",375,694,103,15
Wyoming,2003,"226,378","2,794","6,932","1,844",263,"16,388",319,685,128,37,"224,368","2,170","6,964","2,318",272,"15,032",362,699,103,19
Wyoming,2002,"225,160","2,763","6,911","1,798",273,"16,114",303,694,116,36,"223,513","2,123","6,912","2,231",278,"14,783",344,713,93,16
Wyoming,2001,"223,300","2,666","6,770","1,675",256,"15,778",275,683,118,30,"221,494","2,039","6,736","2,145",252,"14,687",313,712,93,14
Wyoming,2000,"223,593","2,564","6,670","1,639",255,"15,642",260,707,128,30,"221,869","1,949","6,552","2,076",255,"14,616",296,740,115,20
Alabama,2005,"1,564,049","564,133","20,791","22,046","1,349","53,642","3,842","1,152",606,400,"1,629,054","645,051","21,755","23,266","1,402","41,348","4,068",900,599,231
Alabama,2004,"1,555,597","558,682","20,750","21,110","1,323","50,529","3,779","1,102",575,373,"1,622,724","640,028","21,686","22,426","1,377","38,520","4,034",869,572,202
Alabama,2003,"1,550,132","554,232","20,751","20,080","1,278","47,556","3,765","1,058",559,360,"1,620,480","635,568","21,689","21,588","1,354","35,790","3,999",822,517,204
Alabama,2002,"1,545,497","550,152","20,676","19,302","1,247","44,428","3,733","1,017",525,359,"1,617,800","631,980","21,653","20,859","1,323","33,178","4,006",800,492,185
Alabama,2001,"1,544,368","545,837","20,688","18,587","1,232","41,538","3,753",974,509,331,"1,619,670","628,717","21,696","20,389","1,305","30,704","4,052",768,463,169
Alabama,2000,"1,542,711","540,715","20,744","18,128","1,197","38,701","3,802",946,494,334,"1,620,461","624,881","21,777","20,072","1,290","28,256","4,103",735,423,166
Alaska,2005,"243,678","15,138","61,169","18,062","2,860","15,311","1,243","1,602",671,166,"236,845","14,914","61,825","20,421","2,818","223,515","13,618","60,217","19,840","2,632"
Alaska,2004,"242,709","14,917","60,596","17,592","2,844","14,541","1,178","1,545",643,166,"235,139","14,758","61,232","19,932","2,808","222,269","13,500","59,677","19,360","2,622"
Alaska,2003,"239,745","14,585","59,853","17,129","2,845","13,884","1,134","1,512",618,160,"232,299","14,533","60,500","19,422","2,782","219,991","13,327","58,996","18,877","2,602"
Alaska,2002,"238,007","14,383","59,573","16,454","2,786","13,114","1,103","1,439",569,143,"229,605","14,303","60,023","18,691","2,725","217,872","13,125","58,567","18,198","2,559"
Alaska,2001,"236,093","14,083","59,017","15,832","2,729","12,100","1,026","1,354",529,124,"227,095","13,939","59,473","18,038","2,668","216,054","12,830","58,106","17,588","2,512"
Alaska,2000,"235,672","13,899","58,635","15,416","2,682","11,246","1,004","1,332",492,128,"225,616","13,804","59,190","17,531","2,627","215,140","12,712","57,802","17,084","2,472"
Arizona,2005,"1,802,153","111,182","141,563","71,371","6,853","839,686","17,015","22,069","6,873","2,531","1,852,711","103,718","150,058","78,243","6,422","775,804","17,464","20,966","6,999","2,390"
Arizona,2004,"1,758,078","105,451","138,528","66,449","6,484","797,156","15,288","21,293","6,370","2,379","1,808,179","97,917","146,471","72,952","6,089","737,769","15,682","20,287","6,497","2,248"
Arizona,2003,"1,724,423","100,926","135,711","62,661","6,225","759,454","13,917","20,775","5,950","2,230","1,774,855","93,324","143,568","69,001","5,850","704,084","14,266","19,773","6,056","2,110"
Arizona,2002,"1,698,997","97,386","133,309","59,506","6,031","723,648","12,723","20,379","5,595","2,113","1,748,497","89,778","140,809","65,719","5,655","671,643","13,060","19,358","5,723","1,999"
Arizona,2001,"1,673,486","93,776","131,093","56,311","5,798","685,904","11,532","20,022","5,275","1,998","1,722,930","85,905","138,218","62,360","5,435","637,978","11,834","18,898","5,391","1,911"
Arizona,2000,"1,652,927","90,429","129,230","53,375","5,590","648,953","10,382","19,618","4,942","1,884","1,701,364","82,206","136,226","59,331","5,253","604,853","10,708","18,426","5,065","1,805"
Arkansas,2005,"1,063,173","209,131","17,685","15,225","1,596","68,001","2,680","1,492",545,301,"1,104,486","232,688","18,498","16,414","1,598","55,168","2,573","1,352",528,205
Arkansas,2004,"1,055,472","207,358","17,304","14,388","1,534","63,148","2,476","1,392",509,273,"1,097,978","230,982","18,136","15,469","1,523","50,860","2,363","1,249",479,187
Arkansas,2003,"1,049,139","205,547","17,084","13,468","1,474","59,089","2,321","1,299",492,249,"1,094,016","229,047","17,901","14,598","1,471","47,157","2,198","1,184",438,165
