table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Florida: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"18,537,969","18,423,878","18,277,888","18,088,505","17,783,868","17,375,259","16,981,183","16,680,309","16,353,869","16,047,118","15,982,839","15,982,378"
.One Race,"18,266,779","18,161,271","18,024,623","17,845,552","17,554,031","17,158,668","16,777,524","16,488,015","16,173,241","15,877,819","15,815,384","15,814,926"
..White,"14,725,600","14,668,189","14,592,961","14,482,195","14,291,819","14,008,638","13,729,402","13,523,542","13,296,576","13,086,060","13,037,069","13,036,619"
..Black,"2,983,327","2,949,066","2,904,507","2,855,824","2,781,492","2,699,521","2,625,109","2,565,030","2,501,590","2,438,641","2,429,077","2,429,070"
..AIAN,"93,723","91,731","89,126","86,280","82,465","78,355","73,961","69,578","64,770","59,846","59,399","59,401"
..Asian,"445,494","434,243","420,588","404,592","382,641","357,785","335,671","317,198","298,388","282,175","278,894","278,891"
..NHPI,"18,635","18,042","17,441","16,661","15,614","14,369","13,381","12,667","11,917","11,097","10,945","10,945"
.Two or More Races,"271,190","262,607","253,265","242,953","229,837","216,591","203,659","192,294","180,628","169,299","167,455","167,452"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"14,956,651","14,891,672","14,808,180","14,688,288","14,486,480","14,191,703","13,901,215","13,685,385","13,448,291","13,227,967","13,177,372","13,176,920"
..Black,"3,115,593","3,075,768","3,025,568","2,970,668","2,888,858","2,799,591","2,717,981","2,651,620","2,581,754","2,512,679","2,502,141","2,502,132"
..AIAN,"172,209","169,415","165,667","161,394","155,351","148,729","141,902","135,461","128,433","121,402","120,345","120,347"
..Asian,"542,261","527,817","510,499","490,641","463,794","433,917","406,942","384,133","360,881","340,357","336,512","336,508"
..NHPI,"41,121","39,857","38,521","36,975","34,795","32,470","30,471","28,840","27,056","25,223","24,997","24,996"
.NOT HISPANIC,"14,545,672","14,536,094","14,509,181","14,461,368","14,327,299","14,094,417","13,855,261","13,687,954","13,503,223","13,332,797","13,299,914","13,299,663"
..One Race,"14,324,922","14,321,388","14,301,047","14,260,412","14,135,722","13,912,414","13,683,223","13,524,880","13,349,417","13,188,052","13,156,659","13,156,411"
...White,"11,027,619","11,064,280","11,094,543","11,108,970","11,067,914","10,937,938","10,798,383","10,714,209","10,616,514","10,529,858","10,510,433","10,510,195"
...Black,"2,802,582","2,773,677","2,736,966","2,697,913","2,636,516","2,568,592","2,502,417","2,447,896","2,390,283","2,333,137","2,324,681","2,324,674"
...AIAN,"54,910","54,586","53,842","53,033","51,818","50,263","48,440","46,965","45,268","43,624","43,379","43,379"
...Asian,"428,408","417,805","404,952","390,064","369,501","346,184","325,088","307,345","289,308","273,877","270,707","270,704"
...NHPI,"11,403","11,040","10,744","10,432","9,973","9,437","8,895","8,465","8,044","7,556","7,459","7,459"
..Two or More Races,"220,750","214,706","208,134","200,956","191,577","182,003","172,038","163,074","153,806","144,745","143,255","143,252"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"11,213,303","11,244,676","11,269,179","11,277,342","11,228,200","11,089,963","10,941,833","10,849,876","10,744,230","10,649,787","10,629,055","10,628,815"
...Black,"2,903,903","2,871,111","2,830,487","2,787,219","2,720,711","2,647,712","2,576,227","2,516,895","2,454,351","2,392,484","2,383,202","2,383,193"
...AIAN,"120,476","119,824","118,529","116,975","114,361","111,215","107,608","104,658","101,289","98,088","97,336","97,336"
...Asian,"513,089","499,917","484,135","466,150","441,621","414,226","388,996","367,489","345,600","326,391","322,801","322,797"
...NHPI,"29,562","28,774","28,023","27,187","25,963","24,668","23,361","22,221","21,001","19,712","19,577","19,576"
.HISPANIC,"3,992,297","3,887,784","3,768,707","3,627,137","3,456,569","3,280,842","3,125,922","2,992,355","2,850,646","2,714,321","2,682,925","2,682,715"
..One Race,"3,941,857","3,839,883","3,723,576","3,585,140","3,418,309","3,246,254","3,094,301","2,963,135","2,823,824","2,689,767","2,658,725","2,658,515"
...White,"3,697,981","3,603,909","3,498,418","3,373,225","3,223,905","3,070,700","2,931,019","2,809,333","2,680,062","2,556,202","2,526,636","2,526,424"
...Black,"180,745","175,389","167,541","157,911","144,976","130,929","122,692","117,134","111,307","105,504","104,396","104,396"
...AIAN,"38,813","37,145","35,284","33,247","30,647","28,092","25,521","22,613","19,502","16,222","16,020","16,022"
...Asian,"17,086","16,438","15,636","14,528","13,140","11,601","10,583","9,853","9,080","8,298","8,187","8,187"
...NHPI,"7,232","7,002","6,697","6,229","5,641","4,932","4,486","4,202","3,873","3,541","3,486","3,486"
..Two or More Races,"50,440","47,901","45,131","41,997","38,260","34,588","31,621","29,220","26,822","24,554","24,200","24,200"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"3,743,348","3,646,996","3,539,001","3,410,946","3,258,280","3,101,740","2,959,382","2,835,509","2,704,061","2,578,180","2,548,317","2,548,105"
...Black,"211,690","204,657","195,081","183,449","168,147","151,879","141,754","134,725","127,403","120,195","118,939","118,939"
...AIAN,"51,733","49,591","47,138","44,419","40,990","37,514","34,294","30,803","27,144","23,314","23,009","23,011"
...Asian,"29,172","27,900","26,364","24,491","22,173","19,691","17,946","16,644","15,281","13,966","13,711","13,711"
...NHPI,"11,559","11,083","10,498","9,788","8,832","7,802","7,110","6,619","6,055","5,511","5,420","5,420"
MALE,"9,123,926","9,063,647","8,988,378","8,885,389","8,725,141","8,515,513","8,311,374","8,154,576","7,989,108","7,831,309","7,797,962","7,797,715"
.One Race,"8,988,985","8,933,084","8,862,585","8,764,814","8,611,209","8,408,143","8,210,544","8,059,497","7,899,855","7,747,747","7,715,349","7,715,103"
..White,"7,279,559","7,247,633","7,207,395","7,144,463","7,040,915","6,892,333","6,744,525","6,634,892","6,517,176","6,406,206","6,380,410","6,380,169"
..Black,"1,442,277","1,424,772","1,402,428","1,377,190","1,340,161","1,300,000","1,263,455","1,233,526","1,203,285","1,172,558","1,167,806","1,167,802"
..AIAN,"49,486","48,350","47,011","45,378","43,340","41,120","38,753","36,370","33,786","31,304","31,063","31,064"
..Asian,"208,028","203,011","196,724","189,167","178,722","167,225","156,859","148,125","139,418","131,900","130,366","130,364"
..NHPI,"9,635","9,318","9,027","8,616","8,071","7,465","6,952","6,584","6,190","5,779","5,704","5,704"
.Two or More Races,"134,941","130,563","125,793","120,575","113,932","107,370","100,830","95,079","89,253","83,562","82,613","82,612"
.Race alone or in combination:1,,,,,,,,,,,,
